test,index,reference_real,reference_imag,rtl_real,rtl_imag
0,0,0.5,0,0.5,0
0,1,0.5,0,0.5,0
0,2,0.5,0,0.5,0
0,3,0.5,0,0.5,0
0,4,0.5,0,0.5,0
0,5,0.5,0,0.5,0
0,6,0.5,0,0.5,0
0,7,0.5,0,0.5,0
0,8,0.5,0,0.5,0
0,9,0.5,0,0.5,0
0,10,0.5,0,0.5,0
0,11,0.5,0,0.5,0
1,0,1.5,-0.75,1.5,-0.75
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
2,0,0,0,0,0
2,1,0.023037674491,0,0.015625,0
2,2,0,0,0.0078125,-0.0078125
2,3,0,0,0,0
2,4,0,0,-0.0078125,-0.0078125
2,5,5.97696232551,0,5.984375,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0.0078125,0.0078125
2,9,0,0,0,0
2,10,0,0,-0.0078125,0.0078125
2,11,0,0,0,0
3,0,0,0,0,0
3,1,0,0,0,0
3,2,0,0,0,0
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,6,0,6,0
3,7,0,0,0,0
3,8,0,0,0,0
3,9,0,0,0,0
3,10,4.4408920985e-16,0,0,0
3,11,0,0,0,0
4,0,2.4375,3.90625,2.4375,3.90625
4,1,1.08872192547,-0.106234970401,1.0859375,-0.109375
4,2,-1.3664561559,-1.15205789849,-1.375,-1.1484375
4,3,3.71875,5.109375,3.71875,5.109375
4,4,2.0573913821,1.29623893974,2.046875,1.2890625
4,5,0.872215574527,-0.0656400295988,0.8828125,-0.0625
4,6,-1.5625,-0.4375,-1.5625,-0.4375
4,7,-1.33961291063,-1.82868051688,-1.3515625,-1.84375
4,8,-1.1902038821,0.985011060257,-1.171875,1.0078125
4,9,1.71875,-0.671875,1.71875,-0.671875
4,10,-0.0944813440958,1.73018289849,-0.09375,1.7265625
4,11,2.09742541063,0.89118051688,2.1015625,0.890625
5,0,0.015625,0.2109375,0.015625,0.2109375
5,1,-0.791451049659,2.20829257975,-0.7890625,2.203125
5,2,0.246504366275,-0.337955705072,0.25,-0.3359375
5,3,-1.578125,-1.6953125,-1.578125,-1.6953125
5,4,-0.410005954012,-0.282326157455,-0.421875,-0.2890625
5,5,1.19770104966,-2.82548007975,1.1953125,-2.828125
5,6,-4.15625,-1.4921875,-4.15625,-1.4921875
5,7,0.282718083575,-3.41292053963,0.2734375,-3.40625
5,8,-0.00405654598802,3.84482615746,0.015625,3.8828125
5,9,2.125,0.2890625,2.125,0.2890625
5,10,-0.0511918662755,-0.162044294928,-0.0625,-0.1640625
5,11,5.65478191643,-2.43864196037,5.6640625,-2.4375
6,0,-2.7734375,-5.1484375,-2.7734375,-5.1484375
6,1,-1.26539955602,0.275891852575,-1.265625,0.2734375
6,2,-0.767958537509,0.408378229371,-0.765625,0.4140625
6,3,0.109375,1.390625,0.109375,1.390625
6,4,1.62692292123,2.3172824947,1.625,2.3046875
6,5,-0.656475443982,3.38817064743,-0.671875,3.3984375
6,6,-2.5703125,-1.5234375,-2.5703125,-1.5234375
6,7,1.73792564587,-0.979867566048,1.734375,-0.9765625
6,8,0.490264578766,1.1670925053,0.515625,1.1953125
6,9,1.921875,-0.3125,1.921875,-0.3125
6,10,0.666396037509,-0.877128229371,0.65625,-0.8828125
6,11,1.48082435413,0.643930066048,1.484375,0.6484375
7,0,-1.28125,0.328125,-1.28125,0.328125
7,1,2.72188463422,-1.73202132665,2.7265625,-1.7265625
7,2,0.613932050719,-5.20244327267,0.6171875,-5.2109375
7,3,-0.7109375,-1.2109375,-0.7109375,-1.2109375
7,4,-0.0839944429222,-3.59325884035,-0.0859375,-3.6015625
7,5,-0.0656346342156,-2.40860367335,-0.0703125,-2.3984375
7,6,0.34375,2,0.34375,2
7,7,-3.26588532029,0.369471420743,-3.2734375,0.3671875
7,8,-0.462880557078,-0.859866159653,-0.4453125,-0.8359375
7,9,-2.0703125,-0.7109375,-2.0703125,-0.7109375
7,10,-1.14518205072,-0.547556727329,-1.1484375,-0.5390625
7,11,-2.56223967971,2.31802857926,-2.5703125,2.3203125
