test,bin,reference_real,reference_imag,rtl_real,rtl_imag
0,0,0.5,0,0.5,0
0,1,0.5,0,0.5,0
0,2,0.5,0,0.5,0
0,3,0.5,0,0.5,0
0,4,0.5,0,0.5,0
0,5,0.5,0,0.5,0
0,6,0.5,0,0.5,0
0,7,0.5,0,0.5,0
0,8,0.5,0,0.5,0
0,9,0.5,0,0.5,0
0,10,0.5,0,0.5,0
0,11,0.5,0,0.5,0
0,12,0.5,0,0.5,0
0,13,0.5,0,0.5,0
0,14,0.5,0,0.5,0
0,15,0.5,0,0.5,0
0,16,0.5,0,0.5,0
0,17,0.5,0,0.5,0
0,18,0.5,0,0.5,0
0,19,0.5,0,0.5,0
0,20,0.5,0,0.5,0
0,21,0.5,0,0.5,0
0,22,0.5,0,0.5,0
0,23,0.5,0,0.5,0
0,24,0.5,0,0.5,0
0,25,0.5,0,0.5,0
0,26,0.5,0,0.5,0
0,27,0.5,0,0.5,0
0,28,0.5,0,0.5,0
0,29,0.5,0,0.5,0
0,30,0.5,0,0.5,0
0,31,0.5,0,0.5,0
0,32,0.5,0,0.5,0
0,33,0.5,0,0.5,0
0,34,0.5,0,0.5,0
0,35,0.5,0,0.5,0
0,36,0.5,0,0.5,0
0,37,0.5,0,0.5,0
0,38,0.5,0,0.5,0
0,39,0.5,0,0.5,0
0,40,0.5,0,0.5,0
0,41,0.5,0,0.5,0
0,42,0.5,0,0.5,0
0,43,0.5,0,0.5,0
0,44,0.5,0,0.5,0
0,45,0.5,0,0.5,0
0,46,0.5,0,0.5,0
0,47,0.5,0,0.5,0
0,48,0.5,0,0.5,0
0,49,0.5,0,0.5,0
0,50,0.5,0,0.5,0
0,51,0.5,0,0.5,0
0,52,0.5,0,0.5,0
0,53,0.5,0,0.5,0
0,54,0.5,0,0.5,0
0,55,0.5,0,0.5,0
0,56,0.5,0,0.5,0
0,57,0.5,0,0.5,0
0,58,0.5,0,0.5,0
0,59,0.5,0,0.5,0
0,60,0.5,0,0.5,0
0,61,0.5,0,0.5,0
0,62,0.5,0,0.5,0
0,63,0.5,0,0.5,0
1,0,8,-4,8,-4
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
1,12,0,0,0,0
1,13,0,0,0,0
1,14,0,0,0,0
1,15,0,0,0,0
1,16,0,0,0,0
1,17,0,0,0,0
1,18,0,0,0,0
1,19,0,0,0,0
1,20,0,0,0,0
1,21,0,0,0,0
1,22,0,0,0,0
1,23,0,0,0,0
1,24,0,0,0,0
1,25,0,0,0,0
