test,bin,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,0,64,0,64,0,0.5,0.0
0,1,64,0,64,0,0.5,0.0
0,2,64,0,64,0,0.5,0.0
0,3,64,0,64,0,0.5,0.0
0,4,64,0,64,0,0.5,0.0
0,5,64,0,64,0,0.5,0.0
0,6,64,0,64,0,0.5,0.0
0,7,64,0,64,0,0.5,0.0
0,8,64,0,64,0,0.5,0.0
0,9,64,0,64,0,0.5,0.0
0,10,64,0,64,0,0.5,0.0
0,11,64,0,64,0,0.5,0.0
0,12,64,0,64,0,0.5,0.0
0,13,64,0,64,0,0.5,0.0
0,14,64,0,64,0,0.5,0.0
0,15,64,0,64,0,0.5,0.0
0,16,64,0,64,0,0.5,0.0
0,17,64,0,64,0,0.5,0.0
0,18,64,0,64,0,0.5,0.0
0,19,64,0,64,0,0.5,0.0
0,20,64,0,64,0,0.5,0.0
0,21,64,0,64,0,0.5,0.0
0,22,64,0,64,0,0.5,0.0
0,23,64,0,64,0,0.5,0.0
0,24,64,0,64,0,0.5,0.0
0,25,64,0,64,0,0.5,0.0
0,26,64,0,64,0,0.5,0.0
0,27,64,0,64,0,0.5,0.0
0,28,64,0,64,0,0.5,0.0
0,29,64,0,64,0,0.5,0.0
0,30,64,0,64,0,0.5,0.0
0,31,64,0,64,0,0.5,0.0
0,32,64,0,64,0,0.5,0.0
0,33,64,0,64,0,0.5,0.0
0,34,64,0,64,0,0.5,0.0
0,35,64,0,64,0,0.5,0.0
0,36,64,0,64,0,0.5,0.0
0,37,64,0,64,0,0.5,0.0
0,38,64,0,64,0,0.5,0.0
0,39,64,0,64,0,0.5,0.0
0,40,64,0,64,0,0.5,0.0
0,41,64,0,64,0,0.5,0.0
0,42,64,0,64,0,0.5,0.0
0,43,64,0,64,0,0.5,0.0
0,44,64,0,64,0,0.5,0.0
0,45,64,0,64,0,0.5,0.0
0,46,64,0,64,0,0.5,0.0
0,47,64,0,64,0,0.5,0.0
0,48,64,0,64,0,0.5,0.0
0,49,64,0,64,0,0.5,0.0
0,50,64,0,64,0,0.5,0.0
0,51,64,0,64,0,0.5,0.0
0,52,64,0,64,0,0.5,0.0
0,53,64,0,64,0,0.5,0.0
0,54,64,0,64,0,0.5,0.0
0,55,64,0,64,0,0.5,0.0
0,56,64,0,64,0,0.5,0.0
0,57,64,0,64,0,0.5,0.0
0,58,64,0,64,0,0.5,0.0
0,59,64,0,64,0,0.5,0.0
0,60,64,0,64,0,0.5,0.0
0,61,64,0,64,0,0.5,0.0
0,62,64,0,64,0,0.5,0.0
0,63,64,0,64,0,0.5,0.0
1,0,0,0,0,0,0.0,0.0
1,1,0,0,0,0,0.0,0.0
1,2,0,0,0,0,0.0,0.0
1,3,5,-2,5,-2,0.1048002930029171,-3.0639553394440355e-16
1,4,0,0,0,0,0.0,0.0
1,5,0,0,0,0,0.0,0.0
1,6,0,0,0,0,0.0,0.0
1,7,1636,0,127,0,12.761592239250874,5.551115123125783e-17
1,8,0,0,0,0,0.0,0.0
1,9,0,0,0,0,0.0,0.0
1,10,0,0,0,0,0.0,0.0
1,11,2,0,2,0,0.047385055963941526,2.4745723979931106e-16
1,12,0,0,0,0,0.0,0.0
1,13,0,0,0,0,0.0,0.0
1,14,0,0,0,0,0.0,0.0
1,15,-10,-2,-10,-2,-0.06455574559241958,2.287792368637988e-16
1,16,0,0,0,0,0.0,0.0
1,17,0,0,0,0,0.0,0.0
1,18,0,0,0,0,0.0,0.0
1,19,-2,-1,-2,-1,-0.009847933689846959,1.1058862159352145e-17
1,20,0,0,0,0,0.0,0.0
1,21,0,0,0,0,0.0,0.0
1,22,0,0,0,0,0.0,0.0
1,23,0,0,0,0,0.008120762129982195,4.440892098500626e-16
1,24,0,0,0,0,0.0,0.0
1,25,0,0,0,0,0.0,0.0
1,26,0,0,0,0,0.0,0.0
1,27,8,-1,8,-1,0.07131234401130161,1.2206401752246358e-16
1,28,0,0,0,0,0.0,0.0
1,29,0,0,0,0,0.0,0.0
1,30,0,0,0,0,0.0,0.0
1,31,-5,0,-5,0,-0.0441919581192254,-6.73463193876749e-18
1,32,0,0,0,0,0.0,0.0
1,33,0,0,0,0,0.0,0.0
1,34,0,0,0,0,0.0,0.0
1,35,-3,2,-3,2,-0.04131924378371776,8.565197162635485e-17
1,36,0,0,0,0,0.0,0.0
1,37,0,0,0,0,0.0,0.0
1,38,0,0,0,0,0.0,0.0
1,39,6,-2,6,-2,0.04613199900774134,-4.996003610813204e-16
1,40,0,0,0,0,0.0,0.0
1,41,0,0,0,0,0.0,0.0
1,42,0,0,0,0,0.0,0.0
1,43,0,0,0,0,0.002450374632699648,-3.71220183371232e-17
1,44,0,0,0,0,0.0,0.0
1,45,0,0,0,0,0.0,0.0
1,46,0,0,0,0,0.0,0.0
1,47,6,-2,6,-2,0.023919531173309666,-6.73463193876749e-18
1,48,0,0,0,0,0.0,0.0
1,49,0,0,0,0,0.0,0.0
1,50,0,0,0,0,0.0,0.0
1,51,4,1,4,1,0.027984606218861743,-5.833007687972014e-17
1,52,0,0,0,0,0.0,0.0
1,53,0,0,0,0,0.0,0.0
1,54,0,0,0,0,0.0,0.0
1,55,14,-2,14,-2,0.11612129093131246,-4.440892098500626e-16
1,56,0,0,0,0,0.0,0.0
1,57,0,0,0,0,0.0,0.0
1,58,0,0,0,0,0.0,0.0
1,59,-6,1,-6,1,-0.0667265270350854,-6.438446194623473e-17
1,60,0,0,0,0,0.0,0.0
1,61,0,0,0,0,0.0,0.0
1,62,0,0,0,0,0.0,0.0
1,63,9,8,9,8,0.016822911897355085,2.287792368637988e-16
2,0,4,-14,4,-14,0.03125,-0.109375
2,1,-16,-36,-16,-36,-0.06157199743259012,-0.23295697940370294
2,2,49,48,49,48,0.4157155976605611,0.3843918497329768
2,3,49,-47,49,-47,0.46432364485745503,-0.3734889439886058
2,4,-27,59,-27,59,-0.2008053750893989,0.4727457630396594
