test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,0,-3,-2,-3,-2,-0.023544294891116594,-0.015731794891116594
0,1,-3,-7,-3,-7,-0.017592662805239787,-0.049168198710202296
0,2,2,-10,2,-10,0.0213760501970083,-0.0704673937516253
0,3,9,-7,9,-7,0.07104954431948002,-0.052693933356921546
0,4,12,0,12,0,0.09375,0.0
0,5,9,6,9,6,0.07104954431948002,0.052693933356921546
0,6,2,9,2,9,0.0213760501970083,0.0704673937516253
0,7,-3,6,-3,6,-0.017592662805239787,0.049168198710202296
0,8,-4,1,-4,1,-0.023544294891116594,0.01573179489111659
0,9,-1,-1,-1,-1,-0.006265149874341387,-0.0003077870766599667
0,10,1,0,1,0,0.007961427520714895,0.00653377471097032
0,11,0,2,0,2,0.004685105020859317,0.0187039876937352
0,12,-1,2,-1,2,-0.0078125,0.018861043456039804
0,13,-2,0,-2,0,-0.013031494467325348,0.007810777195118422
0,14,-1,-1,-1,-1,-0.006311706873036859,-0.0006216488675044581
0,15,0,0,0,0,0.002196672918199892,0.0019909482806715006
0,16,0,1,0,1,0.0019398662604120662,0.009752366260412067
0,17,-1,1,-1,1,-0.005499572873787542,0.011627869884017032
0,18,-2,0,-2,0,-0.010034058152459065,0.005363315821267199
0,19,-1,-1,-1,-1,-0.006393205272739231,-0.0009483424176671431
0,20,0,0,0,0,0.0,0.0
0,21,0,0,0,0,0.0008595274655133871,0.0057944634999054865
0,22,-1,1,-1,1,-0.0044015595430297845,0.008234738711664566
0,23,-2,0,-2,0,-0.00862381605146138,0.004078761226107397
0,24,-1,-1,-1,-1,-0.006516322804372262,-0.0012961771956277388
0,25,-1,-1,-1,-1,-0.0011933284755881804,-0.0013166350780127762
0,26,0,0,0,0,0.0003322782423323318,0.0033736776104953477
0,27,-1,0,-1,0,-0.003694222485626217,0.006163437860267509
0,28,-1,0,-1,0,-0.0078125,0.003236043456039806
0,29,-1,-1,-1,-1,-0.006692393808214908,-0.001676357381422867
0,30,-1,-1,-1,-1,-0.001981998890010368,-0.0024150726351890874
0,31,0,0,0,0,7.709664921872264e-05,0.0015693383471667155
0,32,-1,0,-1,0,-0.00312924856492321,0.004683251435076789
0,33,-1,0,-1,0,-0.007293413311159559,0.0026096250106443994
0,34,-1,-1,-1,-1,-0.006940432501519443,-0.0021053571821365302
0,35,-1,-1,-1,-1,-0.0025886869477878063,-0.0034904402899721965
0,36,0,0,0,0,0.0,0.0
0,37,-1,0,-1,0,-0.0025886869477877994,0.0034904402899722
0,38,-1,0,-1,0,-0.006940432501519448,0.002105357182136537
0,39,-1,-1,-1,-1,-0.007293413311159557,-0.002609625010644396
0,40,-1,-1,-1,-1,-0.00312924856492321,-0.004683251435076788
0,41,0,-1,0,-1,7.709664921872264e-05,-0.0015693383471667153
0,42,-1,0,-1,0,-0.0019819988900103723,0.0024150726351890926
0,43,-1,0,-1,0,-0.006692393808214905,0.0016763573814228636
0,44,-1,-1,-1,-1,-0.0078125,-0.003236043456039806
0,45,-1,-1,-1,-1,-0.0036942224856262185,-0.00616343786026751
0,46,0,-1,0,-1,0.00033227824233233224,-0.00337367761049535
0,47,-1,0,-1,0,-0.0011933284755881832,0.0013166350780127762
0,48,-1,0,-1,0,-0.006516322804372262,0.0012961771956277388
0,49,-2,-1,-2,-1,-0.008623816051461381,-0.004078761226107397
