net,length_um
net31,1.22125mm
net33,1.14988mm
net108,1.11755mm
_112_,1.10752mm
_110_,1.10686mm
_109_,1.09362mm
_113_,1.07886mm
_111_,1.07835mm
net34,1.07815mm
net110,1.05778mm
net111,1.04974mm
net10,1.04638mm
_177_,929.85µm
_175_,902.77µm
_182_,882.96µm
net65,855.32µm
net28,851.96µm
net117,851.86µm
_179_,847.99µm
_211_,839.59µm
net27,839.54µm
magic_index\[2\],836.84µm
net82,831.04µm
net83,826.56µm
net1,822.69µm
_262_,807.52µm
net135,760.07µm
net120,754.77µm
clknet_0_clk,716.95µm
_174_,649.65µm
clk,611.48µm
_249_,597.57µm
net134,555.01µm
net113,459.25µm
clknet_3_1_0_clk,438.22µm
clknet_3_4_0_clk,385.58µm
net114,385.17µm
clknet_3_5_0_clk,377.79µm
_265_,371.43µm
net109,368.47µm
clknet_3_6_0_clk,345.77µm
clknet_3_7_0_clk,344.55µm
clknet_3_2_0_clk,327.34µm
net127,326.17µm
clknet_3_0_0_clk,315.02µm
net121,298.22µm
net96,261.82µm
_142_,235.96µm
_274_,227.15µm
_138_,220.48µm
net131,211.73µm
_280_,208.47µm
_350_,208.06µm
clknet_3_3_0_clk,202.46µm
net122,197.16µm
net124,187.8µm
_170_,187.14µm
net126,186.02µm
net125,182.86µm
net94,181.08µm
net95,180.98µm
_167_,177.72µm
net37,174.82µm
net112,171.66µm
net133,171.05µm
_255_,168µm
net116,158.27µm
net30,157.1µm
_307_,152.62µm
net29,151.35µm
_131_,132.87µm
_146_,132.71µm
net102,128.24µm
_139_,125.13µm
_314_,124.57µm
_141_,117.7µm
net118,116.63µm
net51,116.58µm
net129,116.12µm
_161_,115.46µm
_143_,115.2µm
net132,113.73µm
net107,110.37µm
_208_,109.25µm
_269_,108.79µm
net32,104.77µm
_196_,99.27µm
net35,96.37µm
echo_data\[7\],96.32µm
net99,89.09µm
echo_data\[2\],84.1µm
net115,80.28µm
_135_,79.26µm
net123,79.06µm
net128,76.26µm
debug_read_latch\[6\],75.65µm
_149_,73.41µm
serializer_dout_i[3],70.92µm
_313_,70.81µm
net103,70.56µm
net18,70.05µm
_272_,70µm
net36,69.44µm
_100_,69.18µm
_187_,67.91µm
