Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_252_2314,VSS,Metal1,1297.2400,991.7600,0.000002
FILLER_252_2280,VSS,Metal1,1286.2040,992.3575,0.000002
FILLER_252_2246,VSS,Metal1,1267.1640,992.3575,0.000002
FILLER_252_2212,VSS,Metal1,1248.1240,992.3575,0.000002
FILLER_252_2178,VSS,Metal1,1229.0840,992.3575,0.000002
FILLER_252_2144,VSS,Metal1,1210.0440,992.3575,0.000002
FILLER_252_2110,VSS,Metal1,1191.0040,992.3575,0.000002
FILLER_252_2076,VSS,Metal1,1171.9640,992.3575,0.000002
FILLER_252_2042,VSS,Metal1,1152.9240,992.3575,0.000002
FILLER_252_2008,VSS,Metal1,1133.8840,992.3575,0.000002
FILLER_252_1974,VSS,Metal1,1114.8440,992.3575,0.000002
FILLER_252_1940,VSS,Metal1,1095.8040,992.3575,0.000002
FILLER_252_1906,VSS,Metal1,1076.7640,992.3575,0.000002
FILLER_252_1872,VSS,Metal1,1057.7240,992.3575,0.000002
FILLER_252_1838,VSS,Metal1,1038.6840,992.3575,0.000002
FILLER_252_1804,VSS,Metal1,1019.6440,992.3575,0.000003
FILLER_252_1770,VSS,Metal1,1000.6040,992.3575,0.000003
FILLER_252_1736,VSS,Metal1,981.5640,992.3575,0.000003
FILLER_252_1702,VSS,Metal1,962.5240,992.3575,0.000003
FILLER_252_1668,VSS,Metal1,943.4840,992.3575,0.000003
FILLER_252_1634,VSS,Metal1,924.4440,992.3575,0.000003
FILLER_252_1600,VSS,Metal1,905.4040,992.3575,0.000003
FILLER_252_1566,VSS,Metal1,886.3640,992.3575,0.000003
FILLER_252_1532,VSS,Metal1,867.3240,992.3575,0.000004
FILLER_252_1498,VSS,Metal1,848.2840,992.3575,0.000004
FILLER_252_1464,VSS,Metal1,829.2440,992.3575,0.000004
FILLER_252_1430,VSS,Metal1,810.2040,992.3575,0.000018
FILLER_252_1426,VSS,Metal1,800.2400,991.7600,0.000018
FILLER_252_1422,VSS,Metal1,798.1800,992.1085,0.000018
FILLER_252_1414,VSS,Metal1,794.6930,992.2215,0.000018
FILLER_252_1398,VSS,Metal1,787.8720,992.3080,0.000018
FILLER_252_1280,VSS,Metal1,718.2000,991.7600,0.000060
FILLER_252_1187,VSS,Metal1,666.1200,991.7600,0.000049
FILLER_252_1164,VSS,Metal1,653.2400,991.7600,0.000051
FILLER_252_1162,VSS,Metal1,652.4000,991.7600,0.000051
FILLER_252_1158,VSS,Metal1,650.3400,992.1085,0.000051
FILLER_252_1155,VSS,Metal1,648.2000,991.7600,0.000051
FILLER_252_1147,VSS,Metal1,645.1730,992.2215,0.000051
FILLER_252_1087,VSS,Metal1,610.1200,991.7600,0.000034
FILLER_252_1085,VSS,Metal1,609.2800,991.7600,0.000034
FILLER_252_1068,VSS,Metal1,599.4800,991.7600,0.000033
FILLER_252_1064,VSS,Metal1,597.7000,992.1085,0.000033
FILLER_252_1056,VSS,Metal1,594.2130,992.2215,0.000031
FILLER_252_920,VSS,Metal1,524.6040,992.3575,0.000008
FILLER_252_886,VSS,Metal1,505.5640,992.3575,0.000007
FILLER_252_852,VSS,Metal1,486.5240,992.3575,0.000007
FILLER_252_818,VSS,Metal1,467.4840,992.3575,0.000007
