Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,27587
design__instance__area,1.28683E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,7
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,3
power__internal__total,0.013241738080978394
power__switching__total,0.00834097433835268
power__leakage__total,0.0000017714955902192742
power__total,0.021584482863545418
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.29504963196660805
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.2940516524615477
timing__hold__ws__corner:nom_tt_025C_5v00,0.6188272291974453
timing__setup__ws__corner:nom_tt_025C_5v00,2.7294638433102234
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.618827
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,8.481050
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,7
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,3
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.32445622107383215
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.3234482495612676
timing__hold__ws__corner:nom_ss_125C_4v50,1.3809324075109255
timing__setup__ws__corner:nom_ss_125C_4v50,-2.998941624360692
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,-58.96299082544973
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-2.998941624360692
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.380932
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,46
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-0.381446
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,2
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,5
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,4
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.28106870404439827
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.2800782740561189
timing__hold__ws__corner:nom_ff_n40C_5v50,0.288171605845502
timing__setup__ws__corner:nom_ff_n40C_5v50,5.102986622145242
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.288172
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,48
design__max_fanout_violation__count,0
design__max_cap_violation__count,7
clock__skew__worst_hold,-0.2770052599037725
clock__skew__worst_setup,0.27618047519545197
timing__hold__ws,0.2847130944925276
timing__setup__ws,-3.7049031557979344
timing__hold__tns,0.0
timing__setup__tns,-87.24744551552597
timing__hold__wns,0
timing__setup__wns,-3.7049031557979344
timing__hold_vio__count,0
timing__hold_r2r__ws,0.284713
timing__hold_r2r_vio__count,0
timing__setup_vio__count,149
timing__setup_r2r__ws,-1.121640
timing__setup_r2r_vio__count,11
design__die__bbox,0.0 0.0 1300.0 1000.0
design__core__bbox,1.12 3.92 1298.64 995.68
design__io,116
design__die__area,1.3E+6
design__core__area,1.28683E+6
design__instance__count__stdcell,9626
design__instance__area__stdcell,59022.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0458665
design__instance__utilization__stdcell,0.0458665
design__rows,253
design__rows:GF018hv5v_mcu_sc7,253
design__sites,586201
design__sites:GF018hv5v_mcu_sc7,586201
design__instance__count__class:tie_cell,2
design__instance__area__class:tie_cell,17.5616
design__instance__count__class:buffer,1
design__instance__area__class:buffer,13.1712
design__instance__count__class:inverter,39
design__instance__area__class:inverter,360.013
design__instance__count__class:sequential_cell,95
design__instance__area__class:sequential_cell,7125.62
design__instance__count__class:multi_input_combinational_cell,354
design__instance__area__class:multi_input_combinational_cell,6756.83
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,506
design__instance__area__class:endcap_cell,2221.54
design__instance__count__class:tap_cell,8419
design__instance__area__class:tap_cell,36962.8
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,114
design__io__hpwl,111714970
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,631.12
design__instance__displacement__mean,0.0655
design__instance__displacement__max,33.6
route__wirelength__estimated,51710.8
design__violations,0
design__instance__count__class:timing_repair_buffer,135
design__instance__area__class:timing_repair_buffer,4590.16
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,566.362
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,149.274
flow__warnings__count:CTS-0128,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,142
global_route__wirelength,69535
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,59
design__instance__area__class:antenna_cell,259.034
antenna_diodes_count,9
route__net,685
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,54704
route__drc_errors__iter:1,13
route__wirelength__iter:1,54694
route__drc_errors__iter:2,8
route__wirelength__iter:2,54711
route__drc_errors__iter:3,0
route__wirelength__iter:3,54690
route__drc_errors,0
route__wirelength,54690
route__vias,4423
route__vias__singlecut,4423
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1221.25
design__instance__count__class:fill_cell,17961
