net,length_um
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],1.77586mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],1.75499mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],1.66575mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],1.54173mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],1.5114mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.49863mm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],1.41669mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[2\],1.40072mm
clknet_2_1_0_clk_regs,1.34909mm
clknet_2_3_0_clk_regs,1.34042mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],1.3016mm
clknet_2_0_0_clk_regs,1.29145mm
net1269,1.27288mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],1.27238mm
clknet_0_clk_regs,1.26366mm
net10,1.22299mm
net1270,1.16806mm
net838,1.15645mm
clk,1.14679mm
clknet_2_2_0_clk_regs,1.1401mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],1.12879mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],1.12846mm
net928,1.09285mm
net345,1.08788mm
_03422_,1.08351mm
net456,1.08283mm
net1549,1.06598mm
u_transform_scheduler_core.bf_X1_q\[15\],1.06425mm
net1310,1.06043mm
net1311,1.05534mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.05443mm
net1355,1.02978mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],1.02429mm
net50,1.01777mm
net11,1.01426mm
net353,1.00448mm
net168,998.33µm
net1630,995.32µm
net1408,990.94µm
_07345_,989.46µm
net1336,988.2µm
net1421,978.72µm
net1510,962.84µm
net1420,958.46µm
_05727_,956.27µm
net1418,955.2µm
net1628,945.88µm
u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_product_fire,934.94µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],925.23µm
net108,922.88µm
net8,919.16µm
net926,914.62µm
_06110_,902.97µm
_06108_,896.96µm
_04632_,892.74µm
_06010_,890.6µm
net113,887.2µm
u_transform_scheduler_core.bf_X1_i\[15\],882.08µm
net811,880.92µm
_03525_,879.67µm
net1429,879.55µm
net986,875.88µm
_03133_,868.91µm
net988,865.91µm
net1426,863.26µm
net1423,859.95µm
net687,857µm
net692,856.94µm
_03545_,854.4µm
net837,852.46µm
core_X2_q\[3\],852.02µm
net1312,850.74µm
_07346_,846.94µm
net1335,840.35µm
net457,840.3µm
_07358_,838.87µm
_06087_,831.89µm
net880,831.44µm
core_X2_q\[2\],830.02µm
net1293,827.88µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],820.93µm
net1148,819.78µm
net1330,818.61µm
net325,814.54µm
net982,813.8µm
_04732_,813.78µm
net144,808.96µm
net1151,808.89µm
net1054,807.57µm
net923,801.79µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],799.79µm
net1419,797.65µm
net807,795.43µm
net461,794.99µm
net1260,793.72µm
core_X2_q\[8\],792.55µm
core_X2_q\[1\],788.22µm
net157,787.8µm
net1422,781.75µm
net662,780.28µm
net4,780.13µm
net201,779.85µm
net1633,775.14µm
core_X2_q\[9\],770.76µm
net1166,767.66µm
core_X2_q\[10\],767.55µm
net5,767.3µm
_05318_,766.49µm
net703,762.31µm
_03505_,758.69µm
core_X2_q\[4\],756.3µm
core_X2_i\[14\],754.21µm
net1153,753.3µm
net1271,751.46µm
net1141,751.35µm
net6,748.41µm
net809,746.68µm
core_X2_q\[6\],746.47µm
net927,744.13µm
net1411,743.44µm
core_X2_q\[14\],743.37µm
_07112_,738.69µm
net670,737.69µm
core_X2_i\[10\],737.54µm
core_X2_i\[13\],735.89µm
net894,735.68µm
net264,733.85µm
net460,733.29µm
core_X2_q\[0\],732.17µm
_07111_,732.12µm
net140,730.54µm
net1380,730.39µm
net772,729.42µm
net49,729.29µm
net123,728.3µm
core_X2_q\[15\],725.32µm
u_transform_scheduler_core.bf_X1_q\[11\],724.48µm
net1113,723.92µm
u_transform_scheduler_core.bf_X0_i\[13\],719.29µm
net842,716.23µm
core_X2_q\[13\],715.28µm
_03423_,715.22µm
net238,712.95µm
u_transform_scheduler_core.bf_X1_i\[8\],708.7µm
net805,708.65µm
_06870_,706.51µm
_03314_,705.39µm
_05243_,704.17µm
_03317_,702.61µm
u_transform_scheduler_core.bf_X0_q\[11\],701.22µm
net688,700.82µm
u_transform_scheduler_core.bf_X1_i\[7\],700.66µm
net78,698.56µm
u_transform_scheduler_core.bf_X1_i\[13\],697.91µm
net1379,694.75µm
net668,692µm
u_transform_scheduler_core.fft128_inverse_active,691.78µm
net134,691.68µm
clknet_6_41_0_clk_regs,690.68µm
net1337,690.12µm
_03570_,689.71µm
_03425_,689.07µm
core_X2_i\[9\],687.88µm
_05030_,686.2µm
net947,685.79µm
net513,685.54µm
core_X2_q\[12\],681.33µm
net58,678.93µm
net1277,676.78µm
net62,675.82µm
net706,675.05µm
net1245,668.23µm
net689,666.65µm
net138,666.31µm
_03549_,665.55µm
net896,664.9µm
net987,664.56µm
net938,664.46µm
net922,662.27µm
net984,661.1µm
_06885_,658.46µm
net804,657.65µm
net362,656.72µm
_06878_,656.38µm
net939,656.11µm
_06022_,655.35µm
u_transform_scheduler_core.bf_X0_i\[15\],654.13µm
net770,653.62µm
net1152,653.11µm
net985,651.58µm
net1378,651.02µm
_03319_,650.54µm
net659,649.75µm
net892,648.22µm
net1334,648.05µm
net1410,647.76µm
net904,645.22µm
