Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_252_2314,VDD,Metal1,1297.2400,995.6800,4.999999
FILLER_252_2280,VDD,Metal1,1287.5555,994.9110,4.999999
FILLER_252_2246,VDD,Metal1,1268.5155,994.9110,4.999999
FILLER_252_2212,VDD,Metal1,1249.4755,994.9110,4.999999
FILLER_252_2209,VDD,Metal1,1238.4400,995.6800,4.999998
FILLER_252_2205,VDD,Metal1,1237.4200,995.2475,4.999998
FILLER_252_2197,VDD,Metal1,1234.1865,995.1030,4.999998
FILLER_252_2178,VDD,Metal1,1221.0800,995.6800,4.999999
FILLER_252_2144,VDD,Metal1,1211.3955,994.9110,4.999999
FILLER_252_2110,VDD,Metal1,1192.3555,994.9110,4.999999
FILLER_252_2076,VDD,Metal1,1173.3155,994.9110,4.999999
FILLER_252_2042,VDD,Metal1,1154.2755,994.9110,4.999999
FILLER_252_2008,VDD,Metal1,1135.2355,994.9110,5.000000
FILLER_252_1974,VDD,Metal1,1116.1955,994.9110,5.000000
FILLER_252_1940,VDD,Metal1,1097.1555,994.9110,5.000000
FILLER_252_1906,VDD,Metal1,1078.1155,994.9110,5.000000
FILLER_252_1872,VDD,Metal1,1059.0755,994.9110,5.000000
FILLER_252_1838,VDD,Metal1,1040.0355,994.9110,5.000000
FILLER_252_1804,VDD,Metal1,1020.9955,994.9110,5.000000
FILLER_252_1770,VDD,Metal1,1001.9555,994.9110,5.000000
FILLER_252_1736,VDD,Metal1,982.9155,994.9110,5.000000
FILLER_252_1702,VDD,Metal1,963.8755,994.9110,5.000000
FILLER_252_1668,VDD,Metal1,944.8355,994.9110,5.000000
FILLER_252_1634,VDD,Metal1,925.7955,994.9110,4.999999
FILLER_252_1600,VDD,Metal1,906.7555,994.9110,4.999999
FILLER_252_1597,VDD,Metal1,895.7200,995.6800,4.999999
FILLER_252_1595,VDD,Metal1,894.8800,995.6800,4.999999
FILLER_252_1579,VDD,Metal1,890.4480,994.9880,4.999999
FILLER_252_1570,VDD,Metal1,880.6000,995.6800,4.999999
FILLER_252_1566,VDD,Metal1,879.5800,995.2475,4.999999
FILLER_252_1532,VDD,Metal1,868.6755,994.9110,4.999999
FILLER_252_1498,VDD,Metal1,849.6355,994.9110,4.999999
FILLER_252_1464,VDD,Metal1,830.5955,994.9110,4.999999
FILLER_252_1430,VDD,Metal1,811.5555,994.9110,4.999999
FILLER_252_1427,VDD,Metal1,800.5200,995.6800,4.999998
FILLER_252_1419,VDD,Metal1,798.5065,995.1030,4.999998
FILLER_252_1410,VDD,Metal1,791.0000,995.6800,4.999998
FILLER_252_1408,VDD,Metal1,790.1600,995.6800,4.999998
FILLER_252_1404,VDD,Metal1,788.8600,995.2475,4.999998
FILLER_252_1396,VDD,Metal1,785.6265,995.1030,4.999998
FILLER_252_1378,VDD,Metal1,777.8880,994.9880,4.999999
FILLER_252_1359,VDD,Metal1,762.4400,995.6800,4.999999
FILLER_252_1355,VDD,Metal1,761.4200,995.2475,4.999999
FILLER_252_1328,VDD,Metal1,749.8880,994.9880,4.999998
FILLER_252_1325,VDD,Metal1,743.4000,995.6800,4.999998
FILLER_252_1316,VDD,Metal1,738.3600,995.6800,4.999998
FILLER_252_1314,VDD,Metal1,737.5200,995.6800,4.999998
FILLER_252_1310,VDD,Metal1,736.2200,995.2475,4.999998
FILLER_252_1294,VDD,Metal1,730.8480,994.9880,4.999998
FILLER_252_1192,VDD,Metal1,678.2755,994.9110,4.999998
FILLER_252_1158,VDD,Metal1,659.2355,994.9110,4.999998
FILLER_252_1124,VDD,Metal1,640.1955,994.9110,4.999998
FILLER_252_1090,VDD,Metal1,621.1555,994.9110,4.999998
FILLER_252_1087,VDD,Metal1,610.1200,995.6800,4.999997
FILLER_252_1083,VDD,Metal1,609.1000,995.2475,4.999997
FILLER_252_1076,VDD,Metal1,604.2400,995.6800,4.999997
FILLER_252_1072,VDD,Metal1,602.9400,995.2475,4.999997
FILLER_252_1056,VDD,Metal1,597.5680,994.9880,4.999997
FILLER_252_1050,VDD,Metal1,590.6200,995.2475,4.999997
FILLER_252_1034,VDD,Metal1,585.2480,994.9880,4.999997
FILLER_252_1022,VDD,Metal1,574.9400,995.2475,4.999996
FILLER_252_988,VDD,Metal1,564.0355,994.9110,4.999996
FILLER_252_954,VDD,Metal1,544.9955,994.9110,4.999996
FILLER_252_950,VDD,Metal1,533.6800,995.6800,4.999995
FILLER_252_933,VDD,Metal1,523.8800,995.6800,4.999993
FILLER_252_931,VDD,Metal1,523.0400,995.6800,4.999993
FILLER_252_886,VDD,Metal1,506.9155,994.9110,4.999993
FILLER_252_883,VDD,Metal1,495.8800,995.6800,4.999994
FILLER_252_860,VDD,Metal1,483.2800,995.6800,4.999996
FILLER_252_852,VDD,Metal1,480.9865,995.1030,4.999996
FILLER_252_818,VDD,Metal1,468.8355,994.9110,4.999997
FILLER_252_784,VDD,Metal1,449.7955,994.9110,4.999998
FILLER_252_750,VDD,Metal1,430.7555,994.9110,4.999998
FILLER_252_716,VDD,Metal1,411.7155,994.9110,4.999999
FILLER_252_682,VDD,Metal1,392.6755,994.9110,4.999999
FILLER_252_648,VDD,Metal1,373.6355,994.9110,4.999999
FILLER_252_614,VDD,Metal1,354.5955,994.9110,4.999999
FILLER_252_580,VDD,Metal1,335.5555,994.9110,4.999999
FILLER_252_546,VDD,Metal1,316.5155,994.9110,5.000000
FILLER_252_512,VDD,Metal1,297.4755,994.9110,5.000000
FILLER_252_478,VDD,Metal1,278.4355,994.9110,5.000000
FILLER_252_444,VDD,Metal1,259.3955,994.9110,5.000000
FILLER_252_410,VDD,Metal1,240.3555,994.9110,5.000000
FILLER_252_376,VDD,Metal1,221.3155,994.9110,5.000000
FILLER_252_342,VDD,Metal1,202.2755,994.9110,5.000000
FILLER_252_308,VDD,Metal1,183.2355,994.9110,5.000000
FILLER_252_274,VDD,Metal1,164.1955,994.9110,5.000000
FILLER_252_240,VDD,Metal1,145.1555,994.9110,5.000000
FILLER_252_206,VDD,Metal1,126.1155,994.9110,5.000000
FILLER_252_172,VDD,Metal1,107.0755,994.9110,5.000000
FILLER_252_138,VDD,Metal1,88.0355,994.9110,5.000000
FILLER_252_104,VDD,Metal1,68.9955,994.9110,5.000000
FILLER_252_70,VDD,Metal1,49.9555,994.9110,5.000000
FILLER_252_36,VDD,Metal1,30.9155,994.9110,5.000000
FILLER_252_2,VDD,Metal1,11.8755,994.9110,5.000000
FILLER_251_2314,VDD,Metal1,1297.2400,987.8400,4.999993
FILLER_251_2312,VDD,Metal1,1296.4000,987.8400,4.999993
FILLER_251_2306,VDD,Metal1,1293.9800,988.2725,4.999993
FILLER_251_2242,VDD,Metal1,1275.2750,988.6540,4.999993
FILLER_251_2236,VDD,Metal1,1254.7800,988.2725,4.999993
FILLER_251_2172,VDD,Metal1,1236.0750,988.6540,4.999993
FILLER_251_2166,VDD,Metal1,1215.5800,988.2725,4.999993
FILLER_251_2102,VDD,Metal1,1196.8750,988.6540,4.999993
FILLER_251_2096,VDD,Metal1,1176.3800,988.2725,4.999993
FILLER_251_2032,VDD,Metal1,1157.6750,988.6540,4.999993
