Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_252_2314,VSS,Metal1,1297.2400,991.7600,0.000003
FILLER_252_2280,VSS,Metal1,1286.2040,992.3575,0.000003
FILLER_252_2246,VSS,Metal1,1267.1640,992.3575,0.000003
FILLER_252_2212,VSS,Metal1,1248.1240,992.3575,0.000003
FILLER_252_2209,VSS,Metal1,1238.4400,991.7600,0.000003
FILLER_252_2205,VSS,Metal1,1236.6600,992.1085,0.000003
FILLER_252_2197,VSS,Metal1,1233.1730,992.2215,0.000003
FILLER_252_2178,VSS,Metal1,1221.0800,991.7600,0.000003
FILLER_252_2144,VSS,Metal1,1210.0440,992.3575,0.000003
FILLER_252_2110,VSS,Metal1,1191.0040,992.3575,0.000003
FILLER_252_2076,VSS,Metal1,1171.9640,992.3575,0.000003
FILLER_252_2042,VSS,Metal1,1152.9240,992.3575,0.000003
FILLER_252_2008,VSS,Metal1,1133.8840,992.3575,0.000003
FILLER_252_1974,VSS,Metal1,1114.8440,992.3575,0.000003
FILLER_252_1940,VSS,Metal1,1095.8040,992.3575,0.000004
FILLER_252_1906,VSS,Metal1,1076.7640,992.3575,0.000004
FILLER_252_1872,VSS,Metal1,1057.7240,992.3575,0.000004
FILLER_252_1838,VSS,Metal1,1038.6840,992.3575,0.000004
FILLER_252_1804,VSS,Metal1,1019.6440,992.3575,0.000004
FILLER_252_1770,VSS,Metal1,1000.6040,992.3575,0.000004
FILLER_252_1736,VSS,Metal1,981.5640,992.3575,0.000004
FILLER_252_1702,VSS,Metal1,962.5240,992.3575,0.000004
FILLER_252_1668,VSS,Metal1,943.4840,992.3575,0.000004
FILLER_252_1634,VSS,Metal1,924.4440,992.3575,0.000006
FILLER_252_1600,VSS,Metal1,905.4040,992.3575,0.000006
FILLER_252_1597,VSS,Metal1,895.7200,991.7600,0.000010
FILLER_252_1595,VSS,Metal1,894.8800,991.7600,0.000010
FILLER_252_1579,VSS,Metal1,889.2320,992.3080,0.000013
FILLER_252_1570,VSS,Metal1,880.6000,991.7600,0.000013
FILLER_252_1566,VSS,Metal1,878.8200,992.1085,0.000013
FILLER_252_1532,VSS,Metal1,867.3240,992.3575,0.000013
FILLER_252_1498,VSS,Metal1,848.2840,992.3575,0.000013
FILLER_252_1464,VSS,Metal1,829.2440,992.3575,0.000013
FILLER_252_1430,VSS,Metal1,810.2040,992.3575,0.000016
FILLER_252_1427,VSS,Metal1,800.5200,991.7600,0.000016
FILLER_252_1419,VSS,Metal1,797.4930,992.2215,0.000016
FILLER_252_1410,VSS,Metal1,791.0000,991.7600,0.000016
FILLER_252_1408,VSS,Metal1,790.1600,991.7600,0.000016
FILLER_252_1404,VSS,Metal1,788.1000,992.1085,0.000016
FILLER_252_1396,VSS,Metal1,784.6130,992.2215,0.000017
FILLER_252_1378,VSS,Metal1,776.6720,992.3080,0.000018
FILLER_252_1359,VSS,Metal1,762.4400,991.7600,0.000019
FILLER_252_1355,VSS,Metal1,760.6600,992.1085,0.000019
FILLER_252_1328,VSS,Metal1,748.6720,992.3080,0.000025
FILLER_252_1325,VSS,Metal1,743.4000,991.7600,0.000027
FILLER_252_1316,VSS,Metal1,738.3600,991.7600,0.000031
FILLER_252_1314,VSS,Metal1,737.5200,991.7600,0.000031
FILLER_252_1310,VSS,Metal1,735.4600,992.1085,0.000031
FILLER_252_1294,VSS,Metal1,729.6320,992.3080,0.000032
FILLER_252_1192,VSS,Metal1,676.9240,992.3575,0.000031
FILLER_252_1158,VSS,Metal1,657.8840,992.3575,0.000030
FILLER_252_1124,VSS,Metal1,638.8440,992.3575,0.000029
FILLER_252_1090,VSS,Metal1,619.8040,992.3575,0.000026
FILLER_252_1087,VSS,Metal1,610.1200,991.7600,0.000031
FILLER_252_1083,VSS,Metal1,608.3400,992.1085,0.000031
FILLER_252_1076,VSS,Metal1,604.2400,991.7600,0.000031
FILLER_252_1072,VSS,Metal1,602.1800,992.1085,0.000031
FILLER_252_1056,VSS,Metal1,596.3520,992.3080,0.000031
FILLER_252_1050,VSS,Metal1,589.8600,992.1085,0.000031
FILLER_252_1034,VSS,Metal1,584.0320,992.3080,0.000031
FILLER_252_1022,VSS,Metal1,574.1800,992.1085,0.000031
FILLER_252_988,VSS,Metal1,562.6840,992.3575,0.000026
FILLER_252_954,VSS,Metal1,543.6440,992.3575,0.000026
FILLER_252_950,VSS,Metal1,533.6800,991.7600,0.000026
FILLER_252_933,VSS,Metal1,523.8800,991.7600,0.000027
FILLER_252_931,VSS,Metal1,523.0400,991.7600,0.000027
