net,length_um
_057_,993.64µm
net121,952.1µm
net120,944.87µm
net156,532.61µm
net170,531.49µm
net157,526.4µm
net169,526.04µm
net150,525.89µm
net141,524.16µm
net154,522.73µm
net143,511.28µm
net142,499.31µm
net140,495.24µm
net149,472.79µm
net155,467.04µm
net159,445.2µm
net138,444.13µm
net172,444.08µm
net165,442.45µm
net168,442.4µm
net162,441.33µm
net146,440.92µm
net147,440.16µm
net145,437.92µm
net152,436.8µm
_031_,375.55µm
_020_,367.51µm
net161,366.39µm
net137,360.94µm
_019_,355.8µm
net167,354.83µm
net151,340.58µm
net144,337.32µm
net158,315.94µm
net164,314.82µm
net160,312.53µm
net171,302.6µm
_028_,247.57µm
_022_,245.38µm
_030_,241.41µm
_021_,240.9µm
_034_,225.12µm
net148,133.94µm
_027_,132.16µm
byte_index\[0\],130.07µm
net173,117.95µm
_032_,114.44µm
_018_,102.53µm
byte_index\[2\],102.22µm
net163,102.02µm
byte_index\[3\],99.42µm
_033_,97.49µm
net71,94.84µm
net139,91.94µm
_023_,91.48µm
net69,91.28µm
net37,89.24µm
_026_,88.07µm
net153,88.02µm
net123,85.88µm
_007_,83.59µm
X1_i_i[13],81.51µm
net53,78.5µm
X1_q_i[13],75.91µm
X1_i_i[5],75.86µm
net43,75.04µm
net92,74.48µm
net166,74.48µm
_029_,72.9µm
net134,72.85µm
net136,72.29µm
X1_i_i[4],71.99µm
net110,71.12µm
X2_i_i[11],70.47µm
net52,70.05µm
X2_i_i[15],69.14µm
net44,68.93µm
net23,68.88µm
_010_,68.57µm
X2_q_i[15],67.51µm
X0_i_i[6],66.65µm
net76,66.64µm
net78,66.64µm
net27,65.52µm
X2_i_i[12],64.66µm
result_addr0_i[3],64.31µm
X0_i_i[12],64.2µm
net124,63.99µm
net68,63.84µm
X2_i_i[13],63.54µm
X0_q_i[15],63.03µm
X0_i_i[10],62.98µm
net4,62.21µm
net101,61.04µm
X0_i_i[5],60.23µm
X0_q_i[14],59.83µm
net118,59.36µm
X1_i_i[0],57.13µm
X2_q_i[5],56.36µm
X1_i_i[15],56.31µm
net45,56µm
X2_i_i[5],55.24µm
result_addr1_i[5],55.14µm
X0_q_i[3],53.62µm
transaction_done_o,53.46µm
_008_,53.25µm
_016_,53.25µm
result_addr1_i[3],53.11µm
X2_q_i[13],52.95µm
X0_i_i[2],52.9µm
net12,52.64µm
X0_q_i[6],52.5µm
X1_q_i[12],52.34µm
X1_i_i[6],51.99µm
X0_q_i[4],51.78µm
X1_q_i[2],51.78µm
net67,51.62µm
X2_i_i[9],51.48µm
net39,50.96µm
net87,50.96µm
X1_q_i[0],50.87µm
result_addr2_i[6],50.82µm
dout_o[5],50.71µm
net41,50.4µm
net47,50.4µm
result_addr2_i[4],50.15µm
net85,49.89µm
X2_q_i[10],49.75µm
X2_i_i[10],49.7µm
X0_q_i[12],49.59µm
X1_q_i[5],49.59µm
net55,49.38µm
net28,49.28µm
X2_q_i[3],49.14µm
result_addr0_i[2],48.68µm
X1_i_i[11],48.63µm
job_done_o,48.42µm
net40,48.16µm
clknet_1_1__leaf_clk,47.75µm
net64,47.65µm
net72,47.6µm
X1_q_i[9],47.56µm
X2_i_i[7],47.3µm
byte_index\[1\],47.19µm
net33,47.09µm
result_addr1_i[1],47µm
dout_o[7],46.74µm
X1_q_i[8],46.34µm
X1_i_i[3],45.93µm
_066_,45.92µm
X1_q_i[11],45.88µm
X2_i_i[8],45.88µm
net119,45.36µm
X2_q_i[12],45.16µm
net77,44.85µm
net54,44.8µm
result_addr0_i[1],44.15µm
X1_q_i[4],44.04µm
clknet_1_0__leaf_clk,43.93µm
net49,43.68µm
X1_i_i[9],43.54µm
clk,43.48µm
X2_q_i[4],43.38µm
_037_,43.17µm
X2_i_i[14],42.98µm
X0_q_i[13],42.92µm
X1_i_i[8],42.52µm
X1_q_i[14],42.42µm
X0_q_i[5],42.31µm
_009_,42.1µm
net48,42.05µm
net100,42.05µm
net13,42µm
net83,42µm
X2_q_i[14],41.96µm
X0_i_i[11],41.86µm
dout_o[4],41.7µm
net9,41.54µm
net128,41.44µm
X2_q_i[9],41.4µm
result_addr2_i[1],41.4µm
result_addr0_i[5],41.24µm
net57,40.93µm
_082_,40.93µm
net51,40.88µm
X0_i_i[9],40.79µm
result_addr0_i[6],40.79µm
X0_q_i[8],40.74µm
X1_i_i[12],40.68µm
net59,40.32µm
X0_q_i[1],40.28µm
X2_q_i[0],40.28µm
X2_q_i[2],40.28µm
result_addr1_i[0],40.23µm
net5,39.81µm
_024_,39.81µm
X0_i_i[13],39.51µm
_073_,39.25µm
result_addr2_i[3],39.11µm
X2_q_i[6],39.06µm
X0_q_i[7],38.9µm
net80,38.64µm
X1_q_i[1],38.6µm
X2_i_i[4],38.39µm
net63,38.08µm
_095_,37.57µm
X2_q_i[11],37.48µm
_051_,37.01µm
net26,36.96µm
X1_q_i[6],36.92µm
X0_i_i[0],36.87µm
X0_q_i[0],36.87µm
X1_i_i[14],36.82µm
X1_i_i[7],36.76µm
X1_q_i[15],36.71µm
net70,36.45µm
X0_i_i[8],36.41µm
X0_i_i[3],36.36µm
X2_i_i[1],36.31µm
X0_q_i[2],36.26µm
X0_i_i[15],36.15µm
net2,35.89µm
X1_q_i[3],35.75µm
X2_i_i[3],35.75µm
X1_i_i[1],35.7µm
X2_q_i[7],35.59µm
net50,35.33µm
net16,35.28µm
net29,35.28µm
_050_,35.28µm
result_addr0_i[0],35.19µm
_002_,34.87µm
result_addr2_i[0],34.73µm
net75,34.72µm
_091_,34.72µm
net125,34.31µm
net62,34.16µm
X2_i_i[6],34.07µm
X2_q_i[1],34.02µm
X0_i_i[7],33.91µm
result_addr2_i[5],33.91µm
net42,33.6µm
net79,33.6µm
result_radix_i[1],33.56µm
dout_o[3],33.51µm
X2_i_i[2],33.46µm
clknet_0_clk,33.09µm
net90,33.04µm
_064_,33.04µm
net130,33.04µm
X1_i_i[2],32.74µm
X1_q_i[7],32.74µm
_069_,32.48µm
X0_i_i[1],32.44µm
_015_,31.97µm
net117,31.97µm
_090_,31.92µm
result_radix_i[0],31.78µm
dout_o[1],31.78µm
dout_o[6],31.78µm
net132,31.46µm
X0_q_i[11],31.22µm
X0_i_i[4],31.06µm
net21,30.8µm
_052_,30.8µm
_065_,30.8µm
X0_i_i[14],30.66µm
result_addr1_i[6],30.66µm
net30,30.29µm
net10,30.24µm
X2_i_i[0],30.2µm
net65,29.73µm
net89,29.73µm
net109,29.73µm
_046_,29.68µm
net11,29.12µm
_070_,29.12µm
X0_q_i[9],28.98µm
X1_q_i[10],28.82µm
_045_,28.61µm
net14,28.56µm
result_addr0_i[4],28.26µm
net60,28.05µm
_101_,27.49µm
net20,27.44µm
_038_,27.44µm
net111,26.88µm
net66,26.37µm
_003_,26.32µm
_036_,25.86µm
net31,25.25µm
net34,25.25µm
net114,25.25µm
_061_,25.2µm
net3,24.69µm
_048_,24.64µm
net97,24.28µm
net82,24.13µm
_039_,24.08µm
net131,24.08µm
X0_q_i[10],23.99µm
result_addr1_i[2],23.99µm
result_addr1_i[4],23.83µm
net46,23.62µm
_063_,22.96µm
net1,22.45µm
net91,22.45µm
_097_,22.45µm
net127,22.45µm
net108,22.45µm
X2_q_i[8],22.36µm
net107,21.89µm
net22,21.84µm
_001_,21.84µm
net106,21.84µm
_081_,21.38µm
net96,21.28µm
net58,20.77µm
net24,20.72µm
dout_o[2],20.42µm
net7,20.16µm
net94,20.16µm
net115,19.65µm
net56,19.6µm
net99,19.6µm
rst_n,19.3µm
_025_,19.09µm
_041_,19.04µm
net15,18.53µm
net81,18.53µm
result_valid_i,18.28µm
result_addr2_i[2],18.18µm
net61,17.97µm
_083_,17.97µm
net116,17.97µm
net25,17.92µm
_075_,17.92µm
net35,17.41µm
net38,17.41µm
net18,16.85µm
net98,16.85µm
net113,16.8µm
X1_i_i[10],16.55µm
net102,16.29µm
enable_i,15.94µm
_072_,15.73µm
_044_,15.68µm
_047_,15.12µm
result_last_i,14.92µm
_017_,14.66µm
net19,14.61µm
_043_,14.1µm
_053_,14.05µm
_074_,14µm
net32,13.49µm
_012_,13.49µm
net73,13.44µm
net135,13.44µm
_035_,12.93µm
_071_,12.93µm
net105,12.88µm
_005_,12.37µm
net84,12.32µm
_093_,12.32µm
net133,12.32µm
_088_,11.76µm
_102_,11.76µm
net122,11.76µm
_078_,11.25µm
net129,11.25µm
net95,11.2µm
_006_,11.2µm
_042_,11.2µm
busy_o,10.95µm
result_ready_o,10.95µm
net8,10.69µm
_004_,10.69µm
_089_,10.69µm
dout_o[0],10.5µm
net104,10.13µm
net103,10.08µm
_040_,9.57µm
_068_,9.57µm
_103_,9.52µm
_049_,9.06µm
net6,9.01µm
_013_,8.45µm
_092_,8.45µm
net112,8.4µm
_099_,7.94µm
net126,7.84µm
net74,7.38µm
net36,7.28µm
_014_,7.28µm
_094_,6.72µm
_087_,6.26µm
_067_,6.21µm
_077_,6.21µm
_000_,5.65µm
dout_valid_o,5.3µm
_098_,5.14µm
net17,5.04µm
_055_,5.04µm
_059_,4.58µm
_056_,4.48µm
_054_,4.02µm
_080_,4.02µm
_100_,3.97µm
net88,3.92µm
_011_,3.92µm
_096_,3.92µm
_104_,3.92µm
_085_,3.46µm
_060_,3.36µm
_062_,3.36µm
_058_,2.8µm
_086_,2.8µm
_076_,2.34µm
net86,2.24µm
net93,2.24µm
_079_,2.24µm
_084_,1.68µm
