net,length_um
rst_n,26.41923mm
u_core.u_transform_scheduler_core.tx_mapper_source_addr\[0\],4.1764mm
u_core.u_transform_scheduler_core.tx_mapper_source_addr\[1\],3.49438mm
_02208_,3.33507mm
_05867_,3.308mm
_07376_,3.28997mm
_06366_,3.17796mm
_04326_,3.16834mm
net3,2.95015mm
net1,2.92332mm
_02982_,2.86956mm
_02848_,2.8337mm
_05860_,2.76451mm
_02926_,2.76054mm
_02798_,2.75269mm
_05866_,2.73354mm
_06367_,2.68874mm
_02867_,2.68474mm
_05871_,2.59099mm
_02797_,2.5678mm
_05865_,2.51224mm
_04937_,2.48595mm
net11,2.48338mm
_06365_,2.46856mm
_07079_,2.45307mm
_02777_,2.44776mm
net2,2.43143mm
_02945_,2.43008mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],2.41815mm
_04400_,2.40518mm
_06378_,2.40472mm
_05862_,2.38731mm
_04928_,2.34222mm
_06372_,2.34078mm
_04319_,2.3292mm
net49,2.32123mm
net39,2.32037mm
_06375_,2.30025mm
u_core.u_transform_scheduler_core.tx_mapper_source_addr\[3\],2.21771mm
_05858_,2.18174mm
net56,2.1706mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],2.16052mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],2.15219mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],2.13869mm
_04322_,2.12471mm
_04318_,2.11678mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],2.11092mm
_05870_,2.10605mm
net14,2.1038mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],2.08868mm
_07378_,2.04031mm
net60,2.02161mm
net17,2.01288mm
net77,2.00574mm
_05859_,2.00046mm
net76,1.99495mm
_07379_,1.98101mm
net5,1.97254mm
net58,1.96121mm
_06368_,1.9611mm
_04325_,1.96024mm
net27,1.9581mm
net89,1.95493mm
net62,1.93474mm
_05861_,1.93444mm
net63,1.91478mm
net57,1.87543mm
net33,1.87495mm
_02868_,1.87188mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],1.87163mm
net30,1.85682mm
_05863_,1.85086mm
_04935_,1.833mm
_05857_,1.82898mm
_05687_,1.81961mm
_02928_,1.80789mm
net6,1.80502mm
_02964_,1.80353mm
net88,1.80282mm
_07642_,1.80028mm
_07377_,1.78175mm
net53,1.77539mm
net4,1.77218mm
_02850_,1.76997mm
_06376_,1.76054mm
net61,1.75523mm
_06371_,1.74722mm
net64,1.7357mm
_04434_,1.73562mm
net90,1.73461mm
_04172_,1.72769mm
net59,1.72087mm
_07080_,1.71132mm
net19,1.70701mm
u_core.u_transform_scheduler_core.fft128_active,1.69653mm
net18,1.68095mm
net42,1.66608mm
net44,1.64201mm
_05855_,1.63448mm
_02885_,1.59297mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],1.56371mm
clknet_3_5__leaf_clk_regs,1.54681mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],1.54006mm
_02605_,1.53668mm
_04735_,1.53663mm
net24,1.53055mm
_05740_,1.52857mm
net16,1.52222mm
_04936_,1.49747mm
_02598_,1.48846mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.48411mm
_03958_,1.47941mm
net36,1.47447mm
_02601_,1.47049mm
_02903_,1.45767mm
net38,1.45742mm
net43,1.45667mm
dout_OUT[6],1.45564mm
_05656_,1.44844mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.44837mm
net9,1.44163mm
clknet_3_7__leaf_clk_regs,1.43623mm
net37,1.43227mm
net54,1.43128mm
_02581_,1.43022mm
net55,1.42651mm
_03745_,1.4212mm
clknet_3_2__leaf_clk_regs,1.41679mm
clknet_3_0__leaf_clk_regs,1.41485mm
_05854_,1.41155mm
_02713_,1.40304mm
_03969_,1.39877mm
_02886_,1.37938mm
net35,1.37393mm
_02698_,1.37225mm
net75,1.37148mm
_02600_,1.37041mm
_02946_,1.35463mm
_05659_,1.34557mm
_04173_,1.34386mm
_05658_,1.32261mm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_product_fire,1.31233mm
net7,1.30707mm
_04305_,1.29598mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],1.29511mm
_04306_,1.29344mm
_04647_,1.29226mm
u_core.u_transform_scheduler_core.bf_X1_q\[6\],1.28878mm
_06360_,1.28832mm
_04340_,1.28396mm
_04948_,1.27131mm
u_core.u_transform_scheduler_core.bf_X1_q\[15\],1.26931mm
net40,1.26628mm
_04510_,1.26223mm
net8,1.25405mm
_06776_,1.25364mm
u_core.u_transform_scheduler_core.bf_X1_q\[0\],1.24943mm
net31,1.2437mm
_02700_,1.23794mm
net74,1.23728mm
_07077_,1.22761mm
_02582_,1.22613mm
_06118_,1.21768mm
_04341_,1.21407mm
_07375_,1.21254mm
_08693_,1.20954mm
_02536_,1.15893mm
_04951_,1.15592mm
_02533_,1.15542mm
u_core.u_transform_scheduler_core.bf_X1_i\[0\],1.15115mm
_02705_,1.15055mm
net22,1.15034mm
clknet_3_1__leaf_clk_regs,1.14984mm
u_core.u_transform_scheduler_core.bf_X1_i\[15\],1.14209mm
_08776_,1.14178mm
_04171_,1.14132mm
_08668_,1.13751mm
_01987_,1.13546mm
u_core.u_transform_scheduler_core.bf_out_valid,1.13266mm
_03685_,1.13261mm
dout_OUT[3],1.12051mm
_02586_,1.12024mm
_04511_,1.1066mm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],1.09196mm
_05864_,1.09179mm
clknet_3_3__leaf_clk_regs,1.08939mm
dout_OUT[1],1.0891mm
_06489_,1.08888mm
net,1.08644mm
dout_OUT[2],1.08147mm
_04492_,1.07937mm
u_core.u_transform_scheduler_core.bf_X1_q\[3\],1.07333mm
dout_OUT[0],1.06979mm
dout_OUT[5],1.06859mm
_08307_,1.06654mm
_07187_,1.06623mm
_02403_,1.06241mm
dout_OUT[4],1.05931mm
net26,1.0588mm
net23,1.05552mm
_04391_,1.04236mm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],1.03243mm
net45,1.0271mm
u_core.u_transform_scheduler_core.bf_X1_i\[3\],1.00565mm
_04590_,1.00321mm
u_core.u_transform_scheduler_core.bf_X1_q\[2\],1.00228mm
_04950_,997.3µm
u_core.u_transform_scheduler_core.bf_X1_i\[12\],993.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[4\],993.13µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],993.1µm
clknet_3_4__leaf_clk_regs,982.08µm
_04460_,981.56µm
u_core.u_transform_scheduler_core.tx_mapper_busy,980.74µm
_04938_,974.04µm
net15,973.22µm
_02780_,969.46µm
clknet_0_clk_regs,968.64µm
_06377_,966.345µm
_08777_,965.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[5\],965.48µm
_08401_,965.29µm
u_core.u_transform_scheduler_core.bf_X1_i\[11\],963.09µm
_04947_,960.8µm
u_core.u_transform_scheduler_core.bf_X1_q\[4\],960.04µm
u_core.u_transform_scheduler_core.bf_X1_i\[14\],958.97µm
_08299_,958.87µm
_04500_,956.98µm
_08294_,956.27µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[3\],955.61µm
_04801_,954.79µm
_02209_,950.57µm
_05977_,948.28µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],946.28µm
clk,938.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[6\],937.79µm
u_core.u_transform_scheduler_core.bf_X1_q\[5\],935.7µm
u_core.u_transform_scheduler_core.bf_X1_i\[6\],932.95µm
u_core.u_transform_scheduler_core.bf_X1_q\[1\],926.29µm
_08368_,920.13µm
_04303_,918.5µm
_08437_,913.66µm
