net,length_um
rst_n,24.03329mm
net1,2.47598mm
net3,2.35886mm
net2,2.29557mm
net8,2.25353mm
net5,2.18908mm
_02000_,2.14769mm
net6,2.12913mm
net165,2.08211mm
net4,2.04028mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],2.02769mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],1.9988mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],1.9429mm
net106,1.93753mm
_04779_,1.92459mm
net72,1.89553mm
net7,1.8954mm
net95,1.86482mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],1.84439mm
_05906_,1.84101mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],1.83741mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],1.83693mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],1.76401mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],1.72104mm
_03894_,1.70666mm
net207,1.69182mm
net166,1.67158mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.65196mm
_04134_,1.49188mm
net208,1.4543mm
net204,1.41103mm
net209,1.40606mm
u_transform_scheduler_core.dft12_phase\[2\],1.3955mm
_02003_,1.36995mm
net193,1.36638mm
_04139_,1.34626mm
net101,1.34276mm
_05669_,1.32388mm
_05453_,1.32327mm
net188,1.31747mm
u_transform_scheduler_core.bf_X1_q\[13\],1.31182mm
net124,1.29317mm
u_transform_scheduler_core.bf_X1_i\[8\],1.28351mm
net196,1.27871mm
net56,1.27117mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.26973mm
net171,1.26024mm
net202,1.25897mm
net176,1.25647mm
net102,1.24695mm
clknet_0_clk_regs,1.24116mm
_03893_,1.2367mm
net118,1.2356mm
net96,1.23402mm
u_transform_scheduler_core.bf_X1_q\[8\],1.23301mm
net178,1.23219mm
net52,1.22272mm
clknet_3_2__leaf_clk_regs,1.2184mm
_03593_,1.21275mm
net206,1.20987mm
net126,1.19419mm
net145,1.19289mm
net148,1.18245mm
clknet_3_5__leaf_clk_regs,1.18016mm
net181,1.17375mm
net58,1.17191mm
net119,1.17095mm
_05437_,1.16349mm
_04184_,1.16346mm
u_transform_scheduler_core.bf_X1_q\[15\],1.16184mm
net129,1.1575mm
clknet_3_4__leaf_clk_regs,1.14819mm
u_transform_scheduler_core.bf_X1_q\[11\],1.14677mm
clknet_3_3__leaf_clk_regs,1.14494mm
net197,1.13007mm
clknet_3_6__leaf_clk_regs,1.12997mm
net53,1.12798mm
net100,1.12419mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],1.12138mm
net175,1.11545mm
net137,1.11366mm
clknet_3_1__leaf_clk_regs,1.11321mm
net59,1.10808mm
_04018_,1.10655mm
_05901_,1.0926mm
net180,1.09204mm
u_transform_scheduler_core.bf_X1_i\[4\],1.09021mm
u_transform_scheduler_core.bf_X1_q\[14\],1.08894mm
net33,1.07936mm
net127,1.07934mm
clk,1.07847mm
clknet_3_0__leaf_clk_regs,1.07453mm
_06707_,1.07315mm
net139,1.06995mm
net198,1.06931mm
_03895_,1.06852mm
_03034_,1.06353mm
net170,1.06251mm
clknet_3_7__leaf_clk_regs,1.06221mm
u_transform_scheduler_core.fft128_inverse_active,1.05844mm
_04298_,1.05691mm
net34,1.04539mm
u_transform_scheduler_core.bf_X1_q\[7\],1.04537mm
net61,1.04134mm
net200,1.04113mm
u_transform_scheduler_core.bf_X1_q\[9\],1.03935mm
net184,1.03731mm
net67,1.03634mm
_02708_,1.03411mm
u_transform_scheduler_core.bf_X1_i\[14\],1.02774mm
_05670_,1.02552mm
net60,1.0224mm
_04797_,1.01878mm
net135,1.01648mm
_05905_,1.01422mm
net73,1.01378mm
u_transform_scheduler_core.bf_X1_i\[3\],1.01227mm
net125,1.01216mm
net164,1.01201mm
u_transform_scheduler_core.bf_X1_i\[1\],1.0056mm
net62,1.00132mm
u_transform_scheduler_core.bf_X1_q\[10\],1.00127mm
_04470_,993.64µm
net104,985.17µm
u_transform_scheduler_core.bf_X1_q\[5\],983.81µm
net41,980.45µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],979.14µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],976.49µm
net105,970µm
u_transform_scheduler_core.bf_X1_i\[5\],969.96µm
_04799_,969.33µm
u_transform_scheduler_core.bf_X1_i\[15\],967.52µm
_04168_,962.68µm
_04167_,960.7µm
net185,959.78µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],958.12µm
net69,957.44µm
_06896_,955.76µm
u_transform_scheduler_core.bf_X1_i\[6\],950.69µm
net136,946.99µm
net54,942.01µm
net191,941.35µm
_08195_,934.33µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[2\],928.99µm
net22,928.62µm
u_transform_scheduler_core.bf_X1_q\[2\],927.81µm
u_transform_scheduler_core.tx_mapper_source_addr\[2\],926.1µm
net192,921.77µm
u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_pending,917.32µm
net131,916.2µm
net80,915.95µm
net23,909.74µm
net26,907.4µm
net143,906.48µm
net144,905.77µm
_04245_,902.71µm
_05438_,901.19µm
net21,900.81µm
net121,899.735µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],897.95µm
u_transform_scheduler_core.bf_X1_i\[13\],897.67µm
_02424_,896.81µm
_03713_,894.47µm
net24,891.31µm
u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_product_fire,887.13µm
_04262_,872.47µm
u_transform_scheduler_core.bf_X1_i\[11\],865.45µm
net28,863.26µm
u_transform_scheduler_core.bf_X1_q\[4\],858.98µm
net194,858.17µm
net189,857.865µm
_08219_,856.28µm
_06805_,852.16µm
_02465_,846.61µm
_05441_,846.2µm
net190,842.73µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[0\],841.2µm
_08299_,838.82µm
u_transform_scheduler_core.bf_out_valid,838.57µm
net132,837.19µm
_04174_,834.9µm
serializer_busy,833.83µm
net174,828.89µm
u_transform_scheduler_core.bf_X1_q\[12\],828.08µm
net103,826.96µm
net94,824.77µm
_02645_,823.14µm
net108,820.06µm
net154,816.47µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],815.91µm
net57,812.52µm
_05454_,811.02µm
net163,808.02µm
net153,807.51µm
net63,796.21µm
net38,795.79µm
u_transform_scheduler_core.bf_X1_i\[12\],793.05µm
_05448_,792.59µm
