net,length_um
rst_n,23.60979mm
net6,2.69313mm
net5,2.60735mm
net1,2.46928mm
net8,2.4563mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],2.44787mm
net4,2.44741mm
net2,2.40875mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],2.40867mm
net7,2.33068mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],2.28986mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],2.28314mm
u_transform_scheduler_core.tx_mapper_source_addr\[3\],2.2471mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],2.21839mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],2.19757mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],2.12025mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],2.08327mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.96837mm
_04081_,1.82391mm
net106,1.77319mm
_05678_,1.71651mm
net217,1.70763mm
net216,1.63961mm
u_transform_scheduler_core.bf_X1_i\[10\],1.62888mm
u_transform_scheduler_core.dft12_phase\[2\],1.58713mm
net107,1.57701mm
u_transform_scheduler_core.tx_mapper_source_addr\[0\],1.52573mm
net164,1.4936mm
_06112_,1.48928mm
net110,1.48617mm
_04969_,1.46748mm
u_transform_scheduler_core.bf_X1_i\[13\],1.45879mm
u_transform_scheduler_core.bf_X1_i\[11\],1.43698mm
u_transform_scheduler_core.bf_X1_i\[15\],1.41781mm
clknet_3_1__leaf_clk_regs,1.4175mm
net147,1.41074mm
clknet_3_2__leaf_clk_regs,1.39887mm
_04630_,1.38559mm
net180,1.37555mm
clknet_3_0__leaf_clk_regs,1.34633mm
net137,1.34618mm
clknet_3_5__leaf_clk_regs,1.34435mm
u_transform_scheduler_core.bf_X1_i\[9\],1.34277mm
net187,1.34047mm
u_transform_scheduler_core.bf_X1_i\[12\],1.32653mm
net183,1.32202mm
net208,1.319815mm
net150,1.31955mm
_04082_,1.31576mm
net179,1.30331mm
_02061_,1.29792mm
u_transform_scheduler_core.bf_X1_q\[14\],1.29446mm
u_transform_scheduler_core.bf_X1_i\[7\],1.29016mm
u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],1.28311mm
clknet_0_clk_regs,1.27603mm
net130,1.25937mm
net48,1.25798mm
_06118_,1.25452mm
u_transform_scheduler_core.bf_X1_i\[8\],1.25363mm
u_transform_scheduler_core.bf_X1_i\[6\],1.23739mm
_04211_,1.23571mm
net184,1.2356mm
net215,1.23376mm
net54,1.21421mm
net181,1.21361mm
u_transform_scheduler_core.bf_X1_i\[5\],1.19534mm
u_transform_scheduler_core.u_mixed_radix_butterfly.multiply_product_fire,1.18006mm
net76,1.17125mm
net209,1.15901mm
net170,1.13964mm
net151,1.13048mm
net198,1.12885mm
_07480_,1.12559mm
net174,1.12401mm
net175,1.12401mm
u_transform_scheduler_core.tx_mapper_source_addr\[2\],1.12129mm
_05677_,1.11973mm
u_transform_scheduler_core.bf_X1_q\[9\],1.11792mm
_04294_,1.11637mm
_05674_,1.10716mm
_02634_,1.10181mm
u_transform_scheduler_core.bf_X1_q\[8\],1.09582mm
clknet_3_6__leaf_clk_regs,1.09355mm
clk,1.09303mm
u_transform_scheduler_core.bf_X1_q\[12\],1.09194mm
_05681_,1.0898mm
net103,1.07376mm
u_transform_scheduler_core.bf_X1_i\[4\],1.06216mm
net52,1.06111mm
net108,1.05966mm
clknet_3_4__leaf_clk_regs,1.04867mm
net149,1.04856mm
net45,1.0478mm
u_transform_scheduler_core.bf_X1_q\[13\],1.04627mm
net131,1.04607mm
_04296_,1.04579mm
net182,1.042145mm
net56,1.03574mm
net50,1.02281mm
