Metric,Value
design__instance__count,43470
design__instance__area,1125370
design__instance_unmapped__count,0
synthesis__check_error__count,697
design__max_slew_violation__count__corner:nom_tt_025C_5v00,339
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,32
power__internal__total,0.14276747405529022
power__switching__total,0.06491074711084366
power__leakage__total,0.0000054375982472265605
power__total,0.20768366754055023
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.2937904447320416
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.2937904447320416
timing__hold__ws__corner:nom_tt_025C_5v00,0.7486519394097988
timing__setup__ws__corner:nom_tt_025C_5v00,7.0629406544698305
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.748652
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,7.062941
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,342
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,28
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.4679556874451203
clock__skew__worst_setup__corner:nom_ss_125C_4v50,-0.4679556874451203
timing__hold__ws__corner:nom_ss_125C_4v50,1.3600159161577312
timing__setup__ws__corner:nom_ss_125C_4v50,-7.5884047859939585
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,-2270.988780418863
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-7.5884047859939585
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.360016
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,691
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-7.588405
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,690
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,194
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,14
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0.2154807504530543
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.2154807504530543
timing__hold__ws__corner:nom_ff_n40C_5v50,0.47564398210808934
timing__setup__ws__corner:nom_ff_n40C_5v50,13.717764201723533
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.475644
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,13.717764
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,624
design__max_fanout_violation__count,0
design__max_cap_violation__count,44
clock__skew__worst_hold,0.5270217744717309
clock__skew__worst_setup,-0.4679556874451203
timing__hold__ws,0.4723863656171025
timing__setup__ws,-9.51103756006723
timing__hold__tns,0.0
timing__setup__tns,-3307.565841944871
timing__hold__wns,0
timing__setup__wns,-9.51103756006723
timing__hold_vio__count,0
timing__hold_r2r__ws,0.472386
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2099
timing__setup_r2r__ws,-9.511038
timing__setup_r2r_vio__count,2096
design__die__bbox,0.0 0.0 1092.66 1119.54
design__core__bbox,6.72 20.16 1085.84 1098.72
design__io,23
design__die__area,1223280
design__core__area,1163900
design__instance__count__stdcell,16466
design__instance__area__stdcell,462761
design__instance__count__macros,2
design__instance__area__macros,294425
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.650561
design__instance__utilization__stdcell,0.532233
design__rows,360
design__rows:GF018hv5v_green_sc9,360
design__sites,294410
design__sites:GF018hv5v_green_sc9,294410
design__instance__count__class:macro,2
design__instance__area__class:macro,294425
design__instance__count__class:buffer,32
design__instance__area__class:buffer,1264.44
design__instance__count__class:inverter,492
design__instance__area__class:inverter,5661.73
design__instance__count__class:sequential_cell,1993
design__instance__area__class:sequential_cell,174024
design__instance__count__class:multi_input_combinational_cell,8610
design__instance__area__class:multi_input_combinational_cell,225823
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,720
design__instance__area__class:endcap_cell,4064.26
design__instance__count__class:tap_cell,4180
design__instance__area__class:tap_cell,23595.3
flow__warnings__count:PDN-0110,1
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,21
design__io__hpwl,39389876
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1202.32
design__instance__displacement__mean,0.073
design__instance__displacement__max,35.84
route__wirelength__estimated,772671
design__violations,0
design__instance__count__class:timing_repair_buffer,221
design__instance__area__class:timing_repair_buffer,15813.9
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,135
design__instance__area__class:clock_buffer,10516.3
design__instance__count__class:clock_inverter,76
design__instance__area__class:clock_inverter,1958.75
design__instance__count__setup_buffer,4
design__instance__count__hold_buffer,0
global_route__vias,244
global_route__wirelength,1266249
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
route__net,11493
route__net__special,2
route__drc_errors__iter:0,128
route__wirelength__iter:0,934781
route__drc_errors__iter:1,16
route__wirelength__iter:1,934749
route__drc_errors__iter:2,20
route__wirelength__iter:2,934746
route__drc_errors__iter:3,0
route__wirelength__iter:3,934657
route__drc_errors,0
route__wirelength,934657
route__vias,87862
route__vias__singlecut,87862
route__vias__multicut,0
design__instance__count__class:antenna_cell,7
design__instance__area__class:antenna_cell,39.5136
flow__warnings__count:DRT-0120,2
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,23609.8
design__instance__count__class:fill_cell,27002
design__instance__area__class:fill_cell,368182
timing__unannotated_net__count__corner:nom_tt_025C_5v00,93
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,93
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,93
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,211
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
design__max_cap_violation__count__corner:min_tt_025C_5v00,20
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.2653124461888762
clock__skew__worst_setup__corner:min_tt_025C_5v00,-0.2653124461888762
timing__hold__ws__corner:min_tt_025C_5v00,0.746442373483699
timing__setup__ws__corner:min_tt_025C_5v00,7.973723240710014
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.746442
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,7.973723
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,93
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,190
design__max_fanout_violation__count__corner:min_ss_125C_4v50,0
design__max_cap_violation__count__corner:min_ss_125C_4v50,20
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.425170355401274
clock__skew__worst_setup__corner:min_ss_125C_4v50,-0.425170355401274
timing__hold__ws__corner:min_ss_125C_4v50,1.3564845186611287
timing__setup__ws__corner:min_ss_125C_4v50,-6.006054490413724
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,-1459.449363559082
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,-6.006054490413724
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.356485
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,645
timing__setup_r2r__ws__corner:min_ss_125C_4v50,-6.006054
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,644
timing__unannotated_net__count__corner:min_ss_125C_4v50,93
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,178
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,0
design__max_cap_violation__count__corner:min_ff_n40C_5v50,10
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.1929357839212834
clock__skew__worst_setup__corner:min_ff_n40C_5v50,-0.1929357839212834
timing__hold__ws__corner:min_ff_n40C_5v50,0.4723863656171025
timing__setup__ws__corner:min_ff_n40C_5v50,14.32310222079028
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.472386
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,14.323102
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,93
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,624
design__max_fanout_violation__count__corner:max_tt_025C_5v00,0
design__max_cap_violation__count__corner:max_tt_025C_5v00,44
clock__skew__worst_hold__corner:max_tt_025C_5v00,0.3335345427585202
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.3335345427585202
timing__hold__ws__corner:max_tt_025C_5v00,0.7513792023469227
timing__setup__ws__corner:max_tt_025C_5v00,6.001578071051833
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.751379
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,6.001578
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,93
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,494
design__max_fanout_violation__count__corner:max_ss_125C_4v50,0
design__max_cap_violation__count__corner:max_ss_125C_4v50,41
clock__skew__worst_hold__corner:max_ss_125C_4v50,0.5270217744717309
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.5270217744717309
timing__hold__ws__corner:max_ss_125C_4v50,1.3643824234370752
timing__setup__ws__corner:max_ss_125C_4v50,-9.51103756006723
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,-3307.565841944871
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-9.51103756006723
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.364382
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,763
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-9.511038
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,762
timing__unannotated_net__count__corner:max_ss_125C_4v50,93
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,295
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,0
design__max_cap_violation__count__corner:max_ff_n40C_5v50,27
clock__skew__worst_hold__corner:max_ff_n40C_5v50,0.24526792402388356
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.24526792402388356
timing__hold__ws__corner:max_ff_n40C_5v50,0.4774598629385228
timing__setup__ws__corner:max_ff_n40C_5v50,13.021647240168669
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.477460
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,13.021647
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,93
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,93
timing__unannotated_net_filtered__count,0
