Metric,Value
design__instance__count,16509
design__instance__area,758964
design__instance_unmapped__count,0
synthesis__check_error__count,697
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.0818342
power__switching__total,0.0218398
power__leakage__total,0.0000129079
power__total,0.103687
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.149837
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.149837
timing__hold__ws__corner:nom_tt_025C_5v00,0.616265
timing__setup__ws__corner:nom_tt_025C_5v00,1.08907
timing__hold__tns__corner:nom_tt_025C_5v00,0
timing__setup__tns__corner:nom_tt_025C_5v00,0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.616265
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,1.08907
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,3222
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,55
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0
timing__hold__ws__corner:nom_ss_125C_4v50,0.09408514511559032
timing__setup__ws__corner:nom_ss_125C_4v50,-86.03653855099682
timing__hold__tns__corner:nom_ss_125C_4v50,0
timing__setup__tns__corner:nom_ss_125C_4v50,-77160.52132255543
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-86.03653855099682
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.022397
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,1435
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-86.036537
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,1434
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,2901
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,45
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0
timing__hold__ws__corner:nom_ff_n40C_5v50,0.016883498549327042
timing__setup__ws__corner:nom_ff_n40C_5v50,-14.864373264096862
timing__hold__tns__corner:nom_ff_n40C_5v50,0
timing__setup__tns__corner:nom_ff_n40C_5v50,-10552.024221514368
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,-14.864373264096862
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
