Metric,Value
design__instance__count,17609
design__instance__area,804974
design__instance_unmapped__count,0
synthesis__check_error__count,697
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.125914
power__switching__total,0.0392041
power__leakage__total,0.0000138572
power__total,0.165132
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.136312
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.136312
timing__hold__ws__corner:nom_tt_025C_5v00,0.589078
timing__setup__ws__corner:nom_tt_025C_5v00,-4.91171
timing__hold__tns__corner:nom_tt_025C_5v00,0
timing__setup__tns__corner:nom_tt_025C_5v00,-1863.58
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,-4.91171
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.589078
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,746
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,-4.91171
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,745
design__max_slew_violation__count__corner:nom_ss_125C_4v50,3612
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,56
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0
timing__hold__ws__corner:nom_ss_125C_4v50,0.30091796572941265
timing__setup__ws__corner:nom_ss_125C_4v50,-64.75824149105621
timing__hold__tns__corner:nom_ss_125C_4v50,0
timing__setup__tns__corner:nom_ss_125C_4v50,-61808.72325969483
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-64.75824149105621
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.804617
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,1729
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-64.75824
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,1720
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,3432
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,47
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0
timing__hold__ws__corner:nom_ff_n40C_5v50,0.10058323902913659
timing__setup__ws__corner:nom_ff_n40C_5v50,-12.836832404835288
timing__hold__tns__corner:nom_ff_n40C_5v50,0
timing__setup__tns__corner:nom_ff_n40C_5v50,-9037.381715669877
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,-12.836832404835288
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.183678
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,1033
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,-12.836832
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,1032
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.214576
clock__skew__worst_setup,0.214576
timing__hold__ws,1.1479
timing__setup__ws,-3.17383
timing__hold__tns,0
timing__setup__tns,-1641.84
timing__hold__wns,0
timing__setup__wns,-3.17383
timing__hold_vio__count,0
timing__hold_r2r__ws,1.1479
timing__hold_r2r_vio__count,0
timing__setup_vio__count,707
timing__setup_r2r__ws,-3.17383
timing__setup_r2r_vio__count,694
design__die__bbox,0.0 0.0 1115.795 1142.675
design__core__bbox,6.72 20.16 1108.8 1118.88
design__io,23
design__die__area,1274990
design__core__area,1210880
design__instance__count__stdcell,17607
design__instance__area__stdcell,510550
design__instance__count__macros,2
design__instance__area__macros,294425
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.664786
design__instance__utilization__stdcell,0.557093
design__rows,364
design__rows:GF018hv5v_green_sc9,364
design__sites,311056
design__sites:GF018hv5v_green_sc9,311056
design__instance__count__class:macro,2
design__instance__area__class:macro,294425
design__instance__count__class:buffer,32
design__instance__area__class:buffer,1264.44
design__instance__count__class:inverter,610
design__instance__area__class:inverter,7022.13
design__instance__count__class:sequential_cell,2116
design__instance__area__class:sequential_cell,185234
design__instance__count__class:multi_input_combinational_cell,9132
design__instance__area__class:multi_input_combinational_cell,248210
flow__warnings__count,0
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,0
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,728
design__instance__area__class:endcap_cell,4109.41
design__instance__count__class:tap_cell,4469
design__instance__area__class:tap_cell,25226.6
flow__warnings__count:PDN-0110,1
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,21
design__io__hpwl,36286183
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,23616.1
design__instance__displacement__mean,1.341
design__instance__displacement__max,98.56
route__wirelength__estimated,776169
design__violations,0
design__instance__count__class:timing_repair_buffer,299
design__instance__area__class:timing_repair_buffer,26127
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,136
design__instance__area__class:clock_buffer,10691.3
design__instance__count__class:clock_inverter,85
design__instance__area__class:clock_inverter,2664.35
design__instance__count__setup_buffer,65
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,0
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,0.214576
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.214576
timing__hold__ws__corner:max_ss_125C_4v50,1.1479
timing__setup__ws__corner:max_ss_125C_4v50,-3.17383
timing__hold__tns__corner:max_ss_125C_4v50,0
timing__setup__tns__corner:max_ss_125C_4v50,-1641.84
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-3.17383
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.1479
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,707
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-3.17383
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,694
