Metric,Value
design__instance__count,16792
design__instance__area,769776
design__instance_unmapped__count,0
synthesis__check_error__count,697
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.122909
power__switching__total,0.0419434
power__leakage__total,0.0000131555
power__total,0.164865
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.139365
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.139365
timing__hold__ws__corner:nom_tt_025C_5v00,0.606954
timing__setup__ws__corner:nom_tt_025C_5v00,-2.20273
timing__hold__tns__corner:nom_tt_025C_5v00,0
timing__setup__tns__corner:nom_tt_025C_5v00,-312.577
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,-2.20273
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.606954
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,340
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,-2.20273
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,340
design__max_slew_violation__count__corner:nom_ss_125C_4v50,3569
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,63
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0
timing__hold__ws__corner:nom_ss_125C_4v50,0.27434968962049133
timing__setup__ws__corner:nom_ss_125C_4v50,-93.33861592266364
timing__hold__tns__corner:nom_ss_125C_4v50,0
timing__setup__tns__corner:nom_ss_125C_4v50,-90496.2969926611
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-93.33861592266364
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.985582
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,1607
