net,length_um
rst_n,24.51796mm
net195,2.53004mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],2.3859mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],2.33209mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],2.25504mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],2.22761mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],2.15803mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],2.14795mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],2.13883mm
_04017_,2.05517mm
net2,1.95612mm
net3,1.9524mm
net1,1.94787mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],1.9447mm
net4,1.92577mm
net6,1.86387mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.84878mm
net209,1.82175mm
net7,1.78619mm
net5,1.77198mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],1.74157mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],1.72795mm
_04851_,1.70254mm
net210,1.70155mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.69548mm
net8,1.69496mm
net98,1.66389mm
_04139_,1.60235mm
net173,1.596695mm
u_transform_scheduler_core.tx_mapper_source_addr\[3\],1.59664mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[2\],1.58748mm
_04836_,1.56974mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],1.55979mm
net106,1.55225mm
u_transform_scheduler_core.bf_X1_q\[10\],1.536mm
_02612_,1.51703mm
net139,1.4652mm
_02063_,1.45384mm
clknet_3_2__leaf_clk_regs,1.45187mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],1.43493mm
net192,1.41709mm
_04140_,1.380985mm
_04118_,1.38077mm
u_transform_scheduler_core.bf_X1_q\[13\],1.37861mm
u_transform_scheduler_core.bf_X1_i\[6\],1.37788mm
u_transform_scheduler_core.bf_X1_q\[11\],1.35901mm
net99,1.35874mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],1.35499mm
u_transform_scheduler_core.bf_X1_i\[15\],1.3529mm
_05587_,1.35284mm
u_transform_scheduler_core.bf_X1_q\[7\],1.34374mm
u_transform_scheduler_core.bf_X1_i\[14\],1.33839mm
clknet_3_0__leaf_clk_regs,1.33197mm
net141,1.32245mm
net183,1.31969mm
u_transform_scheduler_core.bf_X1_i\[9\],1.30983mm
net20,1.3056mm
clknet_3_7__leaf_clk_regs,1.30214mm
u_transform_scheduler_core.bf_X1_i\[13\],1.29364mm
net133,1.28979mm
net161,1.28284mm
clknet_3_4__leaf_clk_regs,1.2753mm
net57,1.27404mm
net102,1.27119mm
_03838_,1.27082mm
u_transform_scheduler_core.bf_X1_q\[15\],1.26625mm
u_transform_scheduler_core.bf_X1_q\[14\],1.25992mm
net211,1.25831mm
net59,1.25592mm
net176,1.24018mm
net180,1.23733mm
net175,1.23377mm
net182,1.2303mm
clknet_3_5__leaf_clk_regs,1.22812mm
clknet_0_clk_regs,1.22782mm
net201,1.227255mm
net185,1.21946mm
net178,1.21911mm
u_transform_scheduler_core.bf_X1_i\[10\],1.21468mm
net184,1.20954mm
u_transform_scheduler_core.bf_X1_q\[12\],1.20513mm
net204,1.19569mm
net140,1.19559mm
net62,1.18159mm
_05808_,1.16275mm
net179,1.16118mm
net63,1.16051mm
net168,1.14875mm
net190,1.14738mm
net138,1.14458mm
u_transform_scheduler_core.bf_X1_q\[6\],1.14326mm
net37,1.13689mm
net25,1.13363mm
clknet_3_1__leaf_clk_regs,1.13282mm
_04850_,1.12921mm
net137,1.12762mm
_05586_,1.1232mm
u_transform_scheduler_core.bf_X1_i\[12\],1.12003mm
u_transform_scheduler_core.bf_X1_i\[7\],1.11001mm
_03855_,1.10463mm
net181,1.0971mm
_04315_,1.0927mm
u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],1.09215mm
clk,1.07521mm
net36,1.06949mm
u_transform_scheduler_core.bf_X1_q\[9\],1.06664mm
_06046_,1.05727mm
net49,1.05559mm
net76,1.05319mm
_02861_,1.04882mm
u_transform_scheduler_core.bf_X1_i\[4\],1.0475mm
u_transform_scheduler_core.bf_X1_i\[8\],1.04686mm
net177,1.04103mm
_04284_,1.04083mm
net203,1.03619mm
net55,1.03584mm
net136,1.03507mm
net34,1.03095mm
net107,1.02885mm
net117,1.02826mm
_04129_,1.02443mm
net174,1.023665mm
u_transform_scheduler_core.bf_X1_i\[11\],1.02362mm
clknet_3_6__leaf_clk_regs,1.01868mm
net24,1.01522mm
net22,1.01339mm
net9,1.01059mm
net114,1.00336mm
net202,1.0017mm
net104,998.32µm
u_transform_scheduler_core.bf_X1_i\[5\],997.71µm
net207,995.31µm
clknet_3_3__leaf_clk_regs,982.59µm
net30,978.67µm
net229,977.77µm
_03748_,974.9µm
net129,972.71µm
u_transform_scheduler_core.bf_X1_q\[5\],972.56µm
net205,964.41µm
net75,963.29µm
_05572_,959.17µm
net134,959.13µm
net146,957.49µm
net245,957.08µm
net169,945.52µm
_02611_,939.47µm
_02321_,933.87µm
_04217_,925.42µm
net103,923.22µm
net84,922.72µm
net151,917.58µm
_02468_,915.82µm
net64,912.23µm
net170,911.77µm
_04845_,908.16µm
net56,906.12µm
_04015_,900.36µm
_06037_,898.69µm
u_transform_scheduler_core.bf_X1_q\[4\],897.75µm
_05575_,897.56µm
net108,897.31µm
u_transform_scheduler_core.tx_mapper_source_addr\[2\],897.02µm
net35,896.2µm
_05809_,890.95µm
_03602_,889.63µm
net120,886.32µm
net47,884.59µm
_04148_,883.93µm
net198,878.38µm
_02322_,876.6µm
_05583_,874.28µm
_04018_,873.01µm
u_transform_scheduler_core.bf_X1_q\[8\],866.72µm
_04527_,865.86µm
net128,864.22µm
net191,857.17µm
net100,856.64µm
u_transform_scheduler_core.tx_mapper_busy,856.41µm
net23,852.67µm
_04316_,852.62µm
u_transform_scheduler_core.bf_X1_i\[0\],852.62µm
u_transform_scheduler_core.rx_small_radix3,851.24µm
net29,849.77µm
net39,846.92µm
_02064_,846.86µm
net74,846.05µm
_02324_,846.03µm
_05571_,844.07µm
net125,843.71µm
u_transform_scheduler_core.bf_X1_q\[1\],843.66µm
net21,843.61µm
net41,843.5µm
u_transform_scheduler_core.bf_X1_i\[3\],842.23µm
net19,840.61µm
net193,838.77µm
net45,836.89µm
net171,836.48µm
net135,832.56µm
u_transform_scheduler_core.bf_X1_i\[2\],832.48µm
core_X2_q\[11\],832.31µm
_04283_,831.75µm
net149,826.86µm
standalone_active,826.76µm
net237,826.55µm
u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_pending,826.4µm
net147,825.23µm
net121,824.21µm
_03756_,824.06µm
serializer_busy,819.15µm
u_transform_scheduler_core.bf_X1_i\[1\],817.9µm
_02878_,816.32µm
net127,813.06µm
net116,812.4µm
_04136_,802.52µm
net46,801.51µm
core_X2_q\[15\],798.76µm
_06493_,797.62µm
_04324_,796.82µm
net124,795.44µm
net208,793.97µm
_02614_,793.11µm
net132,790.96µm
net122,786.13µm
net234,785.47µm
net233,784.16µm
core_X2_q\[13\],782.79µm
net27,782.11µm
_05580_,777.83µm
u_transform_scheduler_core.bf_X0_i\[14\],771.93µm
u_transform_scheduler_core.bf_X1_q\[3\],771.42µm
