Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_212_1918,VSS,Metal1,1081.0800,1088.6400,0.000240
FILLER_212_1914,VSS,Metal1,1079.3000,1089.1250,0.000240
FILLER_212_1906,VSS,Metal1,1075.8130,1089.2865,0.000240
FILLER_212_1872,VSS,Metal1,1063.3240,1089.5020,0.000240
FILLER_212_1838,VSS,Metal1,1044.2840,1089.5020,0.000240
FILLER_212_1835,VSS,Metal1,1034.6000,1088.6400,0.000240
FILLER_212_1821,VSS,Metal1,1027.0400,1088.6400,0.000238
FILLER_212_1814,VSS,Metal1,1022.8400,1088.6400,0.000235
FILLER_212_1812,VSS,Metal1,1022.0000,1088.6400,0.000235
FILLER_212_1804,VSS,Metal1,1018.6930,1089.2865,0.000235
FILLER_212_1770,VSS,Metal1,1006.2040,1089.5020,0.000229
FILLER_212_1767,VSS,Metal1,996.5200,1088.6400,0.000227
FILLER_212_1736,VSS,Metal1,979.6200,1089.1250,0.000226
FILLER_212_1702,VSS,Metal1,968.1240,1089.5020,0.000225
FILLER_212_1668,VSS,Metal1,949.0840,1089.5020,0.000225
FILLER_212_1665,VSS,Metal1,939.4000,1088.6400,0.000244
FILLER_212_1657,VSS,Metal1,936.3730,1089.2865,0.000244
FILLER_212_1648,VSS,Metal1,929.8800,1088.6400,0.000259
FILLER_212_1646,VSS,Metal1,929.0400,1088.6400,0.000259
FILLER_212_1634,VSS,Metal1,922.0400,1088.6400,0.000259
FILLER_212_1631,VSS,Metal1,920.3600,1088.6400,0.000259
FILLER_212_1624,VSS,Metal1,916.4400,1088.6400,0.000265
FILLER_212_1616,VSS,Metal1,913.4130,1089.2865,0.000265
FILLER_212_1600,VSS,Metal1,906.5920,1089.4160,0.000265
FILLER_212_1566,VSS,Metal1,891.9640,1089.5020,0.000271
FILLER_212_1563,VSS,Metal1,882.2800,1088.6400,0.000271
FILLER_212_1554,VSS,Metal1,877.2400,1088.6400,0.000276
FILLER_212_1552,VSS,Metal1,876.4000,1088.6400,0.000276
FILLER_212_1548,VSS,Metal1,874.3400,1089.1250,0.000276
FILLER_212_1532,VSS,Metal1,868.5120,1089.4160,0.000279
FILLER_212_1529,VSS,Metal1,863.2400,1088.6400,0.000289
FILLER_212_1513,VSS,Metal1,857.8720,1089.4160,0.000289
FILLER_212_1503,VSS,Metal1,848.9600,1088.6400,0.000308
FILLER_212_1498,VSS,Metal1,845.8800,1088.6400,0.000308
FILLER_212_1495,VSS,Metal1,844.2000,1088.6400,0.000308
FILLER_212_1480,VSS,Metal1,837.2530,1089.2865,0.000308
FILLER_212_1464,VSS,Metal1,830.4320,1089.4160,0.000308
FILLER_212_1430,VSS,Metal1,815.8040,1089.5020,0.000314
FILLER_212_1427,VSS,Metal1,806.1200,1088.6400,0.000314
FILLER_212_1417,VSS,Metal1,800.8000,1088.6400,0.000314
FILLER_212_1412,VSS,Metal1,797.7200,1088.6400,0.000314
FILLER_212_1396,VSS,Metal1,792.3520,1089.4160,0.000313
FILLER_212_1362,VSS,Metal1,777.7240,1089.5020,0.000314
FILLER_212_1358,VSS,Metal1,767.7600,1088.6400,0.000314
FILLER_212_1350,VSS,Metal1,764.4530,1089.2865,0.000314
FILLER_212_1334,VSS,Metal1,757.6320,1089.4160,0.000325
FILLER_212_1328,VSS,Metal1,750.6800,1088.6400,0.000337
FILLER_212_1294,VSS,Metal1,739.6440,1089.5020,0.000370
FILLER_212_1290,VSS,Metal1,729.6800,1088.6400,0.000370
FILLER_212_1274,VSS,Metal1,724.0320,1089.4160,0.000370
FILLER_212_1266,VSS,Metal1,716.2400,1088.6400,0.000383
FILLER_212_1260,VSS,Metal1,712.8800,1088.6400,0.000387
FILLER_212_1226,VSS,Metal1,701.5640,1089.5020,0.000391
FILLER_212_1223,VSS,Metal1,691.8800,1088.6400,0.000394
FILLER_212_1219,VSS,Metal1,690.1000,1089.1250,0.000394
FILLER_212_1192,VSS,Metal1,674.5200,1088.6400,0.000389
FILLER_212_1158,VSS,Metal1,663.4840,1089.5020,0.000381
FILLER_212_1124,VSS,Metal1,644.4440,1089.5020,0.000315
FILLER_212_1121,VSS,Metal1,634.7600,1088.6400,0.000323
FILLER_212_1113,VSS,Metal1,631.7330,1089.2865,0.000326
FILLER_212_1102,VSS,Metal1,624.4000,1088.6400,0.000327
FILLER_212_1090,VSS,Metal1,617.8600,1089.1250,0.000329
FILLER_212_1087,VSS,Metal1,615.7200,1088.6400,0.000329
FILLER_212_1072,VSS,Metal1,608.7730,1089.2865,0.000331
FILLER_212_1056,VSS,Metal1,601.9520,1089.4160,0.000331
FILLER_212_1022,VSS,Metal1,587.3240,1089.5020,0.000337
FILLER_212_1018,VSS,Metal1,577.3600,1088.6400,0.000337
FILLER_212_1012,VSS,Metal1,574.0000,1088.6400,0.000337
FILLER_212_1004,VSS,Metal1,570.6930,1089.2865,0.000337
FILLER_212_988,VSS,Metal1,563.8720,1089.4160,0.000337
FILLER_212_954,VSS,Metal1,549.2440,1089.5020,0.000334
FILLER_212_948,VSS,Metal1,538.3400,1089.1250,0.000334
FILLER_212_920,VSS,Metal1,522.2000,1088.6400,0.000333
FILLER_212_916,VSS,Metal1,520.2400,1088.6400,0.000333
FILLER_212_888,VSS,Metal1,504.2800,1088.6400,0.000332
FILLER_212_886,VSS,Metal1,503.4400,1088.6400,0.000332
FILLER_212_882,VSS,Metal1,501.2000,1088.6400,0.000332
FILLER_212_874,VSS,Metal1,497.8930,1089.2865,0.000332
FILLER_212_868,VSS,Metal1,493.0800,1088.6400,0.000332
