net,length_um
rst_n,24.94345mm
_04295_,2.355mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],2.25846mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],2.20385mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],2.19536mm
net1,2.19055mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],2.1805mm
net106,2.14208mm
_05678_,2.13724mm
net173,2.13717mm
net129,2.1366mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],2.12752mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],2.1038mm
net174,2.0821mm
net2,2.07051mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],2.06368mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],2.05027mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],2.0436mm
net212,1.90601mm
net6,1.85654mm
net3,1.84249mm
net7,1.83964mm
net4,1.78705mm
net149,1.74919mm
net213,1.725085mm
_07119_,1.72408mm
net200,1.72184mm
net5,1.72158mm
net146,1.70992mm
_07178_,1.6766mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[5\],1.67273mm
net198,1.65835mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[4\],1.65771mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.65598mm
_07480_,1.62343mm
net28,1.62116mm
_04969_,1.5915mm
net216,1.57945mm
net93,1.57466mm
net135,1.57005mm
u_transform_scheduler_core.dft12_phase\[2\],1.53907mm
net45,1.53352mm
_03803_,1.52767mm
net166,1.52722mm
clknet_3_2__leaf_clk_regs,1.52568mm
_02061_,1.50764mm
net104,1.50042mm
_04227_,1.49601mm
net8,1.47157mm
net105,1.46697mm
_07179_,1.44902mm
net215,1.44881mm
_07181_,1.44052mm
clknet_3_7__leaf_clk_regs,1.43704mm
_07203_,1.43431mm
_04396_,1.42473mm
_05677_,1.41225mm
net107,1.38853mm
net148,1.38257mm
clknet_3_3__leaf_clk_regs,1.38181mm
net143,1.3813mm
net55,1.37964mm
net95,1.37444mm
_07175_,1.36192mm
net175,1.35788mm
_04082_,1.35414mm
