Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_213_1924,VDD,Metal1,1084.4400,1093.6800,4.981598
FILLER_213_1922,VDD,Metal1,1083.6000,1093.6800,4.981598
FILLER_213_1906,VDD,Metal1,1079.1680,1094.4560,4.981598
FILLER_213_1872,VDD,Metal1,1064.6755,1094.5420,4.981598
FILLER_213_1838,VDD,Metal1,1045.6355,1094.5420,4.981598
FILLER_213_1804,VDD,Metal1,1026.5955,1094.5420,4.981598
FILLER_213_1770,VDD,Metal1,1007.5555,1094.5420,4.981598
FILLER_213_1736,VDD,Metal1,988.5155,1094.5420,4.981598
FILLER_213_1702,VDD,Metal1,969.4755,1094.5420,4.981598
FILLER_213_1668,VDD,Metal1,950.4355,1094.5420,4.981598
FILLER_213_1634,VDD,Metal1,931.3955,1094.5420,4.981493
FILLER_213_1600,VDD,Metal1,912.3555,1094.5420,4.981360
FILLER_213_1566,VDD,Metal1,893.3155,1094.5420,4.981150
FILLER_213_1532,VDD,Metal1,874.2755,1094.5420,4.980253
FILLER_213_1498,VDD,Metal1,855.2355,1094.5420,4.980144
FILLER_213_1464,VDD,Metal1,836.1955,1094.5420,4.979922
FILLER_213_1460,VDD,Metal1,824.8800,1093.6800,4.979900
FILLER_213_1452,VDD,Metal1,822.5865,1094.3265,4.979894
FILLER_213_1446,VDD,Metal1,816.7600,1093.6800,4.979503
FILLER_213_1430,VDD,Metal1,812.6080,1094.4560,4.972842
FILLER_213_1396,VDD,Metal1,798.1155,1094.5420,4.972826
FILLER_213_1362,VDD,Metal1,779.0755,1094.5420,4.972735
FILLER_213_1328,VDD,Metal1,760.0355,1094.5420,4.971942
FILLER_213_1325,VDD,Metal1,749.0000,1093.6800,4.970678
FILLER_213_1323,VDD,Metal1,748.1600,1093.6800,4.970678
FILLER_213_1315,VDD,Metal1,745.8665,1094.3265,4.970639
FILLER_213_1306,VDD,Metal1,738.6400,1093.6800,4.970637
FILLER_213_1294,VDD,Metal1,732.8600,1094.1650,4.970401
FILLER_213_1260,VDD,Metal1,721.9555,1094.5420,4.969690
FILLER_213_1226,VDD,Metal1,702.9155,1094.5420,4.968463
FILLER_213_1192,VDD,Metal1,683.8755,1094.5420,4.967640
FILLER_213_1158,VDD,Metal1,664.8355,1094.5420,4.967188
FILLER_213_1155,VDD,Metal1,653.8000,1093.6800,4.966147
FILLER_213_1124,VDD,Metal1,637.6600,1094.1650,4.965916
FILLER_213_1121,VDD,Metal1,634.7600,1093.6800,4.964919
FILLER_213_1119,VDD,Metal1,633.9200,1093.6800,4.964919
FILLER_213_1106,VDD,Metal1,628.8265,1094.3265,4.964826
FILLER_213_1090,VDD,Metal1,622.2080,1094.4560,4.964539
FILLER_213_1086,VDD,Metal1,615.4400,1093.6800,4.963852
FILLER_213_1070,VDD,Metal1,611.0080,1094.4560,4.963770
FILLER_213_1064,VDD,Metal1,602.8400,1093.6800,4.963272
FILLER_213_1062,VDD,Metal1,602.0000,1093.6800,4.963272
FILLER_213_1056,VDD,Metal1,598.6400,1093.6800,4.963095
FILLER_213_1050,VDD,Metal1,596.2200,1094.1650,4.962584
FILLER_213_1022,VDD,Metal1,579.3200,1093.6800,4.961987
FILLER_213_988,VDD,Metal1,569.6355,1094.5420,4.961834
FILLER_213_954,VDD,Metal1,550.5955,1094.5420,4.961564
FILLER_213_951,VDD,Metal1,539.5600,1093.6800,4.961506
FILLER_213_949,VDD,Metal1,538.7200,1093.6800,4.961202
FILLER_213_945,VDD,Metal1,537.4200,1094.1650,4.961163
FILLER_213_929,VDD,Metal1,532.0480,1094.4560,4.960886
FILLER_213_920,VDD,Metal1,522.2000,1093.6800,4.960038
FILLER_213_917,VDD,Metal1,520.5200,1093.6800,4.960037
FILLER_213_910,VDD,Metal1,516.8800,1093.6800,4.960034
FILLER_213_903,VDD,Metal1,512.9600,1093.6800,4.960033
FILLER_213_894,VDD,Metal1,507.6400,1093.6800,4.958759
FILLER_213_886,VDD,Metal1,505.6265,1094.3265,4.958730
FILLER_213_852,VDD,Metal1,493.4755,1094.5420,4.952376
FILLER_213_818,VDD,Metal1,474.4355,1094.5420,4.952350
FILLER_213_812,VDD,Metal1,462.9400,1094.1650,4.952348
FILLER_213_784,VDD,Metal1,446.0400,1093.6800,4.952008
FILLER_213_781,VDD,Metal1,444.3600,1093.6800,4.952008
FILLER_213_779,VDD,Metal1,443.5200,1093.6800,4.952008
FILLER_213_771,VDD,Metal1,441.2265,1094.3265,4.952008
FILLER_213_763,VDD,Metal1,434.5600,1093.6800,4.952007
