Metric,Value
design__instance__count,54749
design__instance__area,1751980
design__instance_unmapped__count,0
synthesis__check_error__count,697
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.108965
power__switching__total,0.0438429
power__leakage__total,3.31823e-06
power__total,0.152811
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.195742
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.195742
timing__hold__ws__corner:nom_tt_025C_5v00,0.662947
timing__setup__ws__corner:nom_tt_025C_5v00,11.4822
timing__hold__tns__corner:nom_tt_025C_5v00,0
timing__setup__tns__corner:nom_tt_025C_5v00,0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.662947
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,11.4822
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,3403
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,56
clock__skew__worst_hold__corner:nom_ss_125C_4v50,0
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0
timing__hold__ws__corner:nom_ss_125C_4v50,0.13319067059582007
timing__setup__ws__corner:nom_ss_125C_4v50,-58.77906683309651
timing__hold__tns__corner:nom_ss_125C_4v50,0
timing__setup__tns__corner:nom_ss_125C_4v50,-42958.9720950986
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-58.77906683309651
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.022397
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,1216
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-58.779068
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,1215
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,3171
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,50
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0
timing__hold__ws__corner:nom_ff_n40C_5v50,0.032625705144296246
timing__setup__ws__corner:nom_ff_n40C_5v50,-3.647866112428514
timing__hold__tns__corner:nom_ff_n40C_5v50,0
timing__setup__tns__corner:nom_ff_n40C_5v50,-344.86803722222635
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,-3.647866112428514
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.241108
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,273
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,-3.647866
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,273
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.195742
clock__skew__worst_setup,0.195742
timing__hold__ws,0.662947
timing__setup__ws,11.4822
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.662947
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.4822
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1110.0 1675.0
design__core__bbox,6.72 20.16 1103.2 1653.12
design__io,23
design__die__area,1859250
design__core__area,1790510
design__instance__count__stdcell,19804
design__instance__area__stdcell,481253
design__instance__count__macros,2
design__instance__area__macros,294425
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.433217
design__instance__utilization__stdcell,0.321675
design__rows,470
design__rows:GF018hv5v_green_sc9,470
design__sites,516424
design__sites:GF018hv5v_green_sc9,516424
design__instance__count__class:macro,2
design__instance__area__class:macro,294425
design__instance__count__class:buffer,32
design__instance__area__class:buffer,1264.44
design__instance__count__class:inverter,492
design__instance__area__class:inverter,5622.22
design__instance__count__class:sequential_cell,1993
design__instance__area__class:sequential_cell,174040
design__instance__count__class:multi_input_combinational_cell,8610
design__instance__area__class:multi_input_combinational_cell,226653
flow__warnings__count,0
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,0
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,940
design__instance__area__class:endcap_cell,5306.11
design__instance__count__class:tap_cell,7314
design__instance__area__class:tap_cell,41286.1
flow__warnings__count:PDN-0110,1
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2791.6
design__instance__displacement__mean,0.1405
design__instance__displacement__max,57.68
route__wirelength__estimated,911515
design__violations,0
design__instance__count__class:timing_repair_buffer,232
design__instance__area__class:timing_repair_buffer,16434.8
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,110
design__instance__area__class:clock_buffer,8410.75
design__instance__count__class:clock_inverter,75
design__instance__area__class:clock_inverter,2201.47
design__instance__count__setup_buffer,3
design__instance__count__hold_buffer,0
global_route__vias,100679
global_route__wirelength,1423758
antenna__violating__nets,8
antenna__violating__pins,8
route__antenna_violation__count,8
antenna_diodes_count,6
design__instance__count__class:antenna_cell,6
design__instance__area__class:antenna_cell,33.8688
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,25358.5
design__instance__count__class:fill_cell,34943
design__instance__area__class:fill_cell,976302
