net,length_um
rst_n,25.35851mm
net6,2.58007mm
net5,2.33047mm
net8,2.30243mm
net7,2.17248mm
net4,2.16407mm
net1,2.10238mm
net3,1.9261mm
net106,1.91431mm
u_transform_scheduler_core.bf_X1_i\[5\],1.86479mm
u_transform_scheduler_core.bf_X1_q\[4\],1.84682mm
clknet_0_clk_regs,1.83016mm
_04081_,1.81571mm
net2,1.81459mm
u_transform_scheduler_core.bf_X1_i\[4\],1.80594mm
net108,1.77492mm
net102,1.7736mm
u_transform_scheduler_core.bf_X1_q\[2\],1.72124mm
net185,1.7038mm
u_transform_scheduler_core.bf_X1_i\[2\],1.69725mm
net226,1.64536mm
clk,1.64512mm
u_transform_scheduler_core.bf_X1_q\[3\],1.62068mm
u_transform_scheduler_core.bf_X1_q\[5\],1.58662mm
u_transform_scheduler_core.bf_X1_q\[1\],1.56208mm
u_transform_scheduler_core.bf_X1_i\[0\],1.54223mm
net138,1.51646mm
u_transform_scheduler_core.bf_X1_q\[14\],1.51306mm
net213,1.50086mm
_04969_,1.49987mm
net227,1.490595mm
u_transform_scheduler_core.bf_X1_q\[6\],1.48706mm
u_transform_scheduler_core.dft12_phase\[2\],1.46713mm
u_transform_scheduler_core.bf_X1_i\[7\],1.46635mm
_04985_,1.46337mm
_04211_,1.45502mm
net144,1.45334mm
u_transform_scheduler_core.bf_X1_i\[3\],1.45046mm
net186,1.43893mm
net205,1.43018mm
_03907_,1.42204mm
u_transform_scheduler_core.bf_X1_q\[8\],1.40882mm
u_transform_scheduler_core.u_fdiq_output_adapter.state\[1\],1.40096mm
_05689_,1.39438mm
u_transform_scheduler_core.ofdm_mem_req,1.3924mm
u_transform_scheduler_core.bf_X1_q\[11\],1.35346mm
_04981_,1.33854mm
net187,1.334mm
_04296_,1.33004mm
net195,1.32896mm
u_transform_scheduler_core.bf_X1_i\[6\],1.32872mm
_06117_,1.32846mm
u_transform_scheduler_core.bf_X1_q\[12\],1.32292mm
core_X2_i\[10\],1.31454mm
clknet_3_0_0_clk_regs,1.31222mm
net153,1.30966mm
net221,1.3028mm
net139,1.29455mm
net189,1.28045mm
net208,1.27391mm
net103,1.27271mm
u_transform_scheduler_core.bf_X1_q\[7\],1.27058mm
net46,1.26849mm
core_X2_i\[9\],1.2679mm
_02514_,1.24008mm
_04139_,1.22528mm
_04454_,1.2241mm
u_transform_scheduler_core.bf_X1_i\[8\],1.22395mm
core_X2_i\[7\],1.22283mm
net155,1.22158mm
net52,1.21916mm
net178,1.2189mm
net71,1.21879mm
_04158_,1.21194mm
core_X2_i\[11\],1.20895mm
_04082_,1.20781mm
net157,1.20684mm
u_transform_scheduler_core.bf_X1_i\[15\],1.20643mm
_06969_,1.20629mm
u_transform_scheduler_core.bf_X1_i\[9\],1.20211mm
u_transform_scheduler_core.bf_X1_q\[13\],1.20093mm
_02633_,1.19973mm
net125,1.19906mm
_02634_,1.19564mm
core_X2_i\[2\],1.19091mm
_04135_,1.19015mm
net175,1.18948mm
net181,1.18868mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],1.18558mm
net109,1.18466mm
_05681_,1.18399mm
clknet_3_7_0_clk_regs,1.18281mm
net111,1.18011mm
clknet_3_5_0_clk_regs,1.17665mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],1.17147mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[0\],1.16827mm
_02624_,1.16703mm
net170,1.16652mm
_03921_,1.16367mm
net19,1.15584mm
core_X2_q\[11\],1.15499mm
core_X2_q\[4\],1.15441mm
u_transform_scheduler_core.bf_X1_i\[1\],1.15192mm
u_transform_scheduler_core.bf_X0_q\[6\],1.15174mm
core_X2_i\[0\],1.15151mm
u_transform_scheduler_core.bf_X1_i\[10\],1.14799mm
net169,1.14682mm
u_transform_scheduler_core.bf_X1_q\[9\],1.14529mm
_02628_,1.14524mm
u_transform_scheduler_core.bf_X1_q\[0\],1.143mm
net210,1.14296mm
net50,1.13939mm
core_X2_q\[3\],1.13888mm
net53,1.137mm
net149,1.136485mm
u_transform_scheduler_core.bf_X0_i\[5\],1.13424mm
u_transform_scheduler_core.bf_X0_q\[2\],1.13303mm
core_X2_q\[2\],1.13191mm
u_transform_scheduler_core.bf_X0_i\[3\],1.13191mm
core_X2_q\[14\],1.13187mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],1.12968mm
core_X2_q\[12\],1.12948mm
core_X2_i\[5\],1.12809mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],1.12729mm
_07480_,1.1234mm
net20,1.1179mm
core_X2_i\[4\],1.11699mm
core_X2_i\[15\],1.11689mm
_04396_,1.11266mm
_03887_,1.1124mm
net49,1.1119mm
net41,1.11164mm
_05678_,1.11092mm
u_transform_scheduler_core.bf_X1_q\[15\],1.10991mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],1.10672mm
net156,1.10558mm
_02062_,1.10355mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],1.10229mm
_03226_,1.09398mm
core_X2_i\[3\],1.0895mm
u_transform_scheduler_core.tx_mapper_busy,1.08913mm
u_transform_scheduler_core.bf_X0_i\[2\],1.08739mm
_06118_,1.08639mm
_05907_,1.08364mm
net151,1.08003mm
u_transform_scheduler_core.bf_X1_q\[10\],1.07947mm
_05674_,1.0786mm
