net,length_um
rst_n,23.94405mm
net4,2.54597mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[7\],2.52695mm
net5,2.48578mm
net6,2.39857mm
net8,2.38225mm
net3,2.33799mm
net7,2.28993mm
net1,2.22217mm
net2,2.14687mm
net126,2.1113mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[5\],2.09619mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[2\],2.05439mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[4\],2.05068mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[3\],2.04553mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[6\],2.02772mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],1.99055mm
net127,1.84609mm
net210,1.82896mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[1\],1.82328mm
net172,1.77751mm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_q\[0\],1.74307mm
net209,1.71796mm
_04081_,1.70208mm
_04966_,1.68451mm
net106,1.5726mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[3\],1.558805mm
u_transform_scheduler_core.dft12_phase\[2\],1.53894mm
net105,1.52165mm
net193,1.49356mm
u_transform_scheduler_core.bf_X1_q\[12\],1.48068mm
u_transform_scheduler_core.bf_X1_q\[8\],1.48004mm
net173,1.43435mm
net143,1.41485mm
u_transform_scheduler_core.bf_X1_q\[7\],1.41209mm
_04296_,1.41067mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[2\],1.33916mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[1\],1.32675mm
u_transform_scheduler_core.bf_X1_q\[9\],1.296mm
_04981_,1.27737mm
_02624_,1.24888mm
clknet_3_0__leaf_clk_regs,1.24573mm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],1.24275mm
_04969_,1.24253mm
clknet_0_clk_regs,1.235mm
u_transform_scheduler_core.bf_X1_q\[3\],1.23087mm
net107,1.23035mm
u_transform_scheduler_core.bf_X1_q\[15\],1.22807mm
net147,1.21743mm
clknet_3_2__leaf_clk_regs,1.21656mm
net205,1.21127mm
_06118_,1.21076mm
net146,1.20058mm
_03887_,1.19981mm
net176,1.19579mm
net204,1.19559mm
net145,1.18566mm
_05687_,1.18429mm
u_transform_scheduler_core.bf_X1_q\[5\],1.16606mm
net174,1.1506mm
clknet_3_3__leaf_clk_regs,1.15033mm
u_transform_scheduler_core.bf_X1_q\[6\],1.14873mm
_04510_,1.14656mm
