Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_211_1924,VDD,Metal1,1084.4400,1083.6000,4.382756
FILLER_211_1922,VDD,Metal1,1083.6000,1083.6000,4.382756
FILLER_211_1906,VDD,Metal1,1079.1680,1084.3760,4.382756
FILLER_211_1872,VDD,Metal1,1064.6755,1084.4620,4.382756
FILLER_211_1838,VDD,Metal1,1045.6355,1084.4620,4.382756
FILLER_211_1804,VDD,Metal1,1026.5955,1084.4620,4.382756
FILLER_211_1798,VDD,Metal1,1015.1000,1084.0850,4.382756
FILLER_211_1784,VDD,Metal1,1006.0400,1083.6000,4.382757
FILLER_211_1782,VDD,Metal1,1005.2000,1083.6000,4.382757
FILLER_211_1778,VDD,Metal1,1003.9000,1084.0850,4.382757
FILLER_0_90,VDD,Metal1,59.8665,24.5530,4.294595
FILLER_0_98,VDD,Metal1,63.1000,24.7150,4.294594
FILLER_0_104,VDD,Metal1,74.5955,24.3375,4.294588
FILLER_0_138,VDD,Metal1,85.5000,24.7150,4.294588
FILLER_0_142,VDD,Metal1,86.8000,25.2000,4.294587
FILLER_0_157,VDD,Metal1,97.3865,24.5530,4.294585
FILLER_0_165,VDD,Metal1,100.6200,24.7150,4.294585
FILLER_0_169,VDD,Metal1,101.6400,25.2000,4.294585
FILLER_0_172,VDD,Metal1,112.6755,24.3375,4.294585
FILLER_0_206,VDD,Metal1,124.8265,24.5530,4.294585
FILLER_0_214,VDD,Metal1,127.1200,25.2000,4.294585
FILLER_0_216,VDD,Metal1,127.9600,25.2000,4.294585
FILLER_0_230,VDD,Metal1,138.2665,24.5530,4.294584
FILLER_0_240,VDD,Metal1,143.8665,24.5530,4.294584
FILLER_0_261,VDD,Metal1,155.6265,24.5530,4.294584
FILLER_0_269,VDD,Metal1,157.9200,25.2000,4.294584
FILLER_0_271,VDD,Metal1,158.7600,25.2000,4.294584
FILLER_0_274,VDD,Metal1,169.7955,24.3375,4.294585
FILLER_0_308,VDD,Metal1,180.7000,24.7150,4.294584
FILLER_0_312,VDD,Metal1,182.0000,25.2000,4.294584
FILLER_0_327,VDD,Metal1,192.5865,24.5530,4.294584
FILLER_0_335,VDD,Metal1,195.8200,24.7150,4.294584
FILLER_0_339,VDD,Metal1,196.8400,25.2000,4.294583
FILLER_0_342,VDD,Metal1,207.8755,24.3375,4.294582
FILLER_0_376,VDD,Metal1,226.9155,24.3375,4.294576
FILLER_0_410,VDD,Metal1,236.6000,25.2000,4.294576
FILLER_0_424,VDD,Metal1,249.2480,24.4240,4.294563
FILLER_0_440,VDD,Metal1,253.6800,25.2000,4.294563
FILLER_0_444,VDD,Metal1,260.4480,24.4240,4.294563
FILLER_0_460,VDD,Metal1,264.8800,25.2000,4.294563
FILLER_0_475,VDD,Metal1,273.0000,25.2000,4.294563
FILLER_0_478,VDD,Metal1,277.1465,24.5530,4.294563
FILLER_0_486,VDD,Metal1,279.1600,25.2000,4.294563
FILLER_0_500,VDD,Metal1,289.4665,24.5530,4.294563
FILLER_0_508,VDD,Metal1,291.7600,25.2000,4.294563
FILLER_0_512,VDD,Metal1,303.0755,24.3375,4.294564
FILLER_0_546,VDD,Metal1,322.1155,24.3375,4.294564
FILLER_0_580,VDD,Metal1,334.2665,24.5530,4.294561
FILLER_0_588,VDD,Metal1,337.5000,24.7150,4.294561
FILLER_0_592,VDD,Metal1,338.8000,25.2000,4.294561
FILLER_0_607,VDD,Metal1,348.1400,24.7150,4.294561
FILLER_0_611,VDD,Metal1,349.1600,25.2000,4.294561
FILLER_0_614,VDD,Metal1,355.6480,24.4240,4.294561
FILLER_0_630,VDD,Metal1,362.2665,24.5530,4.294560
FILLER_0_638,VDD,Metal1,365.5000,24.7150,4.294560
FILLER_0_642,VDD,Metal1,366.5200,25.2000,4.294560
FILLER_0_645,VDD,Metal1,368.2000,25.2000,4.294560
FILLER_0_648,VDD,Metal1,379.2355,24.3375,4.294560
FILLER_0_682,VDD,Metal1,388.9200,25.2000,4.294560
FILLER_0_691,VDD,Metal1,398.7680,24.4240,4.294560
FILLER_0_707,VDD,Metal1,404.1400,24.7150,4.294560
FILLER_0_711,VDD,Metal1,405.4400,25.2000,4.294560
FILLER_0_713,VDD,Metal1,406.2800,25.2000,4.294560
FILLER_0_716,VDD,Metal1,412.7680,24.4240,4.294560
FILLER_0_732,VDD,Metal1,417.2000,25.2000,4.294560
FILLER_0_734,VDD,Metal1,418.0400,25.2000,4.294560
FILLER_0_741,VDD,Metal1,423.1800,24.7150,4.294560
FILLER_0_745,VDD,Metal1,424.4800,25.2000,4.294559
FILLER_0_747,VDD,Metal1,425.3200,25.2000,4.294559
FILLER_0_750,VDD,Metal1,436.3555,24.3375,4.294559
FILLER_0_784,VDD,Metal1,455.3955,24.3375,4.294559
FILLER_0_818,VDD,Metal1,474.4355,24.3375,4.294560
FILLER_0_852,VDD,Metal1,493.4755,24.3375,4.294560
FILLER_0_886,VDD,Metal1,512.5155,24.3375,4.294558
FILLER_0_920,VDD,Metal1,523.4200,24.7150,4.294558
FILLER_0_924,VDD,Metal1,524.7200,25.2000,4.294557
FILLER_0_932,VDD,Metal1,533.7280,24.4240,4.294556
FILLER_0_948,VDD,Metal1,539.1000,24.7150,4.294556
FILLER_0_954,VDD,Metal1,550.5955,24.3375,4.294554
FILLER_0_988,VDD,Metal1,569.6355,24.3375,4.294554
FILLER_0_1022,VDD,Metal1,588.6755,24.3375,4.294552
FILLER_0_1056,VDD,Metal1,607.7155,24.3375,4.294551
FILLER_0_1090,VDD,Metal1,626.7555,24.3375,4.294512
FILLER_0_1124,VDD,Metal1,636.7200,25.2000,4.294510
FILLER_0_1126,VDD,Metal1,637.5600,25.2000,4.294510
FILLER_0_1133,VDD,Metal1,646.2880,24.4240,4.294497
FILLER_0_1149,VDD,Metal1,651.6600,24.7150,4.294496
FILLER_0_1153,VDD,Metal1,652.9600,25.2000,4.294454
FILLER_0_1155,VDD,Metal1,653.8000,25.2000,4.294454
FILLER_0_1158,VDD,Metal1,664.8355,24.3375,4.294446
FILLER_0_1192,VDD,Metal1,683.8755,24.3375,4.294438
FILLER_0_1226,VDD,Metal1,702.9155,24.3375,4.294438
FILLER_0_1260,VDD,Metal1,721.9555,24.3375,4.294433
FILLER_0_1294,VDD,Metal1,740.9955,24.3375,4.294432
FILLER_0_1328,VDD,Metal1,760.0355,24.3375,4.294389
FILLER_0_1362,VDD,Metal1,772.1865,24.5530,4.294389
FILLER_0_1370,VDD,Metal1,774.4800,25.2000,4.294389
FILLER_0_1372,VDD,Metal1,775.3200,25.2000,4.294389
FILLER_0_1386,VDD,Metal1,785.6265,24.5530,4.294389
FILLER_0_1396,VDD,Metal1,798.1155,24.3375,4.294388
FILLER_0_1430,VDD,Metal1,817.1555,24.3375,4.294388
FILLER_0_1464,VDD,Metal1,836.1955,24.3375,4.294386
FILLER_0_1498,VDD,Metal1,850.6880,24.4240,4.294382
FILLER_0_1514,VDD,Metal1,855.1200,25.2000,4.294382
FILLER_0_1529,VDD,Metal1,863.2400,25.2000,4.294382
FILLER_0_1532,VDD,Metal1,874.2755,24.3375,4.294379
FILLER_0_1566,VDD,Metal1,893.3155,24.3375,4.294378
