Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_211_1924,VSS,Metal1,1084.4400,1088.6400,0.085468
FILLER_211_1922,VSS,Metal1,1083.6000,1088.6400,0.085468
FILLER_211_1906,VSS,Metal1,1077.9520,1087.8640,0.085468
FILLER_211_1872,VSS,Metal1,1063.3240,1087.7775,0.085468
FILLER_211_1838,VSS,Metal1,1044.2840,1087.7775,0.085468
FILLER_211_1804,VSS,Metal1,1025.2440,1087.7775,0.085468
FILLER_211_1798,VSS,Metal1,1014.3400,1088.1550,0.085468
FILLER_211_1784,VSS,Metal1,1006.0400,1088.6400,0.085468
FILLER_211_1782,VSS,Metal1,1005.2000,1088.6400,0.085468
FILLER_211_1778,VSS,Metal1,1003.1400,1088.1550,0.085468
FILLER_0_90,VSS,Metal1,58.8530,20.8065,0.016602
FILLER_0_98,VSS,Metal1,62.3400,20.6450,0.016740
FILLER_0_104,VSS,Metal1,73.2440,21.0220,0.016929
FILLER_0_138,VSS,Metal1,84.7400,20.6450,0.017125
FILLER_0_142,VSS,Metal1,86.8000,20.1600,0.017126
FILLER_0_157,VSS,Metal1,96.3730,20.8065,0.017532
FILLER_0_165,VSS,Metal1,99.8600,20.6450,0.017670
FILLER_0_169,VSS,Metal1,101.6400,20.1600,0.017671
FILLER_0_172,VSS,Metal1,111.3240,21.0220,0.017896
FILLER_0_206,VSS,Metal1,123.8130,20.8065,0.018092
FILLER_0_214,VSS,Metal1,127.1200,20.1600,0.018099
FILLER_0_216,VSS,Metal1,127.9600,20.1600,0.018411
FILLER_0_230,VSS,Metal1,137.2530,20.8065,0.018541
FILLER_0_240,VSS,Metal1,142.8530,20.8065,0.018737
FILLER_0_261,VSS,Metal1,154.6130,20.8065,0.019078
FILLER_0_269,VSS,Metal1,157.9200,20.1600,0.019085
FILLER_0_271,VSS,Metal1,158.7600,20.1600,0.019330
FILLER_0_274,VSS,Metal1,168.4440,21.0220,0.019383
FILLER_0_308,VSS,Metal1,179.9400,20.6450,0.019579
FILLER_0_312,VSS,Metal1,182.0000,20.1600,0.019579
FILLER_0_327,VSS,Metal1,191.5730,20.8065,0.019984
FILLER_0_335,VSS,Metal1,195.0600,20.6450,0.020122
FILLER_0_339,VSS,Metal1,196.8400,20.1600,0.020122
FILLER_0_342,VSS,Metal1,206.5240,21.0220,0.020346
FILLER_0_376,VSS,Metal1,225.5640,21.0220,0.020542
FILLER_0_410,VSS,Metal1,236.6000,20.1600,0.020694
FILLER_0_424,VSS,Metal1,248.0320,20.9360,0.020975
FILLER_0_440,VSS,Metal1,253.6800,20.1600,0.020982
FILLER_0_444,VSS,Metal1,259.2320,20.9360,0.021242
FILLER_0_460,VSS,Metal1,264.8800,20.1600,0.021250
FILLER_0_475,VSS,Metal1,273.0000,20.1600,0.021535
FILLER_0_478,VSS,Metal1,276.1330,20.8065,0.021748
FILLER_0_486,VSS,Metal1,279.1600,20.1600,0.021755
FILLER_0_500,VSS,Metal1,288.4530,20.8065,0.022123
FILLER_0_508,VSS,Metal1,291.7600,20.1600,0.022131
FILLER_0_512,VSS,Metal1,301.7240,21.0220,0.022391
FILLER_0_546,VSS,Metal1,320.7640,21.0220,0.022587
FILLER_0_580,VSS,Metal1,333.2530,20.8065,0.022782
FILLER_0_588,VSS,Metal1,336.7400,20.6450,0.022905
FILLER_0_592,VSS,Metal1,338.8000,20.1600,0.022906
FILLER_0_607,VSS,Metal1,347.3800,20.6450,0.023267
FILLER_0_611,VSS,Metal1,349.1600,20.1600,0.023268
FILLER_0_614,VSS,Metal1,354.4320,20.9360,0.023468
FILLER_0_630,VSS,Metal1,361.2530,20.8065,0.023591
FILLER_0_638,VSS,Metal1,364.7400,20.6450,0.023715
FILLER_0_642,VSS,Metal1,366.5200,20.1600,0.023715
FILLER_0_645,VSS,Metal1,368.2000,20.1600,0.023966
FILLER_0_648,VSS,Metal1,377.8840,21.0220,0.024012
FILLER_0_682,VSS,Metal1,388.9200,20.1600,0.024149
FILLER_0_691,VSS,Metal1,397.5520,20.9360,0.024471
FILLER_0_707,VSS,Metal1,403.3800,20.6450,0.024594
FILLER_0_711,VSS,Metal1,405.4400,20.1600,0.024594
FILLER_0_713,VSS,Metal1,406.2800,20.1600,0.024813
FILLER_0_716,VSS,Metal1,411.5520,20.9360,0.024859
FILLER_0_732,VSS,Metal1,417.2000,20.1600,0.024866
FILLER_0_734,VSS,Metal1,418.0400,20.1600,0.025079
FILLER_0_741,VSS,Metal1,422.4200,20.6450,0.025139
FILLER_0_745,VSS,Metal1,424.4800,20.1600,0.025139
FILLER_0_747,VSS,Metal1,425.3200,20.1600,0.025358
FILLER_0_750,VSS,Metal1,435.0040,21.0220,0.025404
FILLER_0_784,VSS,Metal1,454.0440,21.0220,0.025579
FILLER_0_818,VSS,Metal1,473.0840,21.0220,0.025754
FILLER_0_852,VSS,Metal1,492.1240,21.0220,0.025928
FILLER_0_886,VSS,Metal1,511.1640,21.0220,0.026103
FILLER_0_920,VSS,Metal1,522.6600,20.6450,0.026278
FILLER_0_924,VSS,Metal1,524.7200,20.1600,0.026279
FILLER_0_932,VSS,Metal1,532.5120,20.9360,0.026520
FILLER_0_948,VSS,Metal1,538.3400,20.6450,0.026644
FILLER_0_954,VSS,Metal1,549.2440,21.0220,0.026812
FILLER_0_988,VSS,Metal1,568.2840,21.0220,0.026988
FILLER_0_1022,VSS,Metal1,587.3240,21.0220,0.027163
FILLER_0_1056,VSS,Metal1,606.3640,21.0220,0.027338
FILLER_0_1090,VSS,Metal1,625.4040,21.0220,0.027513
FILLER_0_1124,VSS,Metal1,636.7200,20.1600,0.027649
FILLER_0_1126,VSS,Metal1,637.5600,20.1600,0.027649
FILLER_0_1133,VSS,Metal1,645.0720,20.9360,0.027829
FILLER_0_1149,VSS,Metal1,650.9000,20.6450,0.027917
FILLER_0_1153,VSS,Metal1,652.9600,20.1600,0.027917
FILLER_0_1155,VSS,Metal1,653.8000,20.1600,0.028073
FILLER_0_1158,VSS,Metal1,663.4840,21.0220,0.028106
FILLER_0_1192,VSS,Metal1,682.5240,21.0220,0.028230
FILLER_0_1226,VSS,Metal1,701.5640,21.0220,0.028354
FILLER_0_1260,VSS,Metal1,720.6040,21.0220,0.028478
FILLER_0_1294,VSS,Metal1,739.6440,21.0220,0.028603
FILLER_0_1328,VSS,Metal1,758.6840,21.0220,0.028727
FILLER_0_1362,VSS,Metal1,771.1730,20.8065,0.028851
FILLER_0_1370,VSS,Metal1,774.4800,20.1600,0.028856
FILLER_0_1372,VSS,Metal1,775.3200,20.1600,0.029053
FILLER_0_1386,VSS,Metal1,784.6130,20.8065,0.029136
FILLER_0_1396,VSS,Metal1,796.7640,21.0220,0.029260
FILLER_0_1430,VSS,Metal1,815.8040,21.0220,0.029318
FILLER_0_1464,VSS,Metal1,834.8440,21.0220,0.029375
FILLER_0_1498,VSS,Metal1,849.4720,20.9360,0.029433
FILLER_0_1514,VSS,Metal1,855.1200,20.1600,0.029435
FILLER_0_1529,VSS,Metal1,863.2400,20.1600,0.029520
FILLER_0_1532,VSS,Metal1,872.9240,21.0220,0.029582
FILLER_0_1566,VSS,Metal1,891.9640,21.0220,0.029640
FILLER_0_1600,VSS,Metal1,911.0040,21.0220,0.029698
FILLER_0_1634,VSS,Metal1,922.0400,20.1600,0.029743
FILLER_0_1647,VSS,Metal1,932.9120,20.9360,0.029891
FILLER_0_1663,VSS,Metal1,938.5600,20.1600,0.029893
FILLER_0_1665,VSS,Metal1,939.4000,20.1600,0.029965
FILLER_0_1668,VSS,Metal1,942.5330,20.8065,0.029980
FILLER_0_1676,VSS,Metal1,946.0200,20.6450,0.030021
FILLER_0_1693,VSS,Metal1,955.3600,20.1600,0.030021
FILLER_0_1699,VSS,Metal1,958.4400,20.1600,0.030021
FILLER_0_1702,VSS,Metal1,968.1240,21.0220,0.030021
FILLER_0_1736,VSS,Metal1,987.1640,21.0220,0.030021
FILLER_0_1770,VSS,Metal1,1006.2040,21.0220,0.030021
FILLER_0_1804,VSS,Metal1,1018.6930,20.8065,0.030021
FILLER_0_1825,VSS,Metal1,1030.4530,20.8065,0.030021
FILLER_0_1833,VSS,Metal1,1033.7600,20.1600,0.030021
FILLER_0_1835,VSS,Metal1,1034.6000,20.1600,0.030021
FILLER_0_1838,VSS,Metal1,1044.2840,21.0220,0.030021
FILLER_0_1872,VSS,Metal1,1063.3240,21.0220,0.030021
FILLER_0_1906,VSS,Metal1,1077.9520,20.9360,0.030021
FILLER_0_1922,VSS,Metal1,1083.6000,20.1600,0.030021
FILLER_0_1924,VSS,Metal1,1084.4400,20.1600,0.030021
FILLER_1_80,VSS,Metal1,55.3920,29.4640,0.018123
FILLER_1_96,VSS,Metal1,62.2130,29.5930,0.018173
FILLER_1_104,VSS,Metal1,65.5200,30.2400,0.018322
FILLER_1_106,VSS,Metal1,66.3600,30.2400,0.018610
FILLER_1_139,VSS,Metal1,84.8400,30.2400,0.018702
FILLER_1_142,VSS,Metal1,86.5200,30.2400,0.018738
FILLER_1_175,VSS,Metal1,105.4600,29.7550,0.019420
FILLER_1_179,VSS,Metal1,107.5200,30.2400,0.019421
FILLER_1_194,VSS,Metal1,119.2320,29.4640,0.019677
FILLER_1_212,VSS,Metal1,127.1730,29.5930,0.019841
FILLER_1_220,VSS,Metal1,130.6600,29.7550,0.019852
FILLER_1_237,VSS,Metal1,140.0000,30.2400,0.019854
