Instance,Terminal,Layer,X location,Y location,Voltage
hold1749,VDD,Metal1,56.2930,660.7815,4.999591
hold1748,VDD,Metal1,16.5330,680.9415,4.999671
hold1747,VDD,Metal1,1053.0930,538.7380,4.999245
fanout1738,VDD,Metal1,537.8330,1094.2580,4.999266
load_slew1737,VDD,Metal1,872.1530,1074.0980,4.999936
fanout1736,VDD,Metal1,871.7430,1094.3180,4.999779
load_slew1735,VDD,Metal1,1083.7730,983.4465,4.999786
fanout1734,VDD,Metal1,1074.4630,993.5180,4.999874
fanout1733,VDD,Metal1,1043.6630,943.1180,4.999691
fanout1732,VDD,Metal1,1055.4230,941.8420,4.999690
fanout1731,VDD,Metal1,1044.7830,911.6020,4.999808
load_slew1730,VDD,Metal1,1063.6130,872.5665,4.999621
fanout1729,VDD,Metal1,1043.6630,902.7980,4.999829
fanout1728,VDD,Metal1,1018.4630,851.1220,4.999706
load_slew1727,VDD,Metal1,1055.2130,822.1665,4.999282
fanout1726,VDD,Metal1,1040.3030,871.2820,4.999647
load_slew1725,VDD,Metal1,1046.8130,822.1665,4.999376
fanout1724,VDD,Metal1,1044.2230,820.8820,4.999377
load_slew1723,VDD,Metal1,1082.6530,800.7130,4.999600
fanout1722,VDD,Metal1,1043.6630,872.5580,4.999647
load_slew1721,VDD,Metal1,1048.4930,751.6065,4.999735
fanout1720,VDD,Metal1,1043.6630,780.5620,4.999615
fanout1719,VDD,Metal1,984.8630,851.1220,4.999541
wire1718,VDD,Metal1,982.9730,780.5530,4.999584
fanout1717,VDD,Metal1,988.2230,842.3180,4.999508
fanout1716,VDD,Metal1,1053.7430,659.6020,4.999387
load_slew1715,VDD,Metal1,1083.7730,701.2065,4.999617
fanout1714,VDD,Metal1,1053.7430,740.2420,4.999761
load_slew1713,VDD,Metal1,1036.7330,670.9665,4.999534
fanout1712,VDD,Metal1,1047.0230,710.0020,4.999815
load_slew1711,VDD,Metal1,1036.9720,630.7760,4.999090
fanout1710,VDD,Metal1,1034.7030,629.3620,4.999090
fanout1709,VDD,Metal1,998.3030,679.7620,4.999166
fanout1708,VDD,Metal1,1033.5830,679.7620,4.999115
load_slew1707,VDD,Metal1,980.7330,691.1265,4.999481
fanout1706,VDD,Metal1,983.1830,679.7620,4.999184
load_slew1705,VDD,Metal1,987.6920,639.3040,4.999474
fanout1704,VDD,Metal1,980.3830,599.1220,4.999280
fanout1703,VDD,Metal1,821.9030,650.7980,4.999557
load_slew1702,VDD,Metal1,901.2130,610.4865,4.999432
fanout1701,VDD,Metal1,905.3430,699.9220,4.999455
load_slew1700,VDD,Metal1,902.3930,691.0580,4.999505
fanout1699,VDD,Metal1,892.4630,701.1980,4.999447
load_slew1698,VDD,Metal1,944.3330,701.2065,4.999554
fanout1697,VDD,Metal1,912.6230,701.1980,4.999456
fanout1696,VDD,Metal1,890.2230,660.8780,4.999485
load_slew1695,VDD,Metal1,841.2930,699.9130,4.999431
fanout1694,VDD,Metal1,852.7030,701.1980,4.999435
load_slew1693,VDD,Metal1,852.1720,610.6160,4.999431
fanout1692,VDD,Metal1,835.3430,639.4420,4.999504
fanout1691,VDD,Metal1,567.1030,1094.3180,4.999282
fanout1690,VDD,Metal1,550.8630,1094.3180,4.999266
fanout1689,VDD,Metal1,544.7030,670.9580,4.999659
fanout1688,VDD,Metal1,814.6230,701.1980,4.999448
fanout1687,VDD,Metal1,789.9830,679.7620,4.999553
load_slew1686,VDD,Metal1,773.5330,701.2065,4.999456
fanout1685,VDD,Metal1,791.1030,689.8420,4.999601
load_slew1684,VDD,Metal1,774.6530,609.1930,4.999436
fanout1683,VDD,Metal1,772.6230,610.4780,4.999436
load_slew1682,VDD,Metal1,700.7330,681.0465,4.999560
fanout1681,VDD,Metal1,700.9430,699.9220,4.999314
fanout1680,VDD,Metal1,722.7830,620.5580,4.999675
