Instance,Terminal,Layer,X location,Y location,Voltage
hold1749,VSS,Metal1,57.3525,664.8175,0.000233
hold1748,VSS,Metal1,17.5925,684.9775,0.000500
hold1747,VSS,Metal1,1054.1525,534.7025,0.001042
fanout1738,VSS,Metal1,537.9000,1098.1650,0.000547
load_slew1737,VSS,Metal1,872.2200,1078.0050,0.000108
fanout1736,VSS,Metal1,871.8230,1098.1885,0.000150
load_slew1735,VSS,Metal1,1083.8400,987.2425,0.000192
fanout1734,VSS,Metal1,1074.5430,997.3885,0.000118
fanout1733,VSS,Metal1,1043.7430,946.9885,0.000183
fanout1732,VSS,Metal1,1055.5030,937.9715,0.000244
fanout1731,VSS,Metal1,1044.8630,907.7315,0.000284
load_slew1730,VSS,Metal1,1063.6800,876.3625,0.000321
fanout1729,VSS,Metal1,1043.7430,906.6685,0.000284
fanout1728,VSS,Metal1,1018.5430,847.2515,0.000653
load_slew1727,VSS,Metal1,1055.2800,825.9625,0.000530
fanout1726,VSS,Metal1,1040.3830,867.4115,0.000200
load_slew1725,VSS,Metal1,1046.8800,825.9625,0.000466
fanout1724,VSS,Metal1,1044.3030,817.0115,0.000227
load_slew1723,VSS,Metal1,1082.7200,796.9175,0.000340
fanout1722,VSS,Metal1,1043.7430,876.4285,0.000318
load_slew1721,VSS,Metal1,1048.5600,755.4025,0.000489
fanout1720,VSS,Metal1,1043.7430,776.6915,0.000375
fanout1719,VSS,Metal1,984.9430,847.2515,0.000707
wire1718,VSS,Metal1,983.0400,776.7575,0.000394
fanout1717,VSS,Metal1,988.3030,846.1885,0.000707
fanout1716,VSS,Metal1,1053.8230,655.7315,0.000785
load_slew1715,VSS,Metal1,1083.8400,705.0025,0.000293
fanout1714,VSS,Metal1,1053.8230,736.3715,0.000224
load_slew1713,VSS,Metal1,1036.8000,674.7625,0.000844
fanout1712,VSS,Metal1,1047.1030,706.1315,0.000250
load_slew1711,VSS,Metal1,1037.0680,634.3740,0.000897
fanout1710,VSS,Metal1,1034.7830,625.4915,0.000890
fanout1709,VSS,Metal1,998.3830,675.8915,0.000828
fanout1708,VSS,Metal1,1033.6630,675.8915,0.000844
load_slew1707,VSS,Metal1,980.8000,694.9225,0.000721
fanout1706,VSS,Metal1,983.2630,675.8915,0.000778
load_slew1705,VSS,Metal1,987.7880,635.7060,0.000726
fanout1704,VSS,Metal1,980.4630,595.2515,0.000443
fanout1703,VSS,Metal1,821.9830,654.6685,0.000635
load_slew1702,VSS,Metal1,901.2800,614.2825,0.000430
fanout1701,VSS,Metal1,905.4230,696.0515,0.000574
load_slew1700,VSS,Metal1,902.4600,694.9650,0.000574
fanout1699,VSS,Metal1,892.5430,705.0685,0.000407
load_slew1698,VSS,Metal1,944.4000,705.0025,0.000274
fanout1697,VSS,Metal1,912.7030,705.0685,0.000386
fanout1696,VSS,Metal1,890.3030,664.7485,0.000315
load_slew1695,VSS,Metal1,841.3600,696.1175,0.000573
fanout1694,VSS,Metal1,852.7830,705.0685,0.000405
load_slew1693,VSS,Metal1,852.2680,614.2140,0.000484
fanout1692,VSS,Metal1,835.4230,635.5715,0.000630
fanout1691,VSS,Metal1,567.1830,1098.1885,0.000555
fanout1690,VSS,Metal1,550.9430,1098.1885,0.000561
fanout1689,VSS,Metal1,544.7830,674.8285,0.000318
fanout1688,VSS,Metal1,814.7030,705.0685,0.000346
fanout1687,VSS,Metal1,790.0630,675.8915,0.000393
load_slew1686,VSS,Metal1,773.6000,705.0025,0.000306
fanout1685,VSS,Metal1,791.1830,685.9715,0.000416
load_slew1684,VSS,Metal1,774.7200,605.3975,0.000436
fanout1683,VSS,Metal1,772.7030,614.3485,0.000432
load_slew1682,VSS,Metal1,700.8000,684.8425,0.000454
fanout1681,VSS,Metal1,701.0230,696.0515,0.000708
fanout1680,VSS,Metal1,722.8630,624.4285,0.000386
load_slew1679,VSS,Metal1,698.8280,625.6260,0.000381
fanout1678,VSS,Metal1,684.7830,655.7315,0.000765
load_slew1677,VSS,Metal1,638.6400,705.0025,0.000252
fanout1676,VSS,Metal1,624.3030,664.7485,0.000276
fanout1675,VSS,Metal1,670.2230,696.0515,0.000710
load_slew1674,VSS,Metal1,631.0680,704.9340,0.000261
fanout1673,VSS,Metal1,636.6230,696.0515,0.000705
load_slew1672,VSS,Metal1,564.7200,705.0025,0.000271
fanout1671,VSS,Metal1,532.4630,694.9885,0.001091
load_slew1670,VSS,Metal1,577.3080,684.7740,0.000451
fanout1669,VSS,Metal1,563.8230,664.7485,0.000297
fanout1668,VSS,Metal1,838.2230,584.1085,0.000330
fanout1667,VSS,Metal1,974.3030,574.0285,0.000442
fanout1666,VSS,Metal1,1034.2230,574.0285,0.000559
fanout1665,VSS,Metal1,1049.3430,604.2685,0.001180
load_slew1664,VSS,Metal1,1049.1800,574.0050,0.000583
fanout1663,VSS,Metal1,1017.9830,523.6285,0.000561
load_slew1662,VSS,Metal1,1044.7000,483.2850,0.001239
fanout1661,VSS,Metal1,1042.0630,493.3885,0.000987
load_slew1660,VSS,Metal1,990.3200,483.2425,0.001104
fanout1659,VSS,Metal1,978.7830,493.3885,0.000931
load_slew1658,VSS,Metal1,975.8200,544.8750,0.000418
fanout1657,VSS,Metal1,974.3030,543.7885,0.000418
fanout1656,VSS,Metal1,995.0230,432.9085,0.000512
wire1655,VSS,Metal1,1049.1200,403.7975,0.000439
fanout1654,VSS,Metal1,1014.6230,433.9715,0.000515
load_slew1653,VSS,Metal1,1061.1480,362.2140,0.000644
fanout1652,VSS,Metal1,1048.2230,352.2685,0.000658
