Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_323_1940,VDD,Metal1,1098.2080,1648.8560,4.472724
FILLER_323_1906,VDD,Metal1,1083.7155,1648.9420,4.472722
FILLER_323_1872,VDD,Metal1,1064.6755,1648.9420,4.472721
FILLER_323_1838,VDD,Metal1,1045.6355,1648.9420,4.472721
FILLER_323_1804,VDD,Metal1,1026.5955,1648.9420,4.472721
FILLER_323_1770,VDD,Metal1,1007.5555,1648.9420,4.472720
FILLER_323_1736,VDD,Metal1,988.5155,1648.9420,4.472720
FILLER_323_1702,VDD,Metal1,969.4755,1648.9420,4.472720
FILLER_323_1668,VDD,Metal1,950.4355,1648.9420,4.472719
FILLER_323_1634,VDD,Metal1,931.3955,1648.9420,4.472719
FILLER_323_1600,VDD,Metal1,912.3555,1648.9420,4.472717
FILLER_323_1566,VDD,Metal1,893.3155,1648.9420,4.472716
FILLER_323_1532,VDD,Metal1,874.2755,1648.9420,4.472715
FILLER_323_1498,VDD,Metal1,855.2355,1648.9420,4.472714
FILLER_323_1464,VDD,Metal1,836.1955,1648.9420,4.472711
FILLER_323_1430,VDD,Metal1,817.1555,1648.9420,4.472710
FILLER_323_1427,VDD,Metal1,806.1200,1648.0800,4.472703
FILLER_323_1425,VDD,Metal1,805.2800,1648.0800,4.472703
FILLER_323_1421,VDD,Metal1,803.9800,1648.5650,4.472703
FILLER_323_1413,VDD,Metal1,800.7465,1648.7265,4.472703
FILLER_323_1396,VDD,Metal1,789.9800,1648.5650,4.472551
FILLER_323_1390,VDD,Metal1,786.6200,1648.5650,4.472546
FILLER_323_1370,VDD,Metal1,774.2000,1648.0800,4.472529
FILLER_323_1362,VDD,Metal1,772.1865,1648.7265,4.472526
FILLER_323_1359,VDD,Metal1,768.0400,1648.0800,4.472510
FILLER_323_1357,VDD,Metal1,767.2000,1648.0800,4.472510
FILLER_323_1353,VDD,Metal1,765.9000,1648.5650,4.472510
FILLER_323_1345,VDD,Metal1,762.6665,1648.7265,4.472507
FILLER_323_1328,VDD,Metal1,751.9000,1648.5650,4.472481
FILLER_323_1325,VDD,Metal1,749.0000,1648.0800,4.472481
FILLER_323_1323,VDD,Metal1,748.1600,1648.0800,4.472481
FILLER_323_1319,VDD,Metal1,746.8600,1648.5650,4.472481
FILLER_323_1311,VDD,Metal1,743.6265,1648.7265,4.472481
FILLER_323_1294,VDD,Metal1,732.8600,1648.5650,4.472033
FILLER_323_1291,VDD,Metal1,729.9600,1648.0800,4.471967
FILLER_323_1289,VDD,Metal1,729.1200,1648.0800,4.471967
FILLER_323_1285,VDD,Metal1,727.8200,1648.5650,4.471965
FILLER_323_1277,VDD,Metal1,724.5865,1648.7265,4.471963
FILLER_323_1260,VDD,Metal1,713.8200,1648.5650,4.471912
FILLER_323_1257,VDD,Metal1,710.9200,1648.0800,4.471911
FILLER_323_1255,VDD,Metal1,710.0800,1648.0800,4.471911
FILLER_323_1251,VDD,Metal1,708.7800,1648.5650,4.471911
FILLER_323_1243,VDD,Metal1,705.5465,1648.7265,4.471909
FILLER_323_1226,VDD,Metal1,694.7800,1648.5650,4.471853
FILLER_323_1222,VDD,Metal1,691.6000,1648.0800,4.471842
FILLER_323_1218,VDD,Metal1,690.3000,1648.5650,4.471842
FILLER_323_1204,VDD,Metal1,681.2400,1648.0800,4.471814
FILLER_323_1200,VDD,Metal1,680.2200,1648.5650,4.471814
FILLER_323_1192,VDD,Metal1,676.9865,1648.7265,4.471812
FILLER_323_1186,VDD,Metal1,672.3800,1648.5650,4.471795
FILLER_323_1172,VDD,Metal1,663.3200,1648.0800,4.471793
FILLER_323_1170,VDD,Metal1,662.4800,1648.0800,4.471793
FILLER_323_1166,VDD,Metal1,661.1800,1648.5650,4.471793
FILLER_323_1158,VDD,Metal1,657.9465,1648.7265,4.471780
FILLER_323_1124,VDD,Metal1,645.7955,1648.9420,4.471760
FILLER_323_1118,VDD,Metal1,634.3000,1648.5650,4.471640
FILLER_323_1104,VDD,Metal1,625.2400,1648.0800,4.471633
FILLER_323_1102,VDD,Metal1,624.4000,1648.0800,4.471633
FILLER_323_1098,VDD,Metal1,623.1000,1648.5650,4.471633
FILLER_323_1090,VDD,Metal1,619.8665,1648.7265,4.471575
FILLER_323_1084,VDD,Metal1,615.2600,1648.5650,4.471430
FILLER_323_1070,VDD,Metal1,606.2000,1648.0800,4.471360
FILLER_323_1068,VDD,Metal1,605.3600,1648.0800,4.471360
FILLER_323_1064,VDD,Metal1,604.0600,1648.5650,4.471352
FILLER_323_1056,VDD,Metal1,600.8265,1648.7265,4.471344
FILLER_323_1050,VDD,Metal1,596.2200,1648.5650,4.471216
FILLER_323_1036,VDD,Metal1,587.1600,1648.0800,4.471215
FILLER_323_1034,VDD,Metal1,586.3200,1648.0800,4.471215
FILLER_323_1030,VDD,Metal1,585.0200,1648.5650,4.471158
FILLER_323_1022,VDD,Metal1,581.7865,1648.7265,4.471150
FILLER_323_988,VDD,Metal1,569.6355,1648.9420,4.471102
FILLER_323_985,VDD,Metal1,558.6000,1648.0800,4.471084
FILLER_323_983,VDD,Metal1,557.7600,1648.0800,4.471084
FILLER_323_979,VDD,Metal1,556.4600,1648.5650,4.471084
FILLER_323_971,VDD,Metal1,553.2265,1648.7265,4.471084
FILLER_323_954,VDD,Metal1,542.4600,1648.5650,4.471048
FILLER_323_948,VDD,Metal1,539.1000,1648.5650,4.471020
FILLER_323_928,VDD,Metal1,526.6800,1648.0800,4.470987
FILLER_323_920,VDD,Metal1,524.6665,1648.7265,4.470986
FILLER_323_914,VDD,Metal1,520.0600,1648.5650,4.470985
FILLER_323_894,VDD,Metal1,507.6400,1648.0800,4.470956
FILLER_323_886,VDD,Metal1,505.6265,1648.7265,4.470955
FILLER_323_880,VDD,Metal1,501.0200,1648.5650,4.470938
FILLER_323_860,VDD,Metal1,488.6000,1648.0800,4.470906
FILLER_323_852,VDD,Metal1,486.5865,1648.7265,4.470850
FILLER_323_846,VDD,Metal1,481.9800,1648.5650,4.470755
FILLER_323_826,VDD,Metal1,469.5600,1648.0800,4.470741
FILLER_323_818,VDD,Metal1,467.5465,1648.7265,4.470741
