Instance,Terminal,Layer,X location,Y location,Voltage
elec_buf_11319,VDD,Metal1,778.8600,1346.2425,4.080558
elec_buf_12379,VDD,Metal1,333.6120,1175.0960,4.056657
ANTENNA_26,VDD,Metal1,690.4800,367.9200,4.010679
ANTENNA_25,VDD,Metal1,8.4000,1386.0000,4.086053
ANTENNA_24,VDD,Metal1,8.4000,1375.9200,4.084499
ANTENNA_23,VDD,Metal1,8.4000,1476.7200,4.099718
ANTENNA_22,VDD,Metal1,8.4000,1577.5200,4.112511
ANTENNA_21,VDD,Metal1,35.8400,1648.0800,4.116940
ANTENNA_20,VDD,Metal1,35.8400,1638.0000,4.116964
ANTENNA_19,VDD,Metal1,142.8000,1648.0800,4.120433
ANTENNA_18,VDD,Metal1,142.8000,1638.0000,4.121105
ANTENNA_17,VDD,Metal1,226.8000,1638.0000,4.127575
ANTENNA_16,VDD,Metal1,302.4000,1638.0000,4.129910
ANTENNA_15,VDD,Metal1,8.4000,1275.1200,4.069866
ANTENNA_14,VDD,Metal1,322.0000,398.1600,4.011799
ANTENNA_13,VDD,Metal1,431.7600,307.4400,4.006861
ANTENNA_12,VDD,Metal1,498.4000,589.6800,4.025752
ANTENNA_11,VDD,Metal1,381.9200,599.7600,4.026629
ANTENNA_10,VDD,Metal1,488.8800,408.2400,4.012610
ANTENNA_9,VDD,Metal1,488.8800,388.0800,4.011329
ANTENNA_8,VDD,Metal1,304.6400,539.2800,4.021129
ANTENNA_7,VDD,Metal1,115.9200,1083.6000,4.047913
hold_dlya_din2,VDD,Metal1,17.5920,973.5400,4.045138
hold_dlya_din1,VDD,Metal1,17.5920,1074.3400,4.048829
hold_dlya_din0,VDD,Metal1,19.3600,1174.9280,4.057365
eco18_sk_18433,VDD,Metal1,25.0310,26.0890,3.999816
eco15_sk2_7,VDD,Metal1,435.5110,1415.3505,4.090955
eco15_sk1_7,VDD,Metal1,435.5110,1425.4305,4.092706
eco15_sk2_6,VDD,Metal1,793.9110,1485.9105,4.104730
eco15_sk1_6,VDD,Metal1,793.9110,1475.8305,4.102747
eco15_sk2_5,VDD,Metal1,455.6710,1638.8890,4.134661
eco15_sk1_5,VDD,Metal1,441.1110,1647.1905,4.138412
eco15_sk2_4,VDD,Metal1,594.5510,1344.7905,4.079889
eco15_sk1_4,VDD,Metal1,593.4310,1334.7105,4.078158
eco15_sk2_3,VDD,Metal1,536.3110,1497.7690,4.105782
eco15_sk1_3,VDD,Metal1,535.1910,1507.8490,4.107880
eco15_sk2_2,VDD,Metal1,539.1110,1628.8090,4.137750
eco15_sk1_2,VDD,Metal1,539.1110,1638.8890,4.141343
eco15_sk2_1,VDD,Metal1,672.9510,1586.7105,4.130827
eco15_sk1_1,VDD,Metal1,671.8310,1576.6305,4.127003
eco15_sk2_0,VDD,Metal1,376.7110,1265.9290,4.067775
eco15_sk1_0,VDD,Metal1,376.7110,1255.8490,4.066560
eco14_skew_14,VDD,Metal1,460.7110,1517.9290,4.109577
eco14_skew_13,VDD,Metal1,769.8310,1638.8890,4.142314
eco14_skew_12,VDD,Metal1,455.1110,1568.3290,4.119982
eco14_skew_11,VDD,Metal1,259.1110,1638.8890,4.129158
eco14_skew_10,VDD,Metal1,651.1110,1376.8090,4.084858
eco14_skew_9,VDD,Metal1,774.3110,1124.8090,4.051863
eco14_skew_8,VDD,Metal1,572.7110,1588.4890,4.129719
eco14_skew_7,VDD,Metal1,709.9110,1254.0705,4.067058
eco14_skew_6,VDD,Metal1,499.9110,1477.6090,4.102076
eco14_skew_5,VDD,Metal1,768.7110,1618.7290,4.135805
eco14_skew_4,VDD,Metal1,415.9110,1638.8890,4.133891
eco14_skew_3,VDD,Metal1,692.5510,1155.0490,4.054993
eco14_skew_2,VDD,Metal1,789.4310,1606.8705,4.133579
eco14_skew_1,VDD,Metal1,519.5110,1637.1105,4.141312
eco14_skew_0,VDD,Metal1,811.2710,1286.0890,4.071538
eco12_buf_16106,VDD,Metal1,441.1110,1243.9905,4.065487
eco12_buf_15937,VDD,Metal1,436.6310,1213.7505,4.061535
load_slew111_b,VDD,Metal1,223.2710,167.2090,4.001826
eco10_buf_09742,VDD,Metal1,221.5910,1175.2090,4.056625
eco10_buf_15970,VDD,Metal1,435.5110,1274.2305,4.069613
eco10_buf_15936,VDD,Metal1,401.9110,1233.9105,4.063863
eco9_buf_09497,VDD,Metal1,401.9110,387.1905,4.011206
eco9_buf_09481,VDD,Metal1,398.5510,679.5105,4.034422
eco7_buf_16299,VDD,Metal1,457.3510,1276.0090,4.069613
eco7_buf_15981,VDD,Metal1,436.6310,1233.9105,4.063935
eco7_buf_15962,VDD,Metal1,421.5110,1265.9290,4.067794
eco7_buf_16105,VDD,Metal1,417.0310,1296.1690,4.072166
eco7_buf_09450,VDD,Metal1,436.6310,1082.7105,4.047568
eco7_buf_09435,VDD,Metal1,358.2310,689.5905,4.035750
eco6_buf_11983,VDD,Metal1,735.1110,1094.5690,4.048388
eco6_buf_10314,VDD,Metal1,240.6310,1254.0705,4.066540
eco6_buf_09848,VDD,Metal1,278.7110,699.6705,4.037032
eco6_buf_15979,VDD,Metal1,420.9510,1205.4490,4.060152
eco6_buf_11548,VDD,Metal1,435.5110,1173.4305,4.056589
eco5_buf_16236,VDD,Metal1,437.7510,1284.3105,4.071000
eco5_buf_10445,VDD,Metal1,279.8310,1485.9105,4.102761
eco5_buf_10340,VDD,Metal1,245.1110,1243.9905,4.065471
rst_tree_leaf_63,VDD,Metal1,283.7510,74.7105,4.000243
rst_tree_leaf_62,VDD,Metal1,264.7110,76.4890,4.000242
rst_tree_leaf_61,VDD,Metal1,259.1110,86.5690,4.000200
rst_tree_leaf_60,VDD,Metal1,241.7510,84.7905,4.000200
rst_tree_leaf_59,VDD,Metal1,225.5110,76.4890,4.000242
rst_tree_leaf_58,VDD,Metal1,205.9110,74.7105,4.000242
rst_tree_leaf_57,VDD,Metal1,186.3110,76.4890,4.000242
rst_tree_leaf_56,VDD,Metal1,185.7510,86.5690,4.000213
rst_tree_leaf_55,VDD,Metal1,166.7110,84.7905,4.000213
rst_tree_leaf_54,VDD,Metal1,147.1110,76.4890,4.000242
rst_tree_leaf_53,VDD,Metal1,143.7510,86.5690,4.000213
rst_tree_leaf_52,VDD,Metal1,127.5110,84.7905,4.000213
rst_tree_leaf_51,VDD,Metal1,107.9110,76.4890,4.000242
rst_tree_leaf_50,VDD,Metal1,102.3110,86.5690,4.000213
rst_tree_leaf_49,VDD,Metal1,87.7510,84.7905,4.000214
rst_tree_leaf_48,VDD,Metal1,68.7110,76.4890,4.000242
rst_tree_leaf_47,VDD,Metal1,283.7510,64.6305,4.000254
rst_tree_leaf_46,VDD,Metal1,264.7110,66.4090,4.000253
rst_tree_leaf_45,VDD,Metal1,245.1110,74.7105,4.000242
rst_tree_leaf_44,VDD,Metal1,241.7510,94.8705,4.000468
rst_tree_leaf_43,VDD,Metal1,225.5110,56.3290,4.000169
rst_tree_leaf_42,VDD,Metal1,205.9110,84.7905,4.000213
rst_tree_leaf_41,VDD,Metal1,186.3110,66.4090,4.000251
rst_tree_leaf_40,VDD,Metal1,166.7110,74.7105,4.000242
rst_tree_leaf_39,VDD,Metal1,166.7110,54.5505,4.000169
rst_tree_leaf_38,VDD,Metal1,161.1110,94.8705,4.000472
rst_tree_leaf_37,VDD,Metal1,127.5110,74.7105,4.000241
rst_tree_leaf_36,VDD,Metal1,127.5110,94.8705,4.000472
rst_tree_leaf_35,VDD,Metal1,107.9110,56.3290,4.000168
rst_tree_leaf_34,VDD,Metal1,88.3110,74.7105,4.000242
rst_tree_leaf_33,VDD,Metal1,87.7510,94.8705,4.000499
rst_tree_leaf_32,VDD,Metal1,68.7110,86.5690,4.000214
rst_tree_leaf_31,VDD,Metal1,298.3110,66.4090,4.000254
rst_tree_leaf_30,VDD,Metal1,264.7110,56.3290,4.000170
rst_tree_leaf_29,VDD,Metal1,245.1110,64.6305,4.000252
rst_tree_leaf_28,VDD,Metal1,225.5110,66.4090,4.000252
rst_tree_leaf_27,VDD,Metal1,225.5110,46.2490,4.000121
rst_tree_leaf_26,VDD,Metal1,205.9110,54.5505,4.000169
rst_tree_leaf_25,VDD,Metal1,186.3110,56.3290,4.000169
rst_tree_leaf_24,VDD,Metal1,166.7110,64.6305,4.000251
rst_tree_leaf_23,VDD,Metal1,147.1110,66.4090,4.000250
rst_tree_leaf_22,VDD,Metal1,147.1110,56.3290,4.000168
rst_tree_leaf_21,VDD,Metal1,127.5110,64.6305,4.000250
rst_tree_leaf_20,VDD,Metal1,107.9110,66.4090,4.000250
rst_tree_leaf_19,VDD,Metal1,107.9110,46.2490,4.000119
rst_tree_leaf_18,VDD,Metal1,88.3110,54.5505,4.000168
rst_tree_leaf_17,VDD,Metal1,68.7110,66.4090,4.000250
rst_tree_leaf_16,VDD,Metal1,68.7110,46.2490,4.000120
rst_tree_leaf_15,VDD,Metal1,283.7510,54.5505,4.000171
rst_tree_leaf_14,VDD,Metal1,264.7110,46.2490,4.000121
rst_tree_leaf_13,VDD,Metal1,245.1110,54.5505,4.000170
rst_tree_leaf_12,VDD,Metal1,241.7510,44.4705,4.000121
rst_tree_leaf_11,VDD,Metal1,205.9110,64.6305,4.000251
rst_tree_leaf_10,VDD,Metal1,205.9110,44.4705,4.000120
rst_tree_leaf_9,VDD,Metal1,186.3110,46.2490,4.000120
rst_tree_leaf_8,VDD,Metal1,185.7510,36.1690,4.000051
rst_tree_leaf_7,VDD,Metal1,166.7110,44.4705,4.000120
rst_tree_leaf_6,VDD,Metal1,147.1110,46.2490,4.000120
rst_tree_leaf_5,VDD,Metal1,143.7510,36.1690,4.000051
rst_tree_leaf_4,VDD,Metal1,127.5110,44.4705,4.000120
rst_tree_leaf_3,VDD,Metal1,88.3110,64.6305,4.000250
rst_tree_leaf_2,VDD,Metal1,88.3110,44.4705,4.000119
rst_tree_leaf_1,VDD,Metal1,68.7110,56.3290,4.000168
rst_tree_leaf_0,VDD,Metal1,49.1110,64.6305,4.000250
rst_tree_mid_7,VDD,Metal1,219.9110,36.1690,4.000051
rst_tree_mid_6,VDD,Metal1,200.3110,34.3905,4.000051
rst_tree_mid_5,VDD,Metal1,166.7110,34.3905,4.000051
rst_tree_mid_4,VDD,Metal1,127.5110,54.5505,4.000168
rst_tree_mid_3,VDD,Metal1,127.5110,34.3905,4.000051
rst_tree_mid_2,VDD,Metal1,107.9110,36.1690,4.000051
rst_tree_mid_1,VDD,Metal1,88.3110,34.3905,4.000051
rst_tree_mid_0,VDD,Metal1,68.7110,36.1690,4.000051
rst_tree_root,VDD,Metal1,68.7110,26.0890,3.999856
wire301,VDD,Metal1,115.2000,1092.8515,4.048806
wire300,VDD,Metal1,32.3200,1013.8680,4.046796
load_slew299,VDD,Metal1,251.8400,1405.3315,4.089201
load_slew298,VDD,Metal1,241.2000,1536.3715,4.111150
wire297,VDD,Metal1,550.2600,1123.1440,4.051563
load_slew296,VDD,Metal1,549.2120,1094.4560,4.048395
load_slew295,VDD,Metal1,564.3320,1102.9840,4.049490
load_slew294,VDD,Metal1,556.4200,1113.0640,4.050583
load_slew293,VDD,Metal1,330.2400,1223.8915,4.062592
load_slew292,VDD,Metal1,525.6800,699.7315,4.036441
wire291,VDD,Metal1,766.8730,1314.8615,4.076015
load_slew290,VDD,Metal1,389.6000,528.3715,4.020591
load_slew289,VDD,Metal1,467.4520,1334.8240,4.078082
load_slew288,VDD,Metal1,526.7100,1124.7685,4.051549
load_slew287,VDD,Metal1,765.6930,1385.3530,4.086845
load_slew286,VDD,Metal1,765.9320,1437.1760,4.095092
wire285,VDD,Metal1,566.0120,1124.7480,4.051569
load_slew284,VDD,Metal1,601.8520,1356.5880,4.081613
wire283,VDD,Metal1,547.4600,1255.7360,4.066645
wire282,VDD,Metal1,369.3800,691.2560,4.035749
wire281,VDD,Metal1,760.1530,1386.5780,4.086815
wire280,VDD,Metal1,764.0130,1082.9530,4.047302
wire279,VDD,Metal1,512.0730,1396.6580,4.087853
wire278,VDD,Metal1,508.6530,871.2730,4.041019
wire277,VDD,Metal1,403.0520,609.0640,4.027433
load_slew276,VDD,Metal1,470.8120,489.6560,4.017637
max_cap275,VDD,Metal1,450.0200,1385.2240,4.086182
