Instance,Terminal,Layer,X location,Y location,Voltage
elec_buf_11319,VSS,Metal1,778.8600,1350.3450,0.163597
elec_buf_12379,VSS,Metal1,333.7080,1178.6940,0.153213
ANTENNA_26,VSS,Metal1,690.4800,362.8800,0.081740
ANTENNA_25,VSS,Metal1,8.4000,1380.9600,0.165080
ANTENNA_24,VSS,Metal1,8.4000,1370.8800,0.164691
ANTENNA_23,VSS,Metal1,8.4000,1471.6800,0.167943
ANTENNA_22,VSS,Metal1,8.4000,1572.4800,0.169670
ANTENNA_21,VSS,Metal1,35.8400,1653.1200,0.170089
ANTENNA_20,VSS,Metal1,35.8400,1643.0400,0.170140
ANTENNA_19,VSS,Metal1,142.8000,1643.0400,0.170508
ANTENNA_18,VSS,Metal1,142.8000,1632.9600,0.170395
ANTENNA_17,VSS,Metal1,226.8000,1643.0400,0.171086
ANTENNA_16,VSS,Metal1,302.4000,1643.0400,0.171152
ANTENNA_15,VSS,Metal1,8.4000,1270.0800,0.159548
ANTENNA_14,VSS,Metal1,322.0000,403.2000,0.087237
ANTENNA_13,VSS,Metal1,431.7600,302.4000,0.071276
ANTENNA_12,VSS,Metal1,498.4000,584.6400,0.112904
ANTENNA_11,VSS,Metal1,381.9200,594.7200,0.114201
ANTENNA_10,VSS,Metal1,488.8800,413.2800,0.089079
ANTENNA_9,VSS,Metal1,488.8800,383.0400,0.084456
ANTENNA_8,VSS,Metal1,304.6400,544.3200,0.107665
ANTENNA_7,VSS,Metal1,115.9200,1078.5600,0.142755
hold_dlya_din2,VSS,Metal1,17.6520,977.0420,0.140052
hold_dlya_din1,VSS,Metal1,17.6520,1077.8420,0.144264
hold_dlya_din0,VSS,Metal1,19.4300,1178.7740,0.153016
eco18_sk_18433,VSS,Metal1,25.1170,29.4440,0.020912
eco15_sk2_7,VSS,Metal1,435.5970,1411.9955,0.166681
eco15_sk1_7,VSS,Metal1,435.5970,1422.0755,0.167034
eco15_sk2_6,VSS,Metal1,793.9970,1482.5555,0.168325
eco15_sk1_6,VSS,Metal1,793.9970,1472.4755,0.168100
eco15_sk2_5,VSS,Metal1,455.7570,1642.2440,0.171268
eco15_sk1_5,VSS,Metal1,441.1970,1643.8355,0.171268
eco15_sk2_4,VSS,Metal1,594.6370,1341.4355,0.163862
eco15_sk1_4,VSS,Metal1,593.5170,1331.3555,0.163459
eco15_sk2_3,VSS,Metal1,536.3970,1501.1240,0.169305
eco15_sk1_3,VSS,Metal1,535.2770,1511.2040,0.169540
eco15_sk2_2,VSS,Metal1,539.1970,1632.1640,0.171298
eco15_sk1_2,VSS,Metal1,539.1970,1642.2440,0.171218
eco15_sk2_1,VSS,Metal1,673.0370,1583.3555,0.170460
eco15_sk1_1,VSS,Metal1,671.9170,1573.2755,0.170508
eco15_sk2_0,VSS,Metal1,376.7970,1269.2840,0.159953
eco15_sk1_0,VSS,Metal1,376.7970,1259.2040,0.159462
eco14_skew_14,VSS,Metal1,460.7970,1521.2840,0.169726
eco14_skew_13,VSS,Metal1,769.9170,1642.2440,0.170808
eco14_skew_12,VSS,Metal1,455.1970,1571.6840,0.170753
eco14_skew_11,VSS,Metal1,259.1970,1642.2440,0.171141
eco14_skew_10,VSS,Metal1,651.1970,1380.1640,0.165404
eco14_skew_9,VSS,Metal1,774.3970,1128.1640,0.148024
eco14_skew_8,VSS,Metal1,572.7970,1591.8440,0.170803
eco14_skew_7,VSS,Metal1,709.9970,1250.7155,0.158224
eco14_skew_6,VSS,Metal1,499.9970,1480.9640,0.168815
eco14_skew_5,VSS,Metal1,768.7970,1622.0840,0.170617
eco14_skew_4,VSS,Metal1,415.9970,1642.2440,0.171268
eco14_skew_3,VSS,Metal1,692.6370,1158.4040,0.151192
eco14_skew_2,VSS,Metal1,789.5170,1603.5155,0.170490
eco14_skew_1,VSS,Metal1,519.5970,1633.7555,0.171298
eco14_skew_0,VSS,Metal1,811.3570,1289.4440,0.160638
eco12_buf_16106,VSS,Metal1,441.1970,1240.6355,0.158164
eco12_buf_15937,VSS,Metal1,436.7170,1210.3955,0.155812
load_slew111_b,VSS,Metal1,223.3570,170.5640,0.040782
eco10_buf_09742,VSS,Metal1,221.6770,1178.5640,0.153236
eco10_buf_15970,VSS,Metal1,435.5970,1270.8755,0.159916
eco10_buf_15936,VSS,Metal1,401.9970,1230.5555,0.157306
eco9_buf_09497,VSS,Metal1,401.9970,383.8355,0.084406
eco9_buf_09481,VSS,Metal1,398.6370,676.1555,0.124097
eco7_buf_16299,VSS,Metal1,457.4370,1279.3640,0.160509
eco7_buf_15981,VSS,Metal1,436.7170,1230.5555,0.157305
eco7_buf_15962,VSS,Metal1,421.5970,1269.2840,0.159916
