_20010_ gf180mcu_fd_sc_mcu9t5v0__dffrnq_1 gf180mcu_fd_sc_mcu9t5v0__dffrnq_4
_09481_ gf180mcu_fd_sc_mcu9t5v0__nand2_1 gf180mcu_fd_sc_mcu9t5v0__nand2_4
_09497_ gf180mcu_fd_sc_mcu9t5v0__aoi21_1 gf180mcu_fd_sc_mcu9t5v0__aoi21_4
_09483_ gf180mcu_fd_sc_mcu9t5v0__nor2_1 gf180mcu_fd_sc_mcu9t5v0__nor2_4
_09482_ gf180mcu_fd_sc_mcu9t5v0__oai22_1 gf180mcu_fd_sc_mcu9t5v0__oai22_4
_09496_ gf180mcu_fd_sc_mcu9t5v0__oai21_1 gf180mcu_fd_sc_mcu9t5v0__oai21_4
load_slew207 gf180mcu_fd_sc_mcu9t5v0__clkbuf_8 gf180mcu_fd_sc_mcu9t5v0__clkbuf_16
max_cap44 gf180mcu_fd_sc_mcu9t5v0__buf_4 gf180mcu_fd_sc_mcu9t5v0__buf_8
max_cap35 gf180mcu_fd_sc_mcu9t5v0__buf_4 gf180mcu_fd_sc_mcu9t5v0__buf_8
max_cap39 gf180mcu_fd_sc_mcu9t5v0__buf_4 gf180mcu_fd_sc_mcu9t5v0__buf_8
_11835_ gf180mcu_fd_sc_mcu9t5v0__aoi221_1 gf180mcu_fd_sc_mcu9t5v0__aoi221_4
