Instance,Terminal,Layer,X location,Y location,Voltage
load_slew274,VDD,Metal1,604.6520,155.4640,4.499823
load_slew273,VDD,Metal1,712.4930,629.3530,4.499513
load_slew272,VDD,Metal1,389.5400,671.0960,4.499669
load_slew271,VDD,Metal1,909.7800,84.9040,4.499563
wire270,VDD,Metal1,158.7130,498.3815,4.499740
load_slew269,VDD,Metal1,223.7235,489.7830,4.499580
wire268,VDD,Metal1,241.0835,427.4965,4.499485
wire267,VDD,Metal1,977.0630,922.9665,4.499901
load_slew266,VDD,Metal1,208.1720,1084.3760,4.499568
wire265,VDD,Metal1,184.5235,1084.5030,4.499568
wire264,VDD,Metal1,299.8835,640.9830,4.499625
wire263,VDD,Metal1,204.2290,498.0565,4.499749
load_slew262,VDD,Metal1,552.5000,528.4240,4.499739
wire261,VDD,Metal1,562.6520,266.3440,4.499750
wire260,VDD,Metal1,668.4920,126.7760,4.499784
wire259,VDD,Metal1,568.2520,165.5440,4.499918
load_slew258,VDD,Metal1,1052.6400,530.0280,4.499490
load_slew257,VDD,Metal1,1006.6600,973.4960,4.499930
load_slew256,VDD,Metal1,465.2120,489.6560,4.499660
load_slew255,VDD,Metal1,410.3200,578.7715,4.499788
wire254,VDD,Metal1,278.6600,701.3360,4.499431
wire253,VDD,Metal1,268.9730,681.0465,4.499736
load_slew252,VDD,Metal1,384.5000,357.0640,4.499826
load_slew251,VDD,Metal1,410.8200,357.0640,4.499831
load_slew250,VDD,Metal1,509.8330,721.2980,4.499953
load_slew249,VDD,Metal1,139.2200,377.2240,4.499702
load_slew248,VDD,Metal1,237.2200,479.5760,4.499824
wire247,VDD,Metal1,981.5200,871.0915,4.499915
load_slew246,VDD,Metal1,255.7720,478.0240,4.499824
wire245,VDD,Metal1,52.8130,398.8065,4.499678
load_slew244,VDD,Metal1,1031.1930,701.1380,4.499901
clone243,VDD,Metal1,921.3900,266.5085,4.499782
clone242,VDD,Metal1,974.5840,508.4410,4.499488
split,VDD,Metal1,579.2130,679.7530,4.499508
clone240,VDD,Metal1,799.0880,599.2325,4.499548
clone239,VDD,Metal1,889.9450,479.4355,4.499718
clone238,VDD,Metal1,738.4525,590.2910,4.499819
clone237,VDD,Metal1,1016.7025,892.3660,4.499900
clone236,VDD,Metal1,869.9825,498.6735,4.499770
clone235,VDD,Metal1,719.0080,519.6475,4.499607
load_slew234,VDD,Metal1,1028.0000,882.8280,4.499938
load_slew233,VDD,Metal1,644.3400,689.7040,4.499822
load_slew232,VDD,Metal1,880.7200,558.6115,4.499499
load_slew231,VDD,Metal1,940.3000,528.3325,4.499580
load_slew230,VDD,Metal1,740.7320,538.5040,4.499397
load_slew229,VDD,Metal1,198.4730,558.8615,4.499707
load_slew228,VDD,Metal1,774.8710,489.7690,4.499556
wire227,VDD,Metal1,969.5930,499.5380,4.499750
wire226,VDD,Metal1,946.0730,95.1815,4.499789
load_slew225,VDD,Metal1,193.6120,488.1040,4.499583
ANTENNA_7,VDD,Metal1,374.0800,640.0800,4.499629
ANTENNA_6,VDD,Metal1,362.8800,609.8400,4.499231
ANTENNA_5,VDD,Metal1,596.9600,95.7600,4.499903
ANTENNA_4,VDD,Metal1,605.3600,357.8400,4.499872
ANTENNA_3,VDD,Metal1,502.8800,992.8800,4.499993
ANTENNA_2,VDD,Metal1,77.8400,267.1200,4.499802
ANTENNA_1,VDD,Metal1,623.2800,700.5600,4.499746
clone224,VDD,Metal1,220.1850,560.0755,4.499699
rebuffer223,VDD,Metal1,191.3015,570.3870,4.499676
rebuffer222,VDD,Metal1,195.2215,578.7325,4.499751
rebuffer221,VDD,Metal1,191.3015,519.9870,4.499804
rebuffer220,VDD,Metal1,818.5015,509.9070,4.499749
clone219,VDD,Metal1,822.1700,468.4335,4.499723
clone218,VDD,Metal1,98.1050,580.2355,4.499768
delaybuf_3_core_clk,VDD,Metal1,362.7110,699.6705,4.499410
delaybuf_2_core_clk,VDD,Metal1,277.0310,699.6705,4.499431
delaybuf_1_core_clk,VDD,Metal1,198.6310,1082.7105,4.499568
delaybuf_0_core_clk,VDD,Metal1,101.1910,1084.4890,4.499545
clkload92,VDD,Metal1,1045.7000,650.6450,4.499306
clkload91,VDD,Metal1,1047.1050,731.4465,4.499613
clkload90,VDD,Metal1,1026.9450,861.1930,4.499693
clkload89,VDD,Metal1,1027.4520,941.7040,4.499877
clkload88,VDD,Metal1,1049.3450,1013.6865,4.499907
clkload87,VDD,Metal1,1003.1400,1063.9250,4.499694
clkload86,VDD,Metal1,867.8000,1094.4035,4.499753
clkload85,VDD,Metal1,1053.3800,478.1530,4.498993
clkload84,VDD,Metal1,988.1665,518.3115,4.499101
clkload83,VDD,Metal1,898.0065,518.3115,4.499504
clkload82,VDD,Metal1,884.0400,457.9160,4.499689
clkload81,VDD,Metal1,717.1600,499.6835,4.499731
clkload80,VDD,Metal1,687.8600,619.4350,4.499251
clkload79,VDD,Metal1,787.1600,630.7235,4.499602
clkload78,VDD,Metal1,780.4920,679.6240,4.499500
clkload77,VDD,Metal1,863.9850,670.9665,4.499656
clkload76,VDD,Metal1,861.6920,609.0640,4.499583
clkload75,VDD,Metal1,941.7720,630.7760,4.499664
clkload74,VDD,Metal1,1011.8250,599.1130,4.499458
clkload73,VDD,Metal1,667.5400,1084.2465,4.499715
clkload72,VDD,Metal1,496.0650,741.5265,4.499730
clkload71,VDD,Metal1,502.1720,1012.2640,4.499754
clkload70,VDD,Metal1,356.1800,1084.2465,4.499661
clkload69,VDD,Metal1,148.3050,1094.3265,4.499850
clkload68,VDD,Metal1,572.7850,447.9130,4.499518
clkload67,VDD,Metal1,617.5850,560.0865,4.499594
clkload66,VDD,Metal1,606.2800,681.1235,4.499545
clkload65,VDD,Metal1,532.4650,629.3530,4.499596
clkload64,VDD,Metal1,77.0300,651.0085,4.499699
clkload63,VDD,Metal1,140.0200,620.5665,4.499621
clkload62,VDD,Metal1,343.1850,679.7530,4.499762
clkload61,VDD,Metal1,343.3000,599.1130,4.499708
clkload60,VDD,Metal1,404.3400,639.4330,4.499563
clkload59,VDD,Metal1,488.6465,560.2480,4.499686
clkload58,VDD,Metal1,500.6600,387.4330,4.499703
clkload57,VDD,Metal1,531.2920,488.1040,4.499534
clkload56,VDD,Metal1,590.9800,338.1650,4.499769
clkload55,VDD,Metal1,682.6600,357.1930,4.499775
clkload54,VDD,Metal1,735.4600,287.7650,4.499617
clkload53,VDD,Metal1,804.0650,236.2330,4.499836
clkload52,VDD,Metal1,903.6400,267.8435,4.499778
clkload51,VDD,Metal1,943.0600,358.4865,4.499690
clkload50,VDD,Metal1,1027.4520,417.5440,4.499705
clkload49,VDD,Metal1,824.7320,358.6160,4.499646
clkload48,VDD,Metal1,486.6600,165.6730,4.499941
clkload47,VDD,Metal1,668.4920,227.5760,4.499781
clkload46,VDD,Metal1,605.2650,267.7665,4.499700
clkload45,VDD,Metal1,609.6920,185.7040,4.499666
clkload44,VDD,Metal1,608.0120,74.8240,4.499678
clkload43,VDD,Metal1,675.5400,76.0850,4.499648
clkload42,VDD,Metal1,742.3600,56.1675,4.499627
clkload41,VDD,Metal1,760.2800,116.6475,4.499834
clkload40,VDD,Metal1,884.1450,195.9130,4.499487
clkload39,VDD,Metal1,862.3050,85.0330,4.499545
clkload38,VDD,Metal1,952.5800,74.9530,4.499594
clkload37,VDD,Metal1,1047.5600,96.4835,4.499563
clkload36,VDD,Metal1,1036.9200,185.7560,4.499261
clkload35,VDD,Metal1,1008.0200,237.5265,4.499744
clkload34,VDD,Metal1,363.8000,338.4035,4.499567
clkload33,VDD,Metal1,446.2250,338.3265,4.499560
clkload32,VDD,Metal1,54.1720,590.4560,4.499695
clkload31,VDD,Metal1,199.3800,590.3265,4.499590
clkload30,VDD,Metal1,443.3720,489.6560,4.499650
clkload29,VDD,Metal1,382.3850,528.5530,4.499699
clkload28,VDD,Metal1,317.1400,519.6050,4.499738
clkload27,VDD,Metal1,312.5000,427.7530,4.499576
clkload26,VDD,Metal1,278.5000,358.3250,4.499801
clkload25,VDD,Metal1,186.9450,427.7530,4.499540
clkload24,VDD,Metal1,251.2400,489.6035,4.499558
clkload23,VDD,Metal1,198.8200,509.6865,4.499824
clkload22,VDD,Metal1,32.8065,427.5915,4.499625
clkload21,VDD,Metal1,137.0000,357.1160,4.499744
clkload20,VDD,Metal1,199.1600,328.3235,4.499670
clkload19,VDD,Metal1,60.8920,64.7440,4.499828
clkload18,VDD,Metal1,127.5850,96.4065,4.499695
clkload17,VDD,Metal1,207.6120,64.7440,4.499802
clkload16,VDD,Metal1,220.5450,116.5665,4.499721
clkload15,VDD,Metal1,226.7050,205.9930,4.499631
clkload14,VDD,Metal1,291.2200,226.1530,4.499698
clkload13,VDD,Metal1,347.6120,145.3840,4.499741
clkload12,VDD,Metal1,312.2800,76.3235,4.499616
clkload11,VDD,Metal1,377.0600,75.1150,4.499595
clkload10,VDD,Metal1,453.9600,54.7160,4.499693
clkload9,VDD,Metal1,361.9400,267.6050,4.499787
clkload8,VDD,Metal1,190.0200,267.6050,4.499742
clkload7,VDD,Metal1,121.1400,217.2050,4.499825
clkload6,VDD,Metal1,48.3400,247.4450,4.499742
clkload5,VDD,Metal1,61.0600,175.7530,4.499883
clkload4,VDD,Metal1,41.6200,126.4850,4.499725
clkload3,VDD,Metal1,1032.9330,711.5290,4.499735
clkload2,VDD,Metal1,294.2930,681.2890,4.499736
clkload1,VDD,Metal1,767.5000,338.5530,4.499823
clkload0,VDD,Metal1,253.5200,437.6515,4.499723
clkbuf_3_7__f_clk_regs,VDD,Metal1,1035.2710,721.6090,4.499408
clkbuf_3_6__f_clk_regs,VDD,Metal1,873.9910,578.7105,4.499450
clkbuf_3_5__f_clk_regs,VDD,Metal1,296.6310,691.3690,4.499363
clkbuf_3_4__f_clk_regs,VDD,Metal1,403.5910,608.9505,4.499093
clkbuf_3_3__f_clk_regs,VDD,Metal1,772.0710,328.4890,4.499436
clkbuf_3_2__f_clk_regs,VDD,Metal1,736.7910,197.4490,4.499308
clkbuf_3_1__f_clk_regs,VDD,Metal1,261.9110,419.2090,4.499294
clkbuf_3_0__f_clk_regs,VDD,Metal1,259.6710,197.4490,4.499123
clkbuf_2_3_0_clk_regs,VDD,Metal1,910.9600,689.6515,4.499706
clkbuf_2_2_0_clk_regs,VDD,Metal1,436.6400,701.3880,4.499427
clkbuf_2_1_0_clk_regs,VDD,Metal1,669.6000,276.3715,4.499685
clkbuf_2_0_0_clk_regs,VDD,Metal1,297.2000,308.2680,4.499722
clkbuf_0_clk_regs,VDD,Metal1,551.4310,568.6305,4.499383
clkbuf_leaf_96_clk_regs,VDD,Metal1,57.5200,54.6115,4.499652
clkbuf_leaf_95_clk_regs,VDD,Metal1,135.9200,94.9315,4.499695
clkbuf_leaf_94_clk_regs,VDD,Metal1,211.5200,56.2680,4.499630
clkbuf_leaf_93_clk_regs,VDD,Metal1,232.8000,115.0915,4.499711
clkbuf_leaf_92_clk_regs,VDD,Metal1,236.7200,205.8115,4.499630
clkbuf_leaf_91_clk_regs,VDD,Metal1,309.5200,225.9715,4.499697
clkbuf_leaf_90_clk_regs,VDD,Metal1,350.9600,146.9880,4.499741
clkbuf_leaf_89_clk_regs,VDD,Metal1,312.8800,74.7715,4.499616
clkbuf_leaf_88_clk_regs,VDD,Metal1,387.9200,74.7715,4.499586
clkbuf_leaf_87_clk_regs,VDD,Metal1,466.3200,54.6115,4.499705
clkbuf_leaf_86_clk_regs,VDD,Metal1,488.7200,155.4115,4.499796
clkbuf_leaf_85_clk_regs,VDD,Metal1,446.7200,237.7080,4.499709
