Instance,Terminal,Layer,X location,Y location,Voltage
load_slew274,VSS,Metal1,604.7480,151.8660,0.000209
load_slew273,VSS,Metal1,712.5600,625.5575,0.000833
load_slew272,VSS,Metal1,389.6000,674.5840,0.000287
load_slew271,VSS,Metal1,909.8400,81.4160,0.000513
wire270,VSS,Metal1,158.7800,494.4750,0.000285
load_slew269,VSS,Metal1,223.8115,493.0070,0.000291
wire268,VSS,Metal1,241.1715,424.2725,0.000859
wire267,VSS,Metal1,977.1930,926.7590,0.000072
load_slew266,VSS,Metal1,208.2680,1087.9740,0.000387
wire265,VSS,Metal1,184.6115,1087.7270,0.000386
wire264,VSS,Metal1,299.9715,644.2070,0.000328
wire263,VSS,Metal1,204.3175,494.7240,0.000291
load_slew262,VSS,Metal1,552.5600,524.9360,0.000336
wire261,VSS,Metal1,562.7480,262.7460,0.000187
wire260,VSS,Metal1,668.5880,130.3740,0.000200
wire259,VSS,Metal1,568.3480,161.9460,0.000108
load_slew258,VSS,Metal1,1052.7150,533.4895,0.000376
load_slew257,VSS,Metal1,1006.7200,976.9840,0.000098
load_slew256,VSS,Metal1,465.3080,493.2540,0.000257
load_slew255,VSS,Metal1,410.3950,575.3100,0.000184
wire254,VSS,Metal1,278.7200,704.8240,0.000051
wire253,VSS,Metal1,269.0400,684.8425,0.000319
load_slew252,VSS,Metal1,384.5600,353.5760,0.000167
load_slew251,VSS,Metal1,410.8800,353.5760,0.000201
load_slew250,VSS,Metal1,509.9000,725.2050,0.000039
load_slew249,VSS,Metal1,139.2800,373.7360,0.000196
load_slew248,VSS,Metal1,237.2800,483.0640,0.000305
wire247,VSS,Metal1,981.5950,867.6300,0.000274
load_slew246,VSS,Metal1,255.8680,474.4260,0.000160
wire245,VSS,Metal1,52.8800,402.6025,0.000281
load_slew244,VSS,Metal1,1031.2600,705.0450,0.000069
clone243,VSS,Metal1,921.4000,262.5400,0.000177
clone242,VSS,Metal1,975.9965,504.4600,0.000516
split,VSS,Metal1,579.2800,675.9575,0.000562
clone240,VSS,Metal1,799.0930,595.3665,0.000340
clone239,VSS,Metal1,889.1800,483.3550,0.000213
clone238,VSS,Metal1,737.4200,594.2260,0.000365
clone237,VSS,Metal1,1017.5335,896.5730,0.000090
clone236,VSS,Metal1,870.8135,494.4665,0.000503
clone235,VSS,Metal1,719.0130,523.5130,0.000502
load_slew234,VSS,Metal1,1028.0750,886.2895,0.000080
load_slew233,VSS,Metal1,644.4000,686.2160,0.000253
