Instance,Terminal,Layer,X location,Y location,Voltage
_09058_,VDD,Metal1,43.3000,227.2850,4.992815
_09059_,VDD,Metal1,70.7400,427.9150,4.996279
_09060_,VDD,Metal1,141.8600,538.7950,4.997806
_09061_,VDD,Metal1,24.8200,388.5650,4.995255
_09062_,VDD,Metal1,93.1400,458.1550,4.997288
_09063_,VDD,Metal1,269.5400,509.5250,4.998620
_09064_,VDD,Metal1,86.9800,478.3150,4.998266
_09065_,VDD,Metal1,88.1000,377.5150,4.994962
_09066_,VDD,Metal1,183.3000,348.2450,4.994548
_09067_,VDD,Metal1,382.3850,681.0465,4.996712
_09068_,VDD,Metal1,248.2600,650.6450,4.996637
_09069_,VDD,Metal1,116.6600,458.1550,4.997286
_09070_,VDD,Metal1,131.2200,589.1950,4.996895
_09071_,VDD,Metal1,118.3400,570.0050,4.997309
_09072_,VDD,Metal1,113.8600,558.9550,4.997428
_09073_,VDD,Metal1,372.5800,659.7550,4.996597
_09074_,VDD,Metal1,155.8600,579.1150,4.997167
_09075_,VDD,Metal1,127.8600,428.8850,4.996264
_09076_,VDD,Metal1,101.5400,328.0850,4.993996
_09077_,VDD,Metal1,44.4200,508.5550,4.998684
_09078_,VDD,Metal1,102.6600,528.7150,4.997969
_09079_,VDD,Metal1,357.4600,660.7250,4.996539
_09080_,VDD,Metal1,189.4600,458.1550,4.997333
_09081_,VDD,Metal1,156.9800,690.9650,4.996434
_09082_,VDD,Metal1,209.6200,659.7550,4.996463
_09083_,VDD,Metal1,204.0200,669.8350,4.996373
_09084_,VDD,Metal1,205.1400,680.8850,4.996323
_09085_,VDD,Metal1,185.5400,700.0750,4.996228
_09086_,VDD,Metal1,193.9400,690.9650,4.996455
_09087_,VDD,Metal1,38.2600,953.0450,4.995857
_09088_,VDD,Metal1,67.3800,570.0050,4.997323
_09089_,VDD,Metal1,74.1000,660.7250,4.996422
_09090_,VDD,Metal1,376.5000,659.7550,4.996597
_09091_,VDD,Metal1,160.3400,610.3250,4.996509
_09092_,VDD,Metal1,128.4200,337.1950,4.994320
_09093_,VDD,Metal1,440.3400,479.2850,4.998385
_09094_,VDD,Metal1,521.5400,659.7550,4.996936
_09095_,VDD,Metal1,546.7400,659.7550,4.996931
_09096_,VDD,Metal1,540.0200,689.9950,4.996836
_09097_,VDD,Metal1,250.5000,670.8050,4.996361
_09098_,VDD,Metal1,215.5050,408.8865,4.995878
_09099_,VDD,Metal1,224.7400,428.8850,4.996344
_09100_,VDD,Metal1,226.1450,427.7530,4.996344
_09101_,VDD,Metal1,251.3450,599.1130,4.996784
_09102_,VDD,Metal1,248.2600,529.6850,4.998038
_09103_,VDD,Metal1,220.2600,518.6350,4.998353
_09104_,VDD,Metal1,435.8600,499.4450,4.999110
_09105_,VDD,Metal1,981.8600,640.5650,4.996566
_09106_,VDD,Metal1,778.5800,690.9650,4.996711
_09107_,VDD,Metal1,1020.5000,902.6450,4.997885
_09108_,VDD,Metal1,1082.1000,921.8350,4.998305
_09109_,VDD,Metal1,995.8600,397.6750,4.995397
_09110_,VDD,Metal1,528.2600,306.9550,4.994615
_09111_,VDD,Metal1,508.6600,307.9250,4.994616
_09112_,VDD,Metal1,331.7000,86.1650,4.993235
_09113_,VDD,Metal1,526.5800,297.8450,4.994321
_09114_,VDD,Metal1,499.1400,306.9550,4.994616
_09115_,VDD,Metal1,539.4600,337.1950,4.995321
_09116_,VDD,Metal1,519.8600,317.0350,4.994778
_09117_,VDD,Metal1,561.3000,318.0050,4.994771
_09118_,VDD,Metal1,582.5800,347.2750,4.995648
_09119_,VDD,Metal1,616.7400,357.3550,4.995663
_09120_,VDD,Metal1,586.5000,348.2450,4.995649
_09121_,VDD,Metal1,611.1400,367.4350,4.995618
_09122_,VDD,Metal1,647.5400,368.4050,4.995588
_09123_,VDD,Metal1,643.0600,368.4050,4.995619
_09124_,VDD,Metal1,914.1000,407.7550,4.995777
_09125_,VDD,Metal1,921.3800,437.9950,4.996807
_09126_,VDD,Metal1,947.7000,458.1550,4.997490
_09127_,VDD,Metal1,945.4600,499.4450,4.999096
_09128_,VDD,Metal1,925.3000,519.6050,4.998349
_09129_,VDD,Metal1,951.6200,529.6850,4.998047
_09130_,VDD,Metal1,924.7400,558.9550,4.997476
_09131_,VDD,Metal1,957.2200,558.9550,4.997466
_09132_,VDD,Metal1,925.8600,589.1950,4.996996
_09133_,VDD,Metal1,920.2600,600.2450,4.996760
_09134_,VDD,Metal1,896.7400,619.4350,4.996825
_09135_,VDD,Metal1,925.8600,639.5950,4.996610
_09136_,VDD,Metal1,914.6600,640.5650,4.996616
_09137_,VDD,Metal1,876.0200,619.4350,4.996830
_09138_,VDD,Metal1,892.2600,649.6750,4.996635
_09139_,VDD,Metal1,339.5400,35.7650,4.993842
_09140_,VDD,Metal1,318.2600,45.8450,4.993613
_09141_,VDD,Metal1,335.6200,55.9250,4.993636
_09142_,VDD,Metal1,302.5800,45.8450,4.993495
_09143_,VDD,Metal1,363.6200,54.9550,4.993780
_09144_,VDD,Metal1,333.9400,34.7950,4.993621
_09145_,VDD,Metal1,361.9400,35.7650,4.994572
_09146_,VDD,Metal1,396.6600,45.8450,4.993905
_09147_,VDD,Metal1,434.7400,65.0350,4.994084
_09148_,VDD,Metal1,402.2600,35.7650,4.994671
_09149_,VDD,Metal1,426.3400,45.8450,4.994628
_09150_,VDD,Metal1,467.7800,54.9550,4.994472
_09151_,VDD,Metal1,471.1400,54.9550,4.994476
_09152_,VDD,Metal1,512.0200,55.9250,4.994516
_09153_,VDD,Metal1,551.2200,55.9250,4.994513
_09154_,VDD,Metal1,591.5400,86.1650,4.993831
_09155_,VDD,Metal1,564.6600,65.0350,4.994285
_09156_,VDD,Metal1,606.1000,55.9250,4.994519
_09157_,VDD,Metal1,625.1400,76.0850,4.994003
_09158_,VDD,Metal1,626.8200,55.9250,4.994523
_09159_,VDD,Metal1,656.5000,76.0850,4.993908
_09160_,VDD,Metal1,655.9400,54.9550,4.994450
_09161_,VDD,Metal1,690.6600,55.9250,4.994234
_09162_,VDD,Metal1,727.0600,76.0850,4.993744
_09163_,VDD,Metal1,751.7000,85.1950,4.993290
_09164_,VDD,Metal1,726.5000,54.9550,4.993993
_09165_,VDD,Metal1,739.9400,55.9250,4.993952
_09166_,VDD,Metal1,779.1400,76.0850,4.993575
_09167_,VDD,Metal1,799.3000,44.8750,4.993685
_09168_,VDD,Metal1,313.7800,126.4850,4.993045
_09169_,VDD,Metal1,327.2200,116.4050,4.993199
_09170_,VDD,Metal1,271.2200,135.5950,4.992917
_09171_,VDD,Metal1,279.6200,145.6750,4.993153
_09172_,VDD,Metal1,494.6600,125.5150,4.993516
_09173_,VDD,Metal1,518.1800,145.6750,4.993709
_09174_,VDD,Metal1,533.3000,217.2050,4.994090
_09175_,VDD,Metal1,524.3400,207.1250,4.994389
_09176_,VDD,Metal1,910.7400,227.2850,4.993089
_09177_,VDD,Metal1,916.9000,286.7950,4.993712
_09178_,VDD,Metal1,920.2600,287.7650,4.993701
_09179_,VDD,Metal1,929.7800,307.9250,4.993890
_09180_,VDD,Metal1,939.8600,317.0350,4.994062
_09181_,VDD,Metal1,928.6600,338.1650,4.994411
_09182_,VDD,Metal1,944.3400,387.5950,4.995328
_09183_,VDD,Metal1,905.7000,328.0850,4.994257
_09184_,VDD,Metal1,939.8600,348.2450,4.994768
_09185_,VDD,Metal1,947.7000,387.5950,4.995313
_09186_,VDD,Metal1,142.9800,66.0050,4.993013
_09187_,VDD,Metal1,153.6200,45.8450,4.993258
_09188_,VDD,Metal1,141.8600,75.1150,4.992893
_09189_,VDD,Metal1,154.1800,85.1950,4.992869
_09190_,VDD,Metal1,204.0200,85.1950,4.992948
_09191_,VDD,Metal1,220.2600,75.1150,4.993085
_09192_,VDD,Metal1,224.7400,85.1950,4.992992
_09193_,VDD,Metal1,494.1000,96.2450,4.993520
_09194_,VDD,Metal1,546.7400,96.2450,4.993723
_09195_,VDD,Metal1,818.3400,55.9250,4.993685
_09196_,VDD,Metal1,821.7000,55.9250,4.993662
_09197_,VDD,Metal1,864.8200,75.1150,4.993287
_09198_,VDD,Metal1,874.3400,86.1650,4.993079
_09199_,VDD,Metal1,890.0200,96.2450,4.993085
_09200_,VDD,Metal1,886.1000,105.3550,4.993072
_09201_,VDD,Metal1,906.2600,116.4050,4.993073
_09202_,VDD,Metal1,906.2600,136.5650,4.992900
_09203_,VDD,Metal1,1063.0600,328.0850,4.994054
_09204_,VDD,Metal1,1073.7000,489.3650,4.998650
_09205_,VDD,Metal1,1079.3000,518.6350,4.998252
_09206_,VDD,Metal1,1081.5400,508.5550,4.998615
_09207_,VDD,Metal1,1058.5800,549.8450,4.997276
_09208_,VDD,Metal1,1075.9400,549.8450,4.997274
_09209_,VDD,Metal1,1075.9400,589.1950,4.996877
_09210_,VDD,Metal1,1075.3800,599.2750,4.996537
_09211_,VDD,Metal1,1079.3000,619.4350,4.996743
_09212_,VDD,Metal1,1058.5800,306.9550,4.993765
_09213_,VDD,Metal1,1079.8600,368.4050,4.994556
_09214_,VDD,Metal1,1064.1800,397.6750,4.994958
_09215_,VDD,Metal1,1039.5400,427.9150,4.996411
_09216_,VDD,Metal1,1043.4600,448.0750,4.996996
_09217_,VDD,Metal1,986.3400,468.2350,4.997631
_09218_,VDD,Metal1,984.6600,489.3650,4.998685
_09219_,VDD,Metal1,1004.2600,538.7950,4.997738
_09220_,VDD,Metal1,996.9800,821.0350,4.996697
_09221_,VDD,Metal1,1017.1400,841.1950,4.997146
_09222_,VDD,Metal1,1008.7400,862.3250,4.997301
_09223_,VDD,Metal1,1009.3000,872.4050,4.997354
_09224_,VDD,Metal1,1048.5000,902.6450,4.997879
_09225_,VDD,Metal1,1063.0600,942.9650,4.998782
_09226_,VDD,Metal1,758.9800,659.7550,4.996766
_09227_,VDD,Metal1,738.2600,649.6750,4.996821
_09228_,VDD,Metal1,976.2600,649.6750,4.996493
_09229_,VDD,Metal1,980.7400,639.5950,4.996570
_09230_,VDD,Metal1,989.1400,891.5950,4.997688
_09231_,VDD,Metal1,977.9400,710.1550,4.996513
_09232_,VDD,Metal1,975.1400,740.3950,4.996509
_09233_,VDD,Metal1,984.6600,690.9650,4.996676
_09234_,VDD,Metal1,975.1400,760.5550,4.996616
_09235_,VDD,Metal1,975.1400,781.6850,4.996769
_09236_,VDD,Metal1,63.4600,437.9950,4.996549
_09237_,VDD,Metal1,254.9800,488.3950,4.998698
_09238_,VDD,Metal1,233.1400,468.2350,4.997608
_09239_,VDD,Metal1,154.1800,437.9950,4.996594
_09240_,VDD,Metal1,150.8200,437.9950,4.996577
_09241_,VDD,Metal1,154.1800,438.9650,4.996594
_09242_,VDD,Metal1,148.5800,468.2350,4.997695
_09243_,VDD,Metal1,141.8600,468.2350,4.997679
_09244_,VDD,Metal1,366.9800,670.8050,4.996678
_09245_,VDD,Metal1,205.1400,449.0450,4.997011
_09246_,VDD,Metal1,28.7400,327.1150,4.994012
_09247_,VDD,Metal1,32.1000,318.0050,4.993775
_09248_,VDD,Metal1,39.9400,408.7250,4.995732
_09249_,VDD,Metal1,36.5800,428.8850,4.996318
_09250_,VDD,Metal1,780.2600,1093.1950,4.997536
_09251_,VDD,Metal1,891.1400,1093.1950,4.997602
_09252_,VDD,Metal1,648.1000,1084.0850,4.997182
_09253_,VDD,Metal1,501.9400,1093.1950,4.997580
_09254_,VDD,Metal1,766.2600,1093.1950,4.997485
_09255_,VDD,Metal1,48.3400,338.1650,4.994302
_09256_,VDD,Metal1,999.2200,347.2750,4.994706
_09257_,VDD,Metal1,1002.0200,226.3150,4.992978
_09258_,VDD,Metal1,998.6600,237.3650,4.993140
_09259_,VDD,Metal1,999.5050,246.3130,4.993047
_09260_,VDD,Metal1,238.7900,489.3650,4.998685
_09261_,VDD,Metal1,264.3400,478.1530,4.998265
_09262_,VDD,Metal1,274.0200,489.3650,4.998704
_09263_,VDD,Metal1,264.7850,256.3930,4.993332
_09264_,VDD,Metal1,156.9800,600.2450,4.996727
_09265_,VDD,Metal1,503.6200,911.7550,4.999538
_09266_,VDD,Metal1,402.8200,1093.1950,4.997030
_09267_,VDD,Metal1,515.3800,972.2350,4.999685
_09268_,VDD,Metal1,61.7800,538.7950,4.997895
_09269_,VDD,Metal1,23.1400,539.7650,4.997958
