Instance,Terminal,Layer,X location,Y location,Voltage
_09058_,VSS,Metal1,43.3000,231.4060,0.007052
_09059_,VSS,Metal1,70.7400,423.7935,0.004005
_09060_,VSS,Metal1,141.8600,534.6735,0.001953
_09061_,VSS,Metal1,24.8200,392.6860,0.004835
_09062_,VSS,Metal1,93.1400,454.0335,0.003013
_09063_,VSS,Metal1,269.5400,513.6460,0.001464
_09064_,VSS,Metal1,86.9800,474.1935,0.002198
_09065_,VSS,Metal1,88.1000,373.3935,0.005334
_09066_,VSS,Metal1,183.3000,352.3660,0.005370
_09067_,VSS,Metal1,382.3565,684.7930,0.003159
_09068_,VSS,Metal1,248.2600,654.7660,0.003299
_09069_,VSS,Metal1,116.6600,454.0335,0.003013
_09070_,VSS,Metal1,131.2200,585.0735,0.002924
_09071_,VSS,Metal1,118.3400,574.1260,0.002753
_09072_,VSS,Metal1,113.8600,554.8335,0.002401
_09073_,VSS,Metal1,372.5800,655.6335,0.003095
_09074_,VSS,Metal1,155.8600,574.9935,0.002756
_09075_,VSS,Metal1,127.8600,433.0060,0.003709
_09076_,VSS,Metal1,101.5400,332.2060,0.005920
_09077_,VSS,Metal1,44.4200,504.4335,0.001113
_09078_,VSS,Metal1,102.6600,524.5935,0.001812
_09079_,VSS,Metal1,357.4600,664.8460,0.003321
_09080_,VSS,Metal1,189.4600,454.0335,0.002984
_09081_,VSS,Metal1,156.9800,695.0860,0.003713
_09082_,VSS,Metal1,209.6200,655.6335,0.003329
_09083_,VSS,Metal1,204.0200,665.7135,0.003439
_09084_,VSS,Metal1,205.1400,685.0060,0.003550
_09085_,VSS,Metal1,185.5400,695.9535,0.003707
_09086_,VSS,Metal1,193.9400,695.0860,0.003684
_09087_,VSS,Metal1,38.2600,957.1660,0.003830
_09088_,VSS,Metal1,67.3800,574.1260,0.002716
_09089_,VSS,Metal1,74.1000,664.8460,0.003549
_09090_,VSS,Metal1,376.5000,655.6335,0.003067
_09091_,VSS,Metal1,160.3400,614.4460,0.003365
_09092_,VSS,Metal1,128.4200,333.0735,0.005907
_09093_,VSS,Metal1,440.3400,483.4060,0.001590
_09094_,VSS,Metal1,521.5400,655.6335,0.002972
_09095_,VSS,Metal1,546.7400,655.6335,0.003006
_09096_,VSS,Metal1,540.0200,685.8735,0.003052
_09097_,VSS,Metal1,250.5000,674.9260,0.003544
_09098_,VSS,Metal1,215.4765,412.6330,0.004178
_09099_,VSS,Metal1,224.7400,433.0060,0.003566
_09100_,VSS,Metal1,226.1165,424.0065,0.003964
_09101_,VSS,Metal1,251.3165,595.3665,0.003105
_09102_,VSS,Metal1,248.2600,533.8060,0.001868
_09103_,VSS,Metal1,220.2600,514.5135,0.001494
