Instance,Terminal,Layer,X location,Y location,Voltage
hold1465,VDD,Metal1,16.5330,1052.8180,4.913258
hold1464,VDD,Metal1,31.6530,851.2180,4.908268
rebuffer1463,VDD,Metal1,123.5100,467.8710,4.865070
rebuffer1462,VDD,Metal1,312.7900,540.1285,4.878228
fanout1461,VDD,Metal1,68.1430,66.1580,4.827330
fanout1460,VDD,Metal1,547.5030,590.3180,4.890613
fanout1459,VDD,Metal1,1010.0630,851.1220,4.954141
fanout1458,VDD,Metal1,1019.5830,982.1620,4.962078
fanout1457,VDD,Metal1,1043.6630,973.3580,4.961427
fanout1456,VDD,Metal1,1067.7430,1053.9980,4.967418
fanout1455,VDD,Metal1,1040.3030,951.9220,4.960055
fanout1454,VDD,Metal1,1044.2230,820.8820,4.952646
fanout1453,VDD,Metal1,1063.2630,951.9220,4.960014
fanout1452,VDD,Metal1,1036.3830,912.8780,4.957392
fanout1451,VDD,Metal1,1048.1430,851.1220,4.954183
fanout1450,VDD,Metal1,1001.1030,911.6020,4.957387
fanout1449,VDD,Metal1,984.8630,822.1580,4.952549
fanout1448,VDD,Metal1,841.5030,578.9620,4.891173
fanout1447,VDD,Metal1,994.9430,560.0780,4.886365
fanout1446,VDD,Metal1,1057.1030,560.0780,4.886145
fanout1445,VDD,Metal1,989.3430,639.4420,4.910272
fanout1444,VDD,Metal1,994.9430,558.8020,4.886365
fanout1443,VDD,Metal1,863.9030,558.8020,4.886161
fanout1442,VDD,Metal1,913.7430,589.0420,4.894599
fanout1441,VDD,Metal1,919.9030,650.7980,4.912984
fanout1440,VDD,Metal1,901.9830,659.6020,4.917539
fanout1439,VDD,Metal1,852.1430,539.9180,4.881491
fanout1438,VDD,Metal1,862.2230,669.6820,4.921456
fanout1437,VDD,Metal1,821.9030,660.8780,4.916714
fanout1436,VDD,Metal1,564.1530,580.1780,4.888829
fanout1435,VDD,Metal1,693.6630,570.1580,4.887461
fanout1434,VDD,Metal1,691.9830,630.6380,4.902506
fanout1433,VDD,Metal1,696.4630,580.2380,4.889636
fanout1432,VDD,Metal1,567.6630,570.1580,4.886005
fanout1431,VDD,Metal1,612.4630,590.3180,4.891287
fanout1430,VDD,Metal1,649.4230,620.5580,4.899893
fanout1429,VDD,Metal1,567.1030,600.3980,4.893709
fanout1428,VDD,Metal1,572.1430,610.4780,4.896030
fanout1427,VDD,Metal1,815.1830,86.3180,4.827012
fanout1426,VDD,Metal1,939.5030,449.1980,4.863440
fanout1425,VDD,Metal1,1043.6630,489.5180,4.870942
fanout1424,VDD,Metal1,1048.1430,439.1180,4.861544
fanout1423,VDD,Metal1,1037.5030,437.8420,4.861546
fanout1422,VDD,Metal1,1006.1430,449.1980,4.863308
fanout1421,VDD,Metal1,973.6630,529.8380,4.879395
fanout1420,VDD,Metal1,955.7430,418.9580,4.858269
fanout1419,VDD,Metal1,974.2230,429.0380,4.859982
fanout1418,VDD,Metal1,980.9430,296.7220,4.841785
fanout1417,VDD,Metal1,1057.1030,358.4780,4.848887
fanout1416,VDD,Metal1,1030.2230,367.2820,4.849899
fanout1415,VDD,Metal1,1057.1030,277.8380,4.839593
fanout1414,VDD,Metal1,1053.1830,297.9980,4.841288
fanout1413,VDD,Metal1,998.3030,358.4780,4.849039
fanout1412,VDD,Metal1,959.1030,306.8020,4.842852
fanout1411,VDD,Metal1,970.8630,358.4780,4.849045
fanout1410,VDD,Metal1,881.8230,439.1180,4.861614
fanout1409,VDD,Metal1,909.8230,427.7620,4.859980
fanout1408,VDD,Metal1,826.9430,347.1220,4.848237
fanout1407,VDD,Metal1,926.6230,358.4780,4.849191
fanout1406,VDD,Metal1,888.5430,287.9180,4.840853
fanout1405,VDD,Metal1,823.0230,105.2020,4.828052
fanout1404,VDD,Metal1,1034.1430,166.9580,4.830493
fanout1403,VDD,Metal1,1034.1430,237.5180,4.835781
fanout1402,VDD,Metal1,1017.9030,197.1980,4.832343
fanout1401,VDD,Metal1,1030.2230,165.6820,4.830493
fanout1400,VDD,Metal1,975.3430,166.9580,4.830555
