Instance,Terminal,Layer,X location,Y location,Voltage
hold1465,VSS,Metal1,17.5925,1048.7825,0.196627
hold1464,VSS,Metal1,32.7125,847.1825,0.202713
rebuffer1463,VSS,Metal1,123.5850,464.5080,0.251612
rebuffer1462,VSS,Metal1,312.8650,543.4915,0.236622
fanout1461,VSS,Metal1,68.2230,70.0285,0.288397
fanout1460,VSS,Metal1,547.5830,594.1885,0.224110
fanout1459,VSS,Metal1,1010.1430,847.2515,0.143140
fanout1458,VSS,Metal1,1019.6630,978.2915,0.109975
fanout1457,VSS,Metal1,1043.7430,977.2285,0.109977
fanout1456,VSS,Metal1,1067.8230,1057.8685,0.090267
fanout1455,VSS,Metal1,1040.3830,948.0515,0.117370
fanout1454,VSS,Metal1,1044.3030,817.0115,0.150168
fanout1453,VSS,Metal1,1063.3430,948.0515,0.117402
fanout1452,VSS,Metal1,1036.4630,916.7485,0.125392
fanout1451,VSS,Metal1,1048.2230,847.2515,0.143116
fanout1450,VSS,Metal1,1001.1830,907.7315,0.128014
fanout1449,VSS,Metal1,984.9430,826.0285,0.148289
fanout1448,VSS,Metal1,841.5830,575.0915,0.225766
fanout1447,VSS,Metal1,995.0230,563.9485,0.228223
fanout1446,VSS,Metal1,1057.1830,563.9485,0.228348
fanout1445,VSS,Metal1,989.4230,635.5715,0.208287
fanout1444,VSS,Metal1,995.0230,554.9315,0.230731
fanout1443,VSS,Metal1,863.9830,554.9315,0.231019
fanout1442,VSS,Metal1,913.8230,585.1715,0.222821
fanout1441,VSS,Metal1,919.9830,654.6685,0.202752
fanout1440,VSS,Metal1,902.0630,655.7315,0.202855
fanout1439,VSS,Metal1,852.2230,543.7885,0.233352
fanout1438,VSS,Metal1,862.3030,665.8115,0.197714
fanout1437,VSS,Metal1,821.9830,664.7485,0.197737
fanout1436,VSS,Metal1,564.2200,584.0850,0.226575
fanout1435,VSS,Metal1,693.7430,574.0285,0.227730
fanout1434,VSS,Metal1,692.0630,634.5085,0.211073
fanout1433,VSS,Metal1,696.5430,584.1085,0.225987
fanout1432,VSS,Metal1,567.7430,574.0285,0.228728
fanout1431,VSS,Metal1,612.5430,594.1885,0.223260
fanout1430,VSS,Metal1,649.5030,624.4285,0.214275
fanout1429,VSS,Metal1,567.1830,604.2685,0.221412
fanout1428,VSS,Metal1,572.2230,614.3485,0.218927
fanout1427,VSS,Metal1,815.2630,90.1885,0.288412
fanout1426,VSS,Metal1,939.5830,453.0685,0.251526
fanout1425,VSS,Metal1,1043.7430,493.3885,0.243997
fanout1424,VSS,Metal1,1048.2230,442.9885,0.253429
fanout1423,VSS,Metal1,1037.5830,433.9715,0.255066
fanout1422,VSS,Metal1,1006.2230,453.0685,0.251703
fanout1421,VSS,Metal1,973.7430,533.7085,0.235419
fanout1420,VSS,Metal1,955.8230,422.8285,0.256660
fanout1419,VSS,Metal1,974.3030,432.9085,0.254967
fanout1418,VSS,Metal1,981.0230,292.8515,0.274470
fanout1417,VSS,Metal1,1057.1830,362.3485,0.266410
fanout1416,VSS,Metal1,1030.3030,363.4115,0.266327
fanout1415,VSS,Metal1,1057.1830,281.7085,0.275735
fanout1414,VSS,Metal1,1053.2630,301.8685,0.273522
fanout1413,VSS,Metal1,998.3830,362.3485,0.266295
fanout1412,VSS,Metal1,959.1830,302.9315,0.273415
fanout1411,VSS,Metal1,970.9430,362.3485,0.266277
fanout1410,VSS,Metal1,881.9030,442.9885,0.253397
fanout1409,VSS,Metal1,909.9030,423.8915,0.256693
fanout1408,VSS,Metal1,827.0230,343.2515,0.268353
fanout1407,VSS,Metal1,926.7030,362.3485,0.266105
fanout1406,VSS,Metal1,888.6230,291.7885,0.274510
fanout1405,VSS,Metal1,823.1030,101.3315,0.287972
fanout1404,VSS,Metal1,1034.2230,170.8285,0.285367
fanout1403,VSS,Metal1,1034.2230,241.3885,0.279671
fanout1402,VSS,Metal1,1017.9830,201.0685,0.283196
fanout1401,VSS,Metal1,1030.3030,161.8115,0.285743
fanout1400,VSS,Metal1,975.4230,170.8285,0.285293
fanout1399,VSS,Metal1,975.4230,262.6115,0.277816
fanout1398,VSS,Metal1,972.0630,160.7485,0.285571
fanout1397,VSS,Metal1,960.3030,120.4285,0.287383
fanout1396,VSS,Metal1,1035.9030,81.1715,0.289230
fanout1395,VSS,Metal1,1073.4230,49.8685,0.290265
fanout1394,VSS,Metal1,1043.1830,20.6915,0.289692
fanout1393,VSS,Metal1,1073.4230,39.7885,0.289795
fanout1392,VSS,Metal1,974.3030,49.8685,0.289864
fanout1391,VSS,Metal1,959.1830,91.2515,0.288608
fanout1390,VSS,Metal1,1017.4230,59.9485,0.289704
fanout1389,VSS,Metal1,959.7430,29.7085,0.289595
fanout1388,VSS,Metal1,933.4230,150.6685,0.285953
fanout1387,VSS,Metal1,946.8630,151.7315,0.285953
fanout1386,VSS,Metal1,911.5830,171.8915,0.284762
fanout1385,VSS,Metal1,880.7830,61.0115,0.289512
