signal	direction	route_def	streamout_def	gds_label	drawing_shapes_at_label	hierarchical_shapes_at_label	lvs_terminal
pad_clk	INPUT	YES	YES	YES	3	2	YES
pad_din[0]	INPUT	YES	YES	YES	3	2	YES
pad_din[1]	INPUT	YES	YES	YES	3	2	YES
pad_din[2]	INPUT	YES	YES	YES	3	2	YES
pad_din[3]	INPUT	YES	YES	YES	3	2	YES
pad_din[4]	INPUT	YES	YES	YES	3	2	YES
pad_din[5]	INPUT	YES	YES	YES	3	2	YES
pad_din[6]	INPUT	YES	YES	YES	3	2	YES
pad_din[7]	INPUT	YES	YES	YES	3	2	YES
pad_din_ready_o	INOUT	YES	YES	YES	3	2	YES
pad_din_valid_i	INPUT	YES	YES	YES	3	2	YES
pad_dout[0]	INOUT	YES	YES	YES	3	2	YES
pad_dout[1]	INOUT	YES	YES	YES	3	2	YES
pad_dout[2]	INOUT	YES	YES	YES	3	2	YES
pad_dout[3]	INOUT	YES	YES	YES	3	2	YES
pad_dout[4]	INOUT	YES	YES	YES	3	2	YES
pad_dout[5]	INOUT	YES	YES	YES	3	2	YES
pad_dout[6]	INOUT	YES	YES	YES	3	2	YES
pad_dout[7]	INOUT	YES	YES	YES	3	2	YES
pad_dout_valid_o	INOUT	YES	YES	YES	3	2	YES
pad_rst_n	INPUT	YES	YES	YES	3	2	YES
