OpenROAD 26Q2-254-g61932e897 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
openroad> read_db physical/results/padframe/route/floorplan.odb
openroad> connect_by_abutment
[ERROR PAD-0002] IO_CORNER_NORTH_WEST_INST/DVDD (VDD) and IO_FILL_N_0355/DVSS (VSS) are touching, but are connected to different nets
PAD-0002
while evaluating connect_by_abutment
openroad> check_power_grid -net VDD -error_file physical/results/padframe/pdn_trials/oriented_abutment/vdd_errors.rpt
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 503.550um) - (376.565um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 502.360um) - (376.795um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 577.960um) - (376.795um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 579.150um) - (376.565um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 654.750um) - (376.565um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 653.560um) - (376.795um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 729.160um) - (376.795um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 730.350um) - (376.565um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 804.760um) - (376.795um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 805.950um) - (376.565um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 881.550um) - (376.565um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 880.360um) - (376.795um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 955.960um) - (376.795um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 957.150um) - (376.565um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 1031.560um) - (376.795um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 1032.750um) - (376.565um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 1108.350um) - (376.565um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.565um, 1107.160um) - (376.795um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 503.550um) - (378.560um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 579.150um) - (378.560um, 580.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 654.750um) - (378.560um, 655.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 730.350um) - (378.560um, 731.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 805.950um) - (378.560um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 881.550um) - (378.560um, 882.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 957.150um) - (378.560um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 1032.750um) - (378.560um, 1033.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (376.795um, 1108.350um) - (378.560um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.400um, 503.550um) - (400.645um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 502.510um) - (400.875um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (400.645um, 578.110um) - (400.875um, 580.050um), layer: Metal1.
