Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_211_1924,VDD,Metal1,1084.4400,1083.6000,4.499835
FILLER_211_1922,VDD,Metal1,1083.6000,1083.6000,4.499835
FILLER_0_2,VDD,Metal1,17.4755,24.3375,4.499970
FILLER_0_36,VDD,Metal1,36.5155,24.3375,4.499970
FILLER_0_70,VDD,Metal1,55.5555,24.3375,4.499966
FILLER_0_104,VDD,Metal1,74.5955,24.3375,4.499966
FILLER_0_138,VDD,Metal1,93.6355,24.3375,4.499948
FILLER_0_172,VDD,Metal1,112.6755,24.3375,4.499948
FILLER_0_206,VDD,Metal1,122.6400,25.2000,4.499946
FILLER_0_213,VDD,Metal1,131.0880,24.4240,4.499945
FILLER_0_229,VDD,Metal1,137.7065,24.5530,4.499945
FILLER_0_237,VDD,Metal1,139.7200,25.2000,4.499945
FILLER_0_240,VDD,Metal1,141.6800,25.2000,4.499945
FILLER_0_242,VDD,Metal1,142.5200,25.2000,4.499945
FILLER_0_256,VDD,Metal1,155.1680,24.4240,4.499944
FILLER_0_274,VDD,Metal1,169.7955,24.3375,4.499944
FILLER_0_308,VDD,Metal1,188.8355,24.3375,4.499945
FILLER_0_342,VDD,Metal1,207.8755,24.3375,4.499927
FILLER_0_376,VDD,Metal1,220.0265,24.5530,4.499920
FILLER_0_384,VDD,Metal1,223.2600,24.7150,4.499920
FILLER_0_388,VDD,Metal1,224.2800,25.2000,4.499920
FILLER_0_402,VDD,Metal1,233.3400,24.7150,4.499920
FILLER_0_406,VDD,Metal1,234.6400,25.2000,4.499920
FILLER_0_410,VDD,Metal1,241.4080,24.4240,4.499920
FILLER_0_426,VDD,Metal1,245.8400,25.2000,4.499920
FILLER_0_434,VDD,Metal1,252.5065,24.5530,4.499920
FILLER_0_444,VDD,Metal1,258.1065,24.5530,4.499920
FILLER_0_452,VDD,Metal1,261.3400,24.7150,4.499920
FILLER_0_456,VDD,Metal1,262.6400,25.2000,4.499920
FILLER_0_471,VDD,Metal1,271.9800,24.7150,4.499921
FILLER_0_475,VDD,Metal1,273.0000,25.2000,4.499921
FILLER_0_478,VDD,Metal1,284.0355,24.3375,4.499921
FILLER_0_512,VDD,Metal1,303.0755,24.3375,4.499921
FILLER_0_546,VDD,Metal1,315.2265,24.5530,4.499921
FILLER_0_559,VDD,Metal1,324.8480,24.4240,4.499923
FILLER_0_575,VDD,Metal1,329.2800,25.2000,4.499924
FILLER_0_577,VDD,Metal1,330.1200,25.2000,4.499924
FILLER_0_580,VDD,Metal1,336.6080,24.4240,4.499922
FILLER_0_596,VDD,Metal1,340.7600,25.2000,4.499922
FILLER_0_610,VDD,Metal1,348.8800,25.2000,4.499921
FILLER_0_614,VDD,Metal1,360.1955,24.3375,4.499921
FILLER_0_648,VDD,Metal1,379.2355,24.3375,4.499921
FILLER_0_682,VDD,Metal1,398.2755,24.3375,4.499921
FILLER_0_716,VDD,Metal1,408.2400,25.2000,4.499921
FILLER_0_731,VDD,Metal1,421.1680,24.4240,4.499921
FILLER_0_747,VDD,Metal1,425.3200,25.2000,4.499921
FILLER_0_750,VDD,Metal1,436.3555,24.3375,4.499921
FILLER_0_784,VDD,Metal1,448.5065,24.5530,4.499923
FILLER_0_792,VDD,Metal1,451.7400,24.7150,4.499923
FILLER_0_796,VDD,Metal1,453.0400,25.2000,4.499923
FILLER_0_811,VDD,Metal1,462.3800,24.7150,4.499923
FILLER_0_815,VDD,Metal1,463.4000,25.2000,4.499923
FILLER_0_818,VDD,Metal1,466.3000,24.7150,4.499923
FILLER_0_822,VDD,Metal1,467.6000,25.2000,4.499923
FILLER_0_837,VDD,Metal1,478.1865,24.5530,4.499926
FILLER_0_845,VDD,Metal1,481.4200,24.7150,4.499927
FILLER_0_849,VDD,Metal1,482.4400,25.2000,4.499927
FILLER_0_852,VDD,Metal1,493.4755,24.3375,4.499928
FILLER_0_886,VDD,Metal1,503.4400,25.2000,4.499928
FILLER_0_900,VDD,Metal1,515.8080,24.4240,4.499928
FILLER_0_916,VDD,Metal1,520.2400,25.2000,4.499928
FILLER_0_920,VDD,Metal1,527.0080,24.4240,4.499928
FILLER_0_936,VDD,Metal1,533.6265,24.5530,4.499928
FILLER_0_944,VDD,Metal1,535.6400,25.2000,4.499928
FILLER_0_950,VDD,Metal1,539.2800,25.2000,4.499928
FILLER_0_954,VDD,Metal1,550.5955,24.3375,4.499928
FILLER_0_988,VDD,Metal1,562.7465,24.5530,4.499928
FILLER_0_996,VDD,Metal1,565.0400,25.2000,4.499928
FILLER_0_1004,VDD,Metal1,569.5200,25.2000,4.499928
FILLER_0_1014,VDD,Metal1,576.0600,24.7150,4.499928
FILLER_0_1018,VDD,Metal1,577.3600,25.2000,4.499928
FILLER_0_1022,VDD,Metal1,588.6755,24.3375,4.499928
FILLER_0_1056,VDD,Metal1,600.8265,24.5530,4.499928
FILLER_0_1071,VDD,Metal1,611.5680,24.4240,4.499928
FILLER_0_1087,VDD,Metal1,615.7200,25.2000,4.499928
FILLER_0_1090,VDD,Metal1,626.7555,24.3375,4.499928
FILLER_0_1124,VDD,Metal1,645.7955,24.3375,4.499927
FILLER_0_1158,VDD,Metal1,664.8355,24.3375,4.499927
FILLER_0_1192,VDD,Metal1,675.7400,24.7150,4.499926
FILLER_0_1196,VDD,Metal1,677.0400,25.2000,4.499926
FILLER_0_1198,VDD,Metal1,677.8800,25.2000,4.499926
FILLER_0_1212,VDD,Metal1,688.1865,24.5530,4.499926
FILLER_0_1220,VDD,Metal1,691.4200,24.7150,4.499926
FILLER_0_1226,VDD,Metal1,702.9155,24.3375,4.499917
FILLER_0_1260,VDD,Metal1,715.0665,24.5530,4.499915
FILLER_0_1268,VDD,Metal1,718.3000,24.7150,4.499915
FILLER_0_1272,VDD,Metal1,719.6000,25.2000,4.499915
FILLER_0_1274,VDD,Metal1,720.4400,25.2000,4.499915
FILLER_0_1288,VDD,Metal1,729.5000,24.7150,4.499914
FILLER_0_1294,VDD,Metal1,732.8600,24.7150,4.499914
FILLER_0_1311,VDD,Metal1,743.6265,24.5530,4.499914
FILLER_0_1319,VDD,Metal1,746.8600,24.7150,4.499914
FILLER_0_1323,VDD,Metal1,748.1600,25.2000,4.499914
FILLER_0_1325,VDD,Metal1,749.0000,25.2000,4.499914
FILLER_0_1328,VDD,Metal1,753.1465,24.5530,4.499920
FILLER_0_1336,VDD,Metal1,755.1600,25.2000,4.499920
FILLER_0_1350,VDD,Metal1,765.4665,24.5530,4.499921
FILLER_0_1358,VDD,Metal1,767.7600,25.2000,4.499921
FILLER_0_1362,VDD,Metal1,772.1865,24.5530,4.499921
FILLER_0_1370,VDD,Metal1,775.4200,24.7150,4.499921
FILLER_0_1374,VDD,Metal1,776.4400,25.2000,4.499921
FILLER_0_1388,VDD,Metal1,785.5000,24.7150,4.499922
FILLER_0_1392,VDD,Metal1,786.8000,25.2000,4.499922
FILLER_0_1396,VDD,Metal1,791.2265,24.5530,4.499922
FILLER_0_1404,VDD,Metal1,794.4600,24.7150,4.499921
FILLER_0_1408,VDD,Metal1,795.7600,25.2000,4.499921
FILLER_0_1410,VDD,Metal1,796.6000,25.2000,4.499921
FILLER_0_1424,VDD,Metal1,805.6600,24.7150,4.499895
FILLER_0_1430,VDD,Metal1,808.0800,25.2000,4.499895
FILLER_0_1445,VDD,Metal1,821.0080,24.4240,4.499885
FILLER_0_1461,VDD,Metal1,825.1600,25.2000,4.499885
FILLER_0_1464,VDD,Metal1,836.1955,24.3375,4.499884
FILLER_0_1498,VDD,Metal1,848.3465,24.5530,4.499884
FILLER_0_1506,VDD,Metal1,851.5800,24.7150,4.499884
