Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_211_1924,VSS,Metal1,1084.4400,1088.6400,0.000012
FILLER_211_1922,VSS,Metal1,1083.6000,1088.6400,0.000012
FILLER_0_2,VSS,Metal1,16.1240,21.0220,0.000000
FILLER_0_36,VSS,Metal1,35.1640,21.0220,0.000000
FILLER_0_70,VSS,Metal1,54.2040,21.0220,0.000000
FILLER_0_104,VSS,Metal1,73.2440,21.0220,0.000000
FILLER_0_138,VSS,Metal1,92.2840,21.0220,0.000000
FILLER_0_172,VSS,Metal1,111.3240,21.0220,0.000000
FILLER_0_206,VSS,Metal1,122.6400,20.1600,0.000000
FILLER_0_213,VSS,Metal1,129.8720,20.9360,0.000000
FILLER_0_229,VSS,Metal1,136.6930,20.8065,0.000000
FILLER_0_237,VSS,Metal1,139.7200,20.1600,0.000000
FILLER_0_240,VSS,Metal1,141.6800,20.1600,0.000000
FILLER_0_242,VSS,Metal1,142.5200,20.1600,0.000000
FILLER_0_256,VSS,Metal1,153.9520,20.9360,0.000000
FILLER_0_274,VSS,Metal1,168.4440,21.0220,0.000000
FILLER_0_308,VSS,Metal1,187.4840,21.0220,0.000000
FILLER_0_342,VSS,Metal1,206.5240,21.0220,0.000000
FILLER_0_376,VSS,Metal1,219.0130,20.8065,0.000000
FILLER_0_384,VSS,Metal1,222.5000,20.6450,0.000000
FILLER_0_388,VSS,Metal1,224.2800,20.1600,0.000000
FILLER_0_402,VSS,Metal1,232.5800,20.6450,0.000000
FILLER_0_406,VSS,Metal1,234.6400,20.1600,0.000000
FILLER_0_410,VSS,Metal1,240.1920,20.9360,0.000000
FILLER_0_426,VSS,Metal1,245.8400,20.1600,0.000000
FILLER_0_434,VSS,Metal1,251.4930,20.8065,0.000001
FILLER_0_444,VSS,Metal1,257.0930,20.8065,0.000001
FILLER_0_452,VSS,Metal1,260.5800,20.6450,0.000001
FILLER_0_456,VSS,Metal1,262.6400,20.1600,0.000001
FILLER_0_471,VSS,Metal1,271.2200,20.6450,0.000001
FILLER_0_475,VSS,Metal1,273.0000,20.1600,0.000001
FILLER_0_478,VSS,Metal1,282.6840,21.0220,0.000001
FILLER_0_512,VSS,Metal1,301.7240,21.0220,0.000001
FILLER_0_546,VSS,Metal1,314.2130,20.8065,0.000001
FILLER_0_559,VSS,Metal1,323.6320,20.9360,0.000001
FILLER_0_575,VSS,Metal1,329.2800,20.1600,0.000001
FILLER_0_577,VSS,Metal1,330.1200,20.1600,0.000001
FILLER_0_580,VSS,Metal1,335.3920,20.9360,0.000001
FILLER_0_596,VSS,Metal1,340.7600,20.1600,0.000001
FILLER_0_610,VSS,Metal1,348.8800,20.1600,0.000001
FILLER_0_614,VSS,Metal1,358.8440,21.0220,0.000001
FILLER_0_648,VSS,Metal1,377.8840,21.0220,0.000001
FILLER_0_682,VSS,Metal1,396.9240,21.0220,0.000001
FILLER_0_716,VSS,Metal1,408.2400,20.1600,0.000001
FILLER_0_731,VSS,Metal1,419.9520,20.9360,0.000001
FILLER_0_747,VSS,Metal1,425.3200,20.1600,0.000001
FILLER_0_750,VSS,Metal1,435.0040,21.0220,0.000001
FILLER_0_784,VSS,Metal1,447.4930,20.8065,0.000002
FILLER_0_792,VSS,Metal1,450.9800,20.6450,0.000002
FILLER_0_796,VSS,Metal1,453.0400,20.1600,0.000002
FILLER_0_811,VSS,Metal1,461.6200,20.6450,0.000002
FILLER_0_815,VSS,Metal1,463.4000,20.1600,0.000002
FILLER_0_818,VSS,Metal1,465.5400,20.6450,0.000002
FILLER_0_822,VSS,Metal1,467.6000,20.1600,0.000002
FILLER_0_837,VSS,Metal1,477.1730,20.8065,0.000002
FILLER_0_845,VSS,Metal1,480.6600,20.6450,0.000002
FILLER_0_849,VSS,Metal1,482.4400,20.1600,0.000002
FILLER_0_852,VSS,Metal1,492.1240,21.0220,0.000002
FILLER_0_886,VSS,Metal1,503.4400,20.1600,0.000002
FILLER_0_900,VSS,Metal1,514.5920,20.9360,0.000003
FILLER_0_916,VSS,Metal1,520.2400,20.1600,0.000003
FILLER_0_920,VSS,Metal1,525.7920,20.9360,0.000003
FILLER_0_936,VSS,Metal1,532.6130,20.8065,0.000003
FILLER_0_944,VSS,Metal1,535.6400,20.1600,0.000003
FILLER_0_950,VSS,Metal1,539.2800,20.1600,0.000004
FILLER_0_954,VSS,Metal1,549.2440,21.0220,0.000004
FILLER_0_988,VSS,Metal1,561.7330,20.8065,0.000004
FILLER_0_996,VSS,Metal1,565.0400,20.1600,0.000004
FILLER_0_1004,VSS,Metal1,569.5200,20.1600,0.000004
FILLER_0_1014,VSS,Metal1,575.3000,20.6450,0.000005
FILLER_0_1018,VSS,Metal1,577.3600,20.1600,0.000005
FILLER_0_1022,VSS,Metal1,587.3240,21.0220,0.000005
FILLER_0_1056,VSS,Metal1,599.8130,20.8065,0.000005
FILLER_0_1071,VSS,Metal1,610.3520,20.9360,0.000006
FILLER_0_1087,VSS,Metal1,615.7200,20.1600,0.000006
FILLER_0_1090,VSS,Metal1,625.4040,21.0220,0.000006
FILLER_0_1124,VSS,Metal1,644.4440,21.0220,0.000006
FILLER_0_1158,VSS,Metal1,663.4840,21.0220,0.000007
FILLER_0_1192,VSS,Metal1,674.9800,20.6450,0.000007
FILLER_0_1196,VSS,Metal1,677.0400,20.1600,0.000007
FILLER_0_1198,VSS,Metal1,677.8800,20.1600,0.000008
FILLER_0_1212,VSS,Metal1,687.1730,20.8065,0.000009
FILLER_0_1220,VSS,Metal1,690.6600,20.6450,0.000009
FILLER_0_1226,VSS,Metal1,701.5640,21.0220,0.000010
FILLER_0_1260,VSS,Metal1,714.0530,20.8065,0.000010
FILLER_0_1268,VSS,Metal1,717.5400,20.6450,0.000011
FILLER_0_1272,VSS,Metal1,719.6000,20.1600,0.000011
FILLER_0_1274,VSS,Metal1,720.4400,20.1600,0.000012
FILLER_0_1288,VSS,Metal1,728.7400,20.6450,0.000012
FILLER_0_1294,VSS,Metal1,732.1000,20.6450,0.000012
FILLER_0_1311,VSS,Metal1,742.6130,20.8065,0.000013
FILLER_0_1319,VSS,Metal1,746.1000,20.6450,0.000013
FILLER_0_1323,VSS,Metal1,748.1600,20.1600,0.000013
FILLER_0_1325,VSS,Metal1,749.0000,20.1600,0.000013
FILLER_0_1328,VSS,Metal1,752.1330,20.8065,0.000013
FILLER_0_1336,VSS,Metal1,755.1600,20.1600,0.000013
FILLER_0_1350,VSS,Metal1,764.4530,20.8065,0.000013
FILLER_0_1358,VSS,Metal1,767.7600,20.1600,0.000013
FILLER_0_1362,VSS,Metal1,771.1730,20.8065,0.000013
FILLER_0_1370,VSS,Metal1,774.6600,20.6450,0.000013
FILLER_0_1374,VSS,Metal1,776.4400,20.1600,0.000013
FILLER_0_1388,VSS,Metal1,784.7400,20.6450,0.000012
FILLER_0_1392,VSS,Metal1,786.8000,20.1600,0.000012
FILLER_0_1396,VSS,Metal1,790.2130,20.8065,0.000012
FILLER_0_1404,VSS,Metal1,793.7000,20.6450,0.000011
FILLER_0_1408,VSS,Metal1,795.7600,20.1600,0.000011
FILLER_0_1410,VSS,Metal1,796.6000,20.1600,0.000012
FILLER_0_1424,VSS,Metal1,804.9000,20.6450,0.000012
FILLER_0_1430,VSS,Metal1,808.0800,20.1600,0.000012
FILLER_0_1445,VSS,Metal1,819.7920,20.9360,0.000012
FILLER_0_1461,VSS,Metal1,825.1600,20.1600,0.000012
FILLER_0_1464,VSS,Metal1,834.8440,21.0220,0.000012
FILLER_0_1498,VSS,Metal1,847.3330,20.8065,0.000013
FILLER_0_1506,VSS,Metal1,850.8200,20.6450,0.000013
FILLER_0_1510,VSS,Metal1,852.8800,20.1600,0.000013
FILLER_0_1512,VSS,Metal1,853.7200,20.1600,0.000013
FILLER_0_1526,VSS,Metal1,862.0200,20.6450,0.000013
FILLER_0_1532,VSS,Metal1,865.2000,20.1600,0.000013
FILLER_0_1547,VSS,Metal1,876.9120,20.9360,0.000013
FILLER_0_1563,VSS,Metal1,882.2800,20.1600,0.000013
FILLER_0_1566,VSS,Metal1,887.5520,20.9360,0.000013
FILLER_0_1582,VSS,Metal1,892.9200,20.1600,0.000013
FILLER_0_1596,VSS,Metal1,901.0400,20.1600,0.000013
FILLER_0_1600,VSS,Metal1,903.2800,20.1600,0.000012
FILLER_0_1615,VSS,Metal1,914.9920,20.9360,0.000012
FILLER_0_1631,VSS,Metal1,920.3600,20.1600,0.000012
FILLER_0_1634,VSS,Metal1,925.6320,20.9360,0.000011
FILLER_0_1663,VSS,Metal1,938.5600,20.1600,0.000010
FILLER_0_1665,VSS,Metal1,939.4000,20.1600,0.000009
FILLER_0_1668,VSS,Metal1,949.0840,21.0220,0.000009
FILLER_0_1702,VSS,Metal1,968.1240,21.0220,0.000009
FILLER_0_1736,VSS,Metal1,987.1640,21.0220,0.000009
FILLER_0_1770,VSS,Metal1,1006.2040,21.0220,0.000009
FILLER_0_1804,VSS,Metal1,1025.2440,21.0220,0.000009
FILLER_0_1838,VSS,Metal1,1044.2840,21.0220,0.000009
FILLER_0_1872,VSS,Metal1,1063.3240,21.0220,0.000009
FILLER_0_1906,VSS,Metal1,1077.9520,20.9360,0.000009
FILLER_0_1922,VSS,Metal1,1083.6000,20.1600,0.000009
FILLER_0_1924,VSS,Metal1,1084.4400,20.1600,0.000009
FILLER_1_2,VSS,Metal1,25.0445,29.3270,0.000098
FILLER_1_66,VSS,Metal1,44.4200,29.7550,0.000098
FILLER_1_72,VSS,Metal1,64.2445,29.3270,0.000099
FILLER_1_136,VSS,Metal1,83.6200,29.7550,0.000100
FILLER_1_142,VSS,Metal1,90.1120,29.4640,0.000103
FILLER_1_158,VSS,Metal1,95.4800,30.2400,0.000104
FILLER_1_191,VSS,Metal1,115.4130,29.5930,0.000112
FILLER_1_199,VSS,Metal1,118.4400,30.2400,0.000112
FILLER_1_208,VSS,Metal1,123.7600,30.2400,0.000113
FILLER_1_212,VSS,Metal1,126.0000,30.2400,0.000118
FILLER_1_227,VSS,Metal1,134.5800,29.7550,0.000120
FILLER_1_231,VSS,Metal1,136.3600,30.2400,0.000120
FILLER_1_244,VSS,Metal1,143.9200,30.2400,0.000120
FILLER_1_278,VSS,Metal1,162.9600,30.2400,0.000123
FILLER_1_282,VSS,Metal1,166.3730,29.5930,0.000123
FILLER_1_290,VSS,Metal1,169.8600,29.7550,0.000123
FILLER_1_294,VSS,Metal1,171.9200,30.2400,0.000123
FILLER_1_328,VSS,Metal1,190.9600,30.2400,0.000123
FILLER_1_330,VSS,Metal1,191.8000,30.2400,0.000124
FILLER_1_337,VSS,Metal1,196.0000,30.2400,0.000124
FILLER_1_347,VSS,Metal1,201.6000,30.2400,0.000125
FILLER_1_349,VSS,Metal1,202.4400,30.2400,0.000125
FILLER_1_352,VSS,Metal1,207.7120,29.4640,0.000133
FILLER_1_368,VSS,Metal1,213.3600,30.2400,0.000133
FILLER_1_370,VSS,Metal1,214.2000,30.2400,0.000133
FILLER_1_384,VSS,Metal1,222.3200,30.2400,0.000133
FILLER_1_418,VSS,Metal1,241.3600,30.2400,0.000138
FILLER_1_422,VSS,Metal1,243.6000,30.2400,0.000138
FILLER_1_447,VSS,Metal1,258.7730,29.5930,0.000139
FILLER_1_455,VSS,Metal1,261.8000,30.2400,0.000139
FILLER_1_488,VSS,Metal1,280.5600,30.2400,0.000142
FILLER_1_492,VSS,Metal1,290.5240,29.3775,0.000142
FILLER_1_524,VSS,Metal1,300.7200,30.2400,0.000141
FILLER_1_558,VSS,Metal1,319.7600,30.2400,0.000140
FILLER_1_562,VSS,Metal1,322.0000,30.2400,0.000139
FILLER_1_577,VSS,Metal1,330.4000,30.2400,0.000138
FILLER_1_592,VSS,Metal1,338.9800,29.7550,0.000161
FILLER_1_628,VSS,Metal1,358.9600,30.2400,0.000165
FILLER_1_632,VSS,Metal1,361.2000,30.2400,0.000167
FILLER_1_647,VSS,Metal1,369.6000,30.2400,0.000169
FILLER_1_649,VSS,Metal1,370.4400,30.2400,0.000169
FILLER_1_663,VSS,Metal1,378.5600,30.2400,0.000169
FILLER_1_665,VSS,Metal1,379.4000,30.2400,0.000169
FILLER_1_698,VSS,Metal1,398.1600,30.2400,0.000169
FILLER_1_702,VSS,Metal1,408.1240,29.3775,0.000169
FILLER_1_734,VSS,Metal1,418.3200,30.2400,0.000169
FILLER_1_768,VSS,Metal1,437.3600,30.2400,0.000149
FILLER_1_772,VSS,Metal1,439.6000,30.2400,0.000146
FILLER_1_774,VSS,Metal1,440.4400,30.2400,0.000145
FILLER_1_788,VSS,Metal1,451.8720,29.4640,0.000145
FILLER_1_804,VSS,Metal1,457.5200,30.2400,0.000145
FILLER_1_838,VSS,Metal1,476.5600,30.2400,0.000140
FILLER_1_842,VSS,Metal1,479.9730,29.5930,0.000134
FILLER_1_850,VSS,Metal1,483.2800,30.2400,0.000133
FILLER_1_852,VSS,Metal1,484.1200,30.2400,0.000133
FILLER_1_866,VSS,Metal1,492.4200,29.7550,0.000133
FILLER_1_870,VSS,Metal1,494.4800,30.2400,0.000133
FILLER_1_872,VSS,Metal1,495.3200,30.2400,0.000133
FILLER_1_881,VSS,Metal1,500.6400,30.2400,0.000134
FILLER_1_896,VSS,Metal1,509.2200,29.7550,0.000134
FILLER_1_900,VSS,Metal1,511.0000,30.2400,0.000134
FILLER_1_907,VSS,Metal1,515.2000,30.2400,0.000134
FILLER_1_909,VSS,Metal1,516.0400,30.2400,0.000134
FILLER_1_912,VSS,Metal1,521.3120,29.4640,0.000134
FILLER_1_928,VSS,Metal1,526.9600,30.2400,0.000134
FILLER_1_930,VSS,Metal1,527.8000,30.2400,0.000134
FILLER_1_936,VSS,Metal1,531.4400,30.2400,0.000134
FILLER_1_946,VSS,Metal1,537.0400,30.2400,0.000134
FILLER_1_971,VSS,Metal1,552.2130,29.5930,0.000134
FILLER_1_979,VSS,Metal1,555.2400,30.2400,0.000134
FILLER_1_982,VSS,Metal1,558.3730,29.5930,0.000134
FILLER_1_990,VSS,Metal1,561.6800,30.2400,0.000134
FILLER_1_992,VSS,Metal1,562.5200,30.2400,0.000134
FILLER_1_998,VSS,Metal1,566.1600,30.2400,0.000135
FILLER_1_1023,VSS,Metal1,580.1600,30.2400,0.000136
FILLER_1_1033,VSS,Metal1,589.0720,29.4640,0.000136
FILLER_1_1049,VSS,Metal1,594.4400,30.2400,0.000136
FILLER_1_1052,VSS,Metal1,596.5800,29.7550,0.000136
FILLER_1_1064,VSS,Metal1,603.1200,30.2400,0.000137
FILLER_1_1074,VSS,Metal1,608.7200,30.2400,0.000137
FILLER_1_1082,VSS,Metal1,613.3800,29.7550,0.000137
FILLER_1_1086,VSS,Metal1,615.4400,30.2400,0.000137
FILLER_1_1093,VSS,Metal1,619.5400,29.7550,0.000137
FILLER_1_1097,VSS,Metal1,621.3200,30.2400,0.000137
FILLER_1_1106,VSS,Metal1,626.6400,30.2400,0.000137
FILLER_1_1118,VSS,Metal1,633.3600,30.2400,0.000138
FILLER_1_1122,VSS,Metal1,636.7730,29.5930,0.000138
FILLER_1_1130,VSS,Metal1,640.2600,29.7550,0.000133
FILLER_1_1134,VSS,Metal1,642.0400,30.2400,0.000133
FILLER_1_1167,VSS,Metal1,660.8000,30.2400,0.000147
FILLER_1_1177,VSS,Metal1,667.5730,29.5930,0.000149
FILLER_1_1185,VSS,Metal1,671.0600,29.7550,0.000200
FILLER_1_1189,VSS,Metal1,672.8400,30.2400,0.000200
FILLER_1_1192,VSS,Metal1,674.8000,30.2400,0.000200
FILLER_1_1226,VSS,Metal1,701.5640,29.3775,0.000200
FILLER_1_1258,VSS,Metal1,711.7600,30.2400,0.000200
FILLER_1_1262,VSS,Metal1,714.0000,30.2400,0.000200
FILLER_1_1277,VSS,Metal1,722.5800,29.7550,0.000201
FILLER_1_1281,VSS,Metal1,724.3600,30.2400,0.000201
FILLER_1_1310,VSS,Metal1,740.8800,30.2400,0.000202
FILLER_1_1325,VSS,Metal1,749.4600,29.7550,0.000202
FILLER_1_1329,VSS,Metal1,751.2400,30.2400,0.000202
FILLER_1_1332,VSS,Metal1,753.2000,30.2400,0.000202
FILLER_1_1347,VSS,Metal1,764.9120,29.4640,0.000200
FILLER_1_1363,VSS,Metal1,771.7330,29.5930,0.000199
FILLER_1_1371,VSS,Metal1,775.0400,30.2400,0.000199
FILLER_1_1373,VSS,Metal1,775.8800,30.2400,0.000197
FILLER_1_1387,VSS,Metal1,785.1730,29.5930,0.000197
FILLER_1_1395,VSS,Metal1,788.6600,29.7550,0.000197
FILLER_1_1399,VSS,Metal1,790.4400,30.2400,0.000196
FILLER_1_1402,VSS,Metal1,793.5730,29.5930,0.000193
FILLER_1_1410,VSS,Metal1,797.0600,29.7550,0.000193
FILLER_1_1414,VSS,Metal1,799.1200,30.2400,0.000193
FILLER_1_1416,VSS,Metal1,799.9600,30.2400,0.000193
FILLER_1_1445,VSS,Metal1,819.7920,29.4640,0.000193
FILLER_1_1461,VSS,Metal1,826.6130,29.5930,0.000198
FILLER_1_1469,VSS,Metal1,829.6400,30.2400,0.000198
FILLER_1_1472,VSS,Metal1,832.7730,29.5930,0.000198
FILLER_1_1480,VSS,Metal1,835.8000,30.2400,0.000198
FILLER_1_1509,VSS,Metal1,852.3200,30.2400,0.000203
FILLER_1_1524,VSS,Metal1,864.0320,29.4640,0.000206
FILLER_1_1542,VSS,Metal1,871.9730,29.5930,0.000207
FILLER_1_1550,VSS,Metal1,875.2800,30.2400,0.000207
FILLER_1_1565,VSS,Metal1,884.8530,29.5930,0.000207
FILLER_1_1573,VSS,Metal1,888.3400,29.7550,0.000207
FILLER_1_1577,VSS,Metal1,890.4000,30.2400,0.000206
FILLER_1_1579,VSS,Metal1,891.2400,30.2400,0.000206
FILLER_1_1608,VSS,Metal1,907.7600,30.2400,0.000206
FILLER_1_1612,VSS,Metal1,913.3120,29.4640,0.000202
FILLER_1_1628,VSS,Metal1,918.9600,30.2400,0.000201
FILLER_1_1630,VSS,Metal1,919.8000,30.2400,0.000201
FILLER_1_1659,VSS,Metal1,936.3200,30.2400,0.000197
FILLER_1_1674,VSS,Metal1,944.9000,29.7550,0.000193
FILLER_1_1678,VSS,Metal1,946.9600,30.2400,0.000193
FILLER_1_1682,VSS,Metal1,949.2000,30.2400,0.000193
FILLER_1_1697,VSS,Metal1,958.7730,29.5930,0.000194
FILLER_1_1705,VSS,Metal1,962.0800,30.2400,0.000194
FILLER_1_1735,VSS,Metal1,980.0530,29.5930,0.000199
FILLER_1_1743,VSS,Metal1,983.5400,29.7550,0.000199
FILLER_1_1747,VSS,Metal1,985.6000,30.2400,0.000199
FILLER_1_1749,VSS,Metal1,986.4400,30.2400,0.000199
FILLER_1_1752,VSS,Metal1,988.4000,30.2400,0.000199
FILLER_1_1767,VSS,Metal1,996.9800,29.7550,0.000200
FILLER_1_1771,VSS,Metal1,999.0400,30.2400,0.000200
FILLER_1_1773,VSS,Metal1,999.8800,30.2400,0.000200
FILLER_1_1802,VSS,Metal1,1019.7120,29.4640,0.000201
FILLER_1_1818,VSS,Metal1,1025.3600,30.2400,0.000201
FILLER_1_1822,VSS,Metal1,1044.2445,29.3270,0.000201
FILLER_1_1886,VSS,Metal1,1063.6200,29.7550,0.000201
FILLER_1_1892,VSS,Metal1,1074.5240,29.3775,0.000201
FILLER_1_1924,VSS,Metal1,1084.4400,30.2400,0.000201
FILLER_2_2,VSS,Metal1,16.1240,31.1020,0.000098
FILLER_2_34,VSS,Metal1,26.0400,30.2400,0.000098
FILLER_2_37,VSS,Metal1,44.6445,31.1525,0.000098
FILLER_2_101,VSS,Metal1,64.0200,30.7250,0.000099
FILLER_2_107,VSS,Metal1,74.9240,31.1020,0.000099
FILLER_2_139,VSS,Metal1,88.4320,31.0160,0.000103
FILLER_2_155,VSS,Metal1,94.2600,30.7250,0.000104
FILLER_2_159,VSS,Metal1,96.0400,30.2400,0.000104
FILLER_2_173,VSS,Metal1,104.1600,30.2400,0.000111
FILLER_2_177,VSS,Metal1,106.4000,30.2400,0.000111
FILLER_2_179,VSS,Metal1,107.2400,30.2400,0.000111
FILLER_2_184,VSS,Metal1,110.3200,30.2400,0.000111
FILLER_2_209,VSS,Metal1,124.3200,30.2400,0.000113
FILLER_2_243,VSS,Metal1,143.3600,30.2400,0.000120
FILLER_2_247,VSS,Metal1,146.7730,30.8865,0.000123
FILLER_2_268,VSS,Metal1,157.3600,30.2400,0.000123
FILLER_2_302,VSS,Metal1,177.5730,30.8865,0.000123
FILLER_2_310,VSS,Metal1,181.0600,30.7250,0.000123
FILLER_2_314,VSS,Metal1,182.8400,30.2400,0.000123
FILLER_2_317,VSS,Metal1,184.8000,30.2400,0.000123
FILLER_2_324,VSS,Metal1,188.7200,30.2400,0.000124
