test,index,reference_real,reference_imag,rtl_real,rtl_imag
0,0,0.5,0,0.5,0
0,1,0.5,0,0.5,0
0,2,0.5,0,0.5,0
1,0,0.75,-0.375,0.75,-0.375
1,1,0,0,0,0
1,2,0,0,0,0
2,0,0,0,0,0
2,1,1.49424058138,0,1.4921875,0
2,2,0.00575941862275,0,0.0078125,0
3,0,-0.0078125,0,-0.0078125,0
3,1,-2.36888497725,0.629021669683,-2.3671875,0.625
3,2,-0.623302522748,2.34754083032,-0.6171875,2.359375
4,0,-0.453125,-0.734375,-0.453125,-0.734375
4,1,1.21385208562,-0.835636908024,1.2109375,-0.84375
4,2,0.645522914383,-0.023738091976,0.6484375,-0.015625
5,0,-2.4765625,0.5859375,-2.4765625,0.5859375
5,1,1.36955591381,0.697460865216,1.375,0.6953125
5,2,-1.37736841381,0.169726634784,-1.375,0.1796875
6,0,1.78125,0.7890625,1.78125,0.7890625
6,1,0.30300476321,-1.9625799651,0.296875,-1.96875
6,2,-0.0217547632096,-0.771795034898,-0.015625,-0.765625
7,0,0.84375,0.546875,0.84375,0.546875
7,1,1.04264802218,-1.63961319977,1.0390625,-1.640625
7,2,-0.52702302218,-0.313511800228,-0.5234375,-0.3125
