test,index,reference_real,reference_imag,rtl_real,rtl_imag
0,0,0.5,0,0.5,0
0,1,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,11,0,0,0,0
0,12,0,0,0,0
0,13,0,0,0,0
0,14,0,0,0,0
0,15,0,0,0,0
0,16,0,0,0,0
0,17,0,0,0,0
0,18,0,0,0,0
0,19,0,0,0,0
0,20,0,0,0,0
0,21,0,0,0,0
0,22,0,0,0,0
0,23,0,0,0,0
0,24,0,0,0,0
0,25,0,0,0,0
0,26,0,0,0,0
0,27,0,0,0,0
0,28,0,0,0,0
0,29,0,0,0,0
0,30,0,0,0,0
0,31,0,0,0,0
0,32,0,0,0,0
0,33,0,0,0,0
0,34,0,0,0,0
0,35,0,0,0,0
0,36,0,0,0,0
0,37,0,0,0,0
0,38,0,0,0,0
0,39,0,0,0,0
0,40,0,0,0,0
0,41,0,0,0,0
0,42,0,0,0,0
0,43,0,0,0,0
0,44,0,0,0,0
0,45,0,0,0,0
0,46,0,0,0,0
0,47,0,0,0,0
0,48,0,0,0,0
0,49,0,0,0,0
0,50,0,0,0,0
0,51,0,0,0,0
0,52,0,0,0,0
0,53,0,0,0,0
0,54,0,0,0,0
0,55,0,0,0,0
0,56,0,0,0,0
0,57,0,0,0,0
0,58,0,0,0,0
0,59,0,0,0,0
0,60,0,0,0,0
0,61,0,0,0,0
0,62,0,0,0,0
0,63,0,0,0,0
0,64,0,0,0,0
0,65,0,0,0,0
0,66,0,0,0,0
0,67,0,0,0,0
0,68,0,0,0,0
0,69,0,0,0,0
0,70,0,0,0,0
0,71,0,0,0,0
0,72,0,0,0,0
0,73,0,0,0,0
0,74,0,0,0,0
0,75,0,0,0,0
0,76,0,0,0,0
0,77,0,0,0,0
0,78,0,0,0,0
0,79,0,0,0,0
0,80,0,0,0,0
0,81,0,0,0,0
0,82,0,0,0,0
0,83,0,0,0,0
0,84,0,0,0,0
0,85,0,0,0,0
0,86,0,0,0,0
0,87,0,0,0,0
0,88,0,0,0,0
0,89,0,0,0,0
0,90,0,0,0,0
0,91,0,0,0,0
0,92,0,0,0,0
0,93,0,0,0,0
0,94,0,0,0,0
0,95,0,0,0,0
0,96,0,0,0,0
0,97,0,0,0,0
0,98,0,0,0,0
0,99,0,0,0,0
0,100,0,0,0,0
0,101,0,0,0,0
0,102,0,0,0,0
0,103,0,0,0,0
0,104,0,0,0,0
0,105,0,0,0,0
0,106,0,0,0,0
0,107,0,0,0,0
0,108,0,0,0,0
0,109,0,0,0,0
0,110,0,0,0,0
0,111,0,0,0,0
0,112,0,0,0,0
0,113,0,0,0,0
0,114,0,0,0,0
0,115,0,0,0,0
0,116,0,0,0,0
0,117,0,0,0,0
0,118,0,0,0,0
0,119,0,0,0,0
0,120,0,0,0,0
0,121,0,0,0,0
0,122,0,0,0,0
0,123,0,0,0,0
0,124,0,0,0,0
0,125,0,0,0,0
0,126,0,0,0,0
0,127,0,0,0,0
1,0,0.125,-0.0625,0.125,-0.0625
1,1,0,0,0,0
1,2,0,0,0,0
1,3,0,0,0,0
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
1,12,0,0,0,0
1,13,0,0,0,0
1,14,0,0,0,0
1,15,0,0,0,0
1,16,0,0,0,0
1,17,0,0,0,0
1,18,0,0,0,0
1,19,0,0,0,0
1,20,0,0,0,0
1,21,0,0,0,0
1,22,0,0,0,0
1,23,0,0,0,0
1,24,0,0,0,0
1,25,0,0,0,0
1,26,0,0,0,0
1,27,0,0,0,0
1,28,0,0,0,0
1,29,0,0,0,0
1,30,0,0,0,0
1,31,0,0,0,0
1,32,0,0,0,0
1,33,0,0,0,0
1,34,0,0,0,0
1,35,0,0,0,0
1,36,0,0,0,0
1,37,0,0,0,0
1,38,0,0,0,0
1,39,0,0,0,0
1,40,0,0,0,0
1,41,0,0,0,0
1,42,0,0,0,0
1,43,0,0,0,0
1,44,0,0,0,0
1,45,0,0,0,0
1,46,0,0,0,0
1,47,0,0,0,0
1,48,0,0,0,0
1,49,0,0,0,0
1,50,0,0,0,0
1,51,0,0,0,0
1,52,0,0,0,0
1,53,0,0,0,0
1,54,0,0,0,0
1,55,0,0,0,0
1,56,0,0,0,0
1,57,0,0,0,0
1,58,0,0,0,0
1,59,0,0,0,0
1,60,0,0,0,0
1,61,0,0,0,0
1,62,0,0,0,0
1,63,0,0,0,0
1,64,0,0,0,0
1,65,0,0,0,0
1,66,0,0,0,0
1,67,0,0,0,0
1,68,0,0,0,0
1,69,0,0,0,0
1,70,0,0,0,0
1,71,0,0,0,0
1,72,0,0,0,0
1,73,0,0,0,0
1,74,0,0,0,0
1,75,0,0,0,0
1,76,0,0,0,0
1,77,0,0,0,0
1,78,0,0,0,0
1,79,0,0,0,0
1,80,0,0,0,0
1,81,0,0,0,0
1,82,0,0,0,0
1,83,0,0,0,0
1,84,0,0,0,0
1,85,0,0,0,0
1,86,0,0,0,0
1,87,0,0,0,0
1,88,0,0,0,0
1,89,0,0,0,0
1,90,0,0,0,0
1,91,0,0,0,0
1,92,0,0,0,0
1,93,0,0,0,0
1,94,0,0,0,0
1,95,0,0,0,0
1,96,0,0,0,0
1,97,0,0,0,0
1,98,0,0,0,0
1,99,0,0,0,0
1,100,0,0,0,0
1,101,0,0,0,0
1,102,0,0,0,0
1,103,0,0,0,0
1,104,0,0,0,0
1,105,0,0,0,0
1,106,0,0,0,0
1,107,0,0,0,0
1,108,0,0,0,0
1,109,0,0,0,0
1,110,0,0,0,0
1,111,0,0,0,0
1,112,0,0,0,0
1,113,0,0,0,0
1,114,0,0,0,0
1,115,0,0,0,0
1,116,0,0,0,0
1,117,0,0,0,0
1,118,0,0,0,0
1,119,0,0,0,0
1,120,0,0,0,0
1,121,0,0,0,0
1,122,0,0,0,0
1,123,0,0,0,0
1,124,0,0,0,0
1,125,0,0,0,0
1,126,0,0,0,0
1,127,0,0,0,0
2,0,0.00775146484375,0.001953125,0,0
2,1,0.0066403577252,0.0044503431071,0,0
2,2,0.00475291396996,0.00642726328103,0,0
2,3,0.00230979815628,0.00765276008815,0,0
2,4,-0.000403360478324,0.0079835584055,-0.0078125,0.0078125
2,5,-0.00306936148527,0.00738098398333,-0.0078125,0
2,6,-0.0053765177024,0.00591548492394,-0.0078125,0
2,7,-0.00705509518281,0.00375839546229,-0.0078125,0
2,8,-0.00790884829496,0.00116190496033,-0.015625,0
2,9,-0.00783796316629,-0.00157042602289,-0.015625,-0.0078125
2,10,-0.00685072710973,-0.00411915556364,-0.0078125,-0.0078125
2,11,-0.00506255973842,-0.00618630692614,-0.0078125,-0.0078125
2,12,-0.00268251904296,-0.00753020557978,-0.0078125,-0.0078125
2,13,1.11399691474e-05,-0.00799373382035,0,-0.015625
2,14,0.00270349658663,-0.00752269969463,0,-0.0078125
2,15,0.00507978236362,-0.00617217268292,0,-0.0078125
2,16,0.00686218128715,-0.00410004542314,0,-0.0078125
2,17,0.00784230976663,-0.00154857418736,0.0078125,-0.0078125
2,18,0.00790557914904,0.00118394375193,0.0078125,0
2,19,0.0070445924926,0.00377804461364,0,0
2,20,0.00536000935704,0.00593044721601,0,0
2,21,0.0030487775063,0.00738951014659,0,0
2,22,0.00038110737719,0.00798465163026,0,0.0078125
2,23,-0.00233111872791,0.00764629256345,-0.0078125,0
