test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,0,-2,-1,-2,-1,-0.008099867371131015,-0.0022415351847862113
0,1,-2,-1,-2,-1,-0.011772147445558297,-0.007865897445558297
0,2,-2,-3,-2,-3,-0.012397358753242677,-0.015885747147510114
0,3,-2,-4,-2,-4,-0.008796331402619893,-0.024584099355101148
0,4,-1,-5,-1,-5,-0.0007793647209494328,-0.03174779902070629
0,5,1,-5,1,-5,0.01068802509850415,-0.03523369687581265
0,6,3,-5,3,-5,0.02363494398862958,-0.03355904197404753
0,7,4,-4,4,-4,0.03552477215974001,-0.026346966678460773
0,8,5,-2,5,-2,0.04387283570172289,-0.014493627193408628
0,9,6,0,6,0,0.046875,0.0
0,10,5,1,5,1,0.04387283570172287,0.014493627193408626
0,11,4,3,4,3,0.03552477215974001,0.026346966678460773
0,12,2,4,2,4,0.02363494398862958,0.03355904197404752
0,13,1,4,1,4,0.01068802509850415,0.03523369687581265
0,14,-1,4,-1,4,-0.0007793647209494326,0.03174779902070629
0,15,-2,3,-2,3,-0.008796331402619893,0.024584099355101148
0,16,-2,2,-2,2,-0.01239735875324268,0.015885747147510114
0,17,-2,0,-2,0,-0.011772147445558297,0.007865897445558295
0,18,-2,0,-2,0,-0.008099867371131013,0.0022415351847862104
0,19,-1,-1,-1,-1,-0.0031325749371706934,-0.00015389353832998335
0,20,0,0,0,0,0.0013393576564184892,0.0005166472595417411
0,21,0,0,0,0,0.0039807137603574475,0.00326688735548516
0,22,0,0,0,0,0.00422650339835084,0.006674378225066246
0,23,0,1,0,1,0.0023425525104296585,0.0093519938468676
0,24,-1,1,-1,1,-0.0007640780106292974,0.01035835286545604
0,25,-1,1,-1,1,-0.00390625,0.009430521728019902
0,26,-1,0,-1,0,-0.006025031201567632,0.0069846855629719755
0,27,-1,0,-1,0,-0.006515747233662674,0.003905388597559211
0,28,-1,0,-1,0,-0.005377725349019343,0.0012076086101673734
0,29,-1,-1,-1,-1,-0.0031558534365184296,-0.00031082443375222903
0,30,-1,-1,-1,-1,-0.0007101509764090012,-0.0003147882781019395
0,31,0,0,0,0,0.001098336459099946,0.0009954741403357503
0,32,0,0,0,0,0.0016964926481646337,0.002994728337310424
0,33,0,0,0,0,0.0009699331302060331,0.0048761831302060335
