net,length_um
clknet_0_clk_i_regs,1.48811mm
net374,1.19646mm
net2,1.10072mm
net1,1.09154mm
net91,1.07942mm
net3,1.07026mm
net144,1.02403mm
net337,1.00341mm
net185,993.23µm
u_core.botr\[9\],957.75µm
net289,954.78µm
net431,945.94µm
net72,937.77µm
net51,936.66µm
net179,934.28µm
net50,932.6µm
net73,927.15µm
net53,918.83µm
net67,915.56µm
net232,915.39µm
net55,914.3µm
net369,893.35µm
net390,886.38µm
u_core.botr\[6\],872.58µm
net219,865.16µm
tw_im\[2\],836.18µm
net347,833.73µm
net367,827.88µm
net220,818.36µm
clk_i,798.52µm
net372,796.88µm
u_core.botr\[8\],788.26µm
_3720_,778.65µm
net135,757.83µm
net103,749.17µm
_3658_,743.93µm
net104,735.02µm
u_core.im_q_lo\[6\],730.76µm
u_core.im_q_lo\[5\],729.54µm
net398,725.86µm
net134,718.83µm
u_core.im_q_lo\[7\],708.51µm
tw_im\[5\],706.41µm
net229,699.84µm
net290,697.5µm
net291,696.63µm
net241,696.23µm
_3644_,695.93µm
net223,682.51µm
net292,675.71µm
u_core.im_q_lo\[4\],659.03µm
net131,650.71µm
net293,648.42µm
net287,647.56µm
_3813_,643.59µm
net82,643.22µm
clknet_1_0__leaf_clk_i,638.22µm
net174,630.81µm
_3651_,629.63µm
net78,629.02µm
_3691_,625.06µm
fdiq_fd_in_data\[7\],624.65µm
net294,617.98µm
_3727_,616.2µm
net211,615.08µm
net366,612.13µm
net285,611.16µm
net193,608.92µm
u_core.botr\[11\],601.54µm
net76,597.73µm
_3706_,591.56µm
net380,589.83µm
net21,585.62µm
net201,584.89µm
net361,584.23µm
net407,582.96µm
net29,581.12µm
clknet_5_30__leaf_clk_i_regs,580.46µm
_3980_,579.95µm
u_core.botr\[13\],579.38µm
u_core.botr\[10\],579.24µm
u_core.re_q_hi\[0\],576.15µm
net383,574.1µm
net316,572.67µm
net311,571.45µm
u_core.botr\[14\],568.65µm
u_core.re_q_lo\[6\],566.78µm
net190,561.52µm
net394,556.23µm
net368,555.16µm
net261,554.8µm
u_core.botr\[3\],553.99µm
fdiq_fd_in_data\[6\],551.29µm
net345,549.66µm
net295,549.2µm
u_core.re_q_hi\[1\],545.96µm
_3993_,545.24µm
u_core.boti\[12\],544.62µm
net175,542.18µm
u_core.re_q_lo\[7\],536.95µm
u_core.mem_a\[3\],535.79µm
net164,530.93µm
clknet_1_1__leaf_clk_i,529.95µm
u_core.re_d\[7\],529.62µm
u_core.im_q_hi\[7\],529.31µm
u_core.mem_a\[4\],525.76µm
net314,525.63µm
u_core.mem_a\[1\],523.06µm
u_core.re_q_hi\[2\],523µm
u_core.mem_a\[0\],522.62µm
_3697_,520.34µm
tw_re\[6\],515.4µm
net268,512.6µm
net129,512.04µm
net418,507.51µm
net196,506.44µm
u_core.botr\[7\],506.34µm
u_core.mem_a\[6\],504.52µm
net173,503.89µm
u_core.boti\[9\],503.64µm
net102,501.35µm
_1600_,499.67µm
net195,498.19µm
u_core.mem_a\[5\],498.08µm
net80,492.54µm
u_core.im_q_hi\[4\],491.74µm
u_core.re_q_lo\[5\],491.08µm
net343,489.13µm
u_core.im_q_hi\[6\],486.62µm
net363,485.01µm
net305,484.29µm
net270,483.43µm
net172,483.07µm
net255,481.14µm
_3696_,478.95µm
u_core.im_q_lo\[3\],475.42µm
net336,475.31µm
tw_im\[6\],475.03µm
clknet_5_14__leaf_clk_i_regs,473.45µm
net309,471.62µm
u_core.im_q_hi\[5\],469.8µm
net88,462.96µm
clknet_5_20__leaf_clk_i_regs,458.48µm
net391,457.77µm
net139,457.11µm
u_core.im_d\[6\],454.09µm
clknet_5_5__leaf_clk_i_regs,452.78µm
u_core.boti\[11\],452.12µm
clknet_5_4__leaf_clk_i_regs,450.39µm
net307,449.93µm
fdiq_fd_in_data\[4\],449.22µm
clknet_5_23__leaf_clk_i_regs,448.81µm
_3695_,448.66µm
net177,448.35µm
net226,444.79µm
net107,442.7µm
net210,442.55µm
net300,442.19µm
delaynet_0_clk_i,440.21µm
net302,438.58µm
