Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_252_2314,VDD,Metal1,1297.2400,995.6800,5.000000
FILLER_252_2280,VDD,Metal1,1287.5555,994.9110,5.000000
FILLER_252_2246,VDD,Metal1,1268.5155,994.9110,5.000000
FILLER_252_2212,VDD,Metal1,1249.4755,994.9110,5.000000
FILLER_252_2178,VDD,Metal1,1230.4355,994.9110,5.000000
FILLER_252_2144,VDD,Metal1,1211.3955,994.9110,5.000000
FILLER_252_2110,VDD,Metal1,1192.3555,994.9110,5.000000
FILLER_252_2076,VDD,Metal1,1173.3155,994.9110,5.000000
FILLER_252_2042,VDD,Metal1,1154.2755,994.9110,5.000000
FILLER_252_2008,VDD,Metal1,1135.2355,994.9110,5.000000
FILLER_252_1974,VDD,Metal1,1116.1955,994.9110,5.000000
FILLER_252_1940,VDD,Metal1,1097.1555,994.9110,5.000000
FILLER_252_1906,VDD,Metal1,1078.1155,994.9110,5.000000
FILLER_252_1872,VDD,Metal1,1059.0755,994.9110,5.000000
FILLER_252_1838,VDD,Metal1,1040.0355,994.9110,5.000000
FILLER_252_1804,VDD,Metal1,1020.9955,994.9110,5.000000
FILLER_252_1770,VDD,Metal1,1001.9555,994.9110,5.000000
FILLER_252_1736,VDD,Metal1,982.9155,994.9110,5.000000
FILLER_252_1702,VDD,Metal1,963.8755,994.9110,5.000000
FILLER_252_1668,VDD,Metal1,944.8355,994.9110,5.000000
FILLER_252_1634,VDD,Metal1,925.7955,994.9110,5.000000
FILLER_252_1600,VDD,Metal1,906.7555,994.9110,5.000000
FILLER_252_1566,VDD,Metal1,887.7155,994.9110,5.000000
FILLER_252_1532,VDD,Metal1,868.6755,994.9110,5.000000
FILLER_252_1498,VDD,Metal1,849.6355,994.9110,5.000000
FILLER_252_1464,VDD,Metal1,830.5955,994.9110,5.000000
FILLER_252_1430,VDD,Metal1,811.5555,994.9110,5.000000
FILLER_252_1396,VDD,Metal1,792.5155,994.9110,5.000000
FILLER_252_1362,VDD,Metal1,773.4755,994.9110,5.000000
FILLER_252_1328,VDD,Metal1,754.4355,994.9110,5.000000
FILLER_252_1294,VDD,Metal1,735.3955,994.9110,5.000000
FILLER_252_1260,VDD,Metal1,716.3555,994.9110,5.000000
FILLER_252_1226,VDD,Metal1,697.3155,994.9110,5.000000
FILLER_252_1192,VDD,Metal1,678.2755,994.9110,5.000000
FILLER_252_1158,VDD,Metal1,659.2355,994.9110,5.000000
FILLER_252_1124,VDD,Metal1,640.1955,994.9110,5.000000
FILLER_252_1090,VDD,Metal1,621.1555,994.9110,5.000000
FILLER_252_1087,VDD,Metal1,610.1200,995.6800,5.000000
FILLER_252_1085,VDD,Metal1,609.2800,995.6800,5.000000
FILLER_252_1069,VDD,Metal1,604.8480,994.9880,5.000000
FILLER_252_1064,VDD,Metal1,597.2400,995.6800,5.000000
FILLER_252_1056,VDD,Metal1,595.2265,995.1030,5.000000
FILLER_252_1022,VDD,Metal1,583.0755,994.9110,5.000000
FILLER_252_1019,VDD,Metal1,572.0400,995.6800,5.000000
FILLER_252_1017,VDD,Metal1,571.2000,995.6800,5.000000
FILLER_252_1001,VDD,Metal1,566.7680,994.9880,5.000000
FILLER_252_996,VDD,Metal1,559.1600,995.6800,5.000000
FILLER_252_988,VDD,Metal1,557.1465,995.1030,5.000000
FILLER_252_977,VDD,Metal1,548.5200,995.6800,5.000000
FILLER_252_975,VDD,Metal1,547.6800,995.6800,5.000000
FILLER_252_971,VDD,Metal1,546.3800,995.2475,5.000000
