Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_73_520,VDD,Metal1,294.8400,290.0800,4.999999
FILLER_73_512,VDD,Metal1,292.8265,290.6565,4.999999
FILLER_73_478,VDD,Metal1,280.6755,290.8485,4.999999
FILLER_73_444,VDD,Metal1,261.6355,290.8485,4.999999
FILLER_73_410,VDD,Metal1,242.5955,290.8485,4.999999
FILLER_73_376,VDD,Metal1,223.5555,290.8485,4.999999
FILLER_73_342,VDD,Metal1,204.5155,290.8485,4.999999
FILLER_73_308,VDD,Metal1,185.4755,290.8485,4.999999
FILLER_73_240,VDD,Metal1,147.3955,290.8485,4.999999
FILLER_73_206,VDD,Metal1,128.3555,290.8485,4.999999
FILLER_73_172,VDD,Metal1,109.3155,290.8485,4.999999
FILLER_73_138,VDD,Metal1,90.2755,290.8485,4.999999
FILLER_73_104,VDD,Metal1,71.2355,290.8485,4.999999
FILLER_73_70,VDD,Metal1,52.1955,290.8485,4.999999
FILLER_73_36,VDD,Metal1,33.1555,290.8485,4.999999
FILLER_73_2,VDD,Metal1,14.1155,290.8485,4.999999
FILLER_72_457,VDD,Metal1,277.9150,289.2655,4.999999
FILLER_72_451,VDD,Metal1,257.4200,289.6475,4.999999
FILLER_72_387,VDD,Metal1,238.7150,289.2655,4.999999
FILLER_72_381,VDD,Metal1,218.2200,289.6475,4.999999
FILLER_72_317,VDD,Metal1,199.5150,289.2655,4.999999
FILLER_72_307,VDD,Metal1,178.0265,289.5030,4.999999
FILLER_72_291,VDD,Metal1,171.4080,289.3880,4.999999
FILLER_72_271,VDD,Metal1,156.6200,289.6475,4.999999
FILLER_72_263,VDD,Metal1,153.3865,289.5030,4.999999
FILLER_72_247,VDD,Metal1,146.7680,289.3880,4.999999
FILLER_72_241,VDD,Metal1,139.8200,289.6475,4.999999
FILLER_72_177,VDD,Metal1,121.1150,289.2655,4.999999
FILLER_72_171,VDD,Metal1,100.6200,289.6475,4.999999
FILLER_72_107,VDD,Metal1,81.9150,289.2655,4.999999
FILLER_72_101,VDD,Metal1,61.4200,289.6475,4.999999
FILLER_72_37,VDD,Metal1,42.7150,289.2655,4.999999
FILLER_72_34,VDD,Metal1,22.6800,290.0800,4.999999
FILLER_72_2,VDD,Metal1,14.1155,289.3110,4.999999
FILLER_71_520,VDD,Metal1,294.8400,282.2400,5.000000
FILLER_71_516,VDD,Metal1,293.8200,282.6725,5.000000
FILLER_71_508,VDD,Metal1,290.5865,282.8165,5.000000
FILLER_71_492,VDD,Metal1,283.9680,282.9320,5.000000
FILLER_71_486,VDD,Metal1,277.0200,282.6725,5.000000
FILLER_71_422,VDD,Metal1,258.3150,283.0540,5.000000
FILLER_71_416,VDD,Metal1,237.8200,282.6725,5.000000
FILLER_71_352,VDD,Metal1,219.1150,283.0540,5.000000
FILLER_71_346,VDD,Metal1,198.6200,282.6725,5.000000
FILLER_71_282,VDD,Metal1,179.9150,283.0540,5.000000
FILLER_71_276,VDD,Metal1,159.4200,282.6725,5.000000
FILLER_71_212,VDD,Metal1,140.7150,283.0540,5.000000
FILLER_71_206,VDD,Metal1,120.2200,282.6725,5.000000
FILLER_71_142,VDD,Metal1,101.5150,283.0540,5.000000
FILLER_71_136,VDD,Metal1,81.0200,282.6725,5.000000
FILLER_71_72,VDD,Metal1,62.3150,283.0540,5.000000
FILLER_71_66,VDD,Metal1,41.8200,282.6725,5.000000
FILLER_71_2,VDD,Metal1,23.1150,283.0540,5.000000
FILLER_70_457,VDD,Metal1,277.9150,281.4255,5.000000
FILLER_70_451,VDD,Metal1,257.4200,281.8075,5.000000
FILLER_70_387,VDD,Metal1,238.7150,281.4255,5.000000
FILLER_70_381,VDD,Metal1,218.2200,281.8075,5.000000
FILLER_70_317,VDD,Metal1,199.5150,281.4255,5.000000
FILLER_70_311,VDD,Metal1,179.0200,281.8075,5.000000
FILLER_70_247,VDD,Metal1,160.3150,281.4255,5.000000
FILLER_70_241,VDD,Metal1,139.8200,281.8075,5.000000
FILLER_70_177,VDD,Metal1,121.1150,281.4255,5.000000
FILLER_70_171,VDD,Metal1,100.6200,281.8075,5.000000
