Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1955
design__instance__area,84958.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.0003225170075893402
power__switching__total,0.00006131703412393108
power__leakage__total,1.2338399812961143E-7
power__total,0.00038395740557461977
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.2508964496065869
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.2508789635934545
timing__hold__ws__corner:nom_tt_025C_5v00,0.8651639649573636
timing__setup__ws__corner:nom_tt_025C_5v00,36.5058074102726
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.865164
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.251490696497324
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.25147326599534436
timing__hold__ws__corner:nom_ss_125C_4v50,1.7828401481970144
timing__setup__ws__corner:nom_ss_125C_4v50,33.82873454888695
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.782840
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.2506380174347208
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.25062055917716486
timing__hold__ws__corner:nom_ff_n40C_5v50,0.4425592240162563
timing__setup__ws__corner:nom_ff_n40C_5v50,37.70056729067494
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.442559
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25059610651435593
clock__skew__worst_setup,0.2505809797252176
timing__hold__ws,0.43488547327532123
timing__setup__ws,33.76939001791789
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.434885
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 300.0 300.0
design__core__bbox,3.36 3.92 296.24 294.0
design__io,8
design__die__area,90000
design__core__area,84958.6
design__instance__count__stdcell,704
design__instance__area__stdcell,3916.24
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0460958
design__instance__utilization__stdcell,0.0460958
design__rows,74
design__rows:GF018hv5v_mcu_sc7,74
design__sites,38702
design__sites:GF018hv5v_mcu_sc7,38702
design__instance__count__class:sequential_cell,4
design__instance__area__class:sequential_cell,254.643
design__instance__count__class:multi_input_combinational_cell,8
design__instance__area__class:multi_input_combinational_cell,153.664
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,148
design__instance__area__class:endcap_cell,649.779
design__instance__count__class:tap_cell,534
design__instance__area__class:tap_cell,2344.47
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,6
design__io__hpwl,1899074
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,6.16
design__instance__displacement__mean,0.0085
design__instance__displacement__max,5.04
route__wirelength__estimated,1243.41
design__violations,0
design__instance__count__class:timing_repair_buffer,5
design__instance__area__class:timing_repair_buffer,175.616
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,3
design__instance__area__class:clock_buffer,329.28
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,130
global_route__wirelength,1604
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,8.7808
antenna_diodes_count,0
route__net,22
route__net__special,2
route__drc_errors__iter:0,5
route__wirelength__iter:0,1172
route__drc_errors__iter:1,0
route__wirelength__iter:1,1157
route__drc_errors,0
route__wirelength,1157
route__vias,103
route__vias__singlecut,103
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,166.37
design__instance__count__class:fill_cell,1251
design__instance__area__class:fill_cell,81042.4
timing__unannotated_net__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
design__max_cap_violation__count__corner:min_tt_025C_5v00,0
