Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_73_520,VSS,Metal1,294.8400,294.0000,0.000000
FILLER_73_512,VSS,Metal1,291.8130,293.5380,0.000000
FILLER_73_478,VSS,Metal1,279.3240,293.4020,0.000000
FILLER_73_444,VSS,Metal1,260.2840,293.4020,0.000000
FILLER_73_410,VSS,Metal1,241.2440,293.4020,0.000000
FILLER_73_376,VSS,Metal1,222.2040,293.4020,0.000001
FILLER_73_342,VSS,Metal1,203.1640,293.4020,0.000001
FILLER_73_308,VSS,Metal1,184.1240,293.4020,0.000001
FILLER_73_240,VSS,Metal1,146.0440,293.4020,0.000001
FILLER_73_206,VSS,Metal1,127.0040,293.4020,0.000001
FILLER_73_172,VSS,Metal1,107.9640,293.4020,0.000000
FILLER_73_138,VSS,Metal1,88.9240,293.4020,0.000000
FILLER_73_104,VSS,Metal1,69.8840,293.4020,0.000000
FILLER_73_70,VSS,Metal1,50.8440,293.4020,0.000000
FILLER_73_36,VSS,Metal1,31.8040,293.4020,0.000000
FILLER_73_2,VSS,Metal1,12.7640,293.4020,0.000000
FILLER_72_457,VSS,Metal1,276.4845,286.7975,0.000001
FILLER_72_451,VSS,Metal1,256.6600,286.5085,0.000001
FILLER_72_387,VSS,Metal1,237.2845,286.7975,0.000001
FILLER_72_381,VSS,Metal1,217.4600,286.5085,0.000001
FILLER_72_317,VSS,Metal1,198.0845,286.7975,0.000001
FILLER_72_307,VSS,Metal1,177.0130,286.6215,0.000001
FILLER_72_291,VSS,Metal1,170.1920,286.7080,0.000001
FILLER_72_271,VSS,Metal1,155.8600,286.5085,0.000000
FILLER_72_263,VSS,Metal1,152.3730,286.6215,0.000000
FILLER_72_247,VSS,Metal1,145.5520,286.7080,0.000000
FILLER_72_241,VSS,Metal1,139.0600,286.5085,0.000000
FILLER_72_177,VSS,Metal1,119.6845,286.7975,0.000000
FILLER_72_171,VSS,Metal1,99.8600,286.5085,0.000000
FILLER_72_107,VSS,Metal1,80.4845,286.7975,0.000000
FILLER_72_101,VSS,Metal1,60.6600,286.5085,0.000000
FILLER_72_37,VSS,Metal1,41.2845,286.7975,0.000000
FILLER_72_34,VSS,Metal1,22.6800,286.1600,0.000000
FILLER_72_2,VSS,Metal1,12.7640,286.7575,0.000000
FILLER_71_520,VSS,Metal1,294.8400,286.1600,0.000001
FILLER_71_516,VSS,Metal1,293.0600,285.8110,0.000001
FILLER_71_508,VSS,Metal1,289.5730,285.6980,0.000001
FILLER_71_492,VSS,Metal1,282.7520,285.6120,0.000001
FILLER_71_486,VSS,Metal1,276.2600,285.8110,0.000001
FILLER_71_422,VSS,Metal1,256.8845,285.5220,0.000001
FILLER_71_416,VSS,Metal1,237.0600,285.8110,0.000001
FILLER_71_352,VSS,Metal1,217.6845,285.5220,0.000001
FILLER_71_346,VSS,Metal1,197.8600,285.8110,0.000001
FILLER_71_282,VSS,Metal1,178.4845,285.5220,0.000001
FILLER_71_276,VSS,Metal1,158.6600,285.8110,0.000000
FILLER_71_212,VSS,Metal1,139.2845,285.5220,0.000000
FILLER_71_206,VSS,Metal1,119.4600,285.8110,0.000000
FILLER_71_142,VSS,Metal1,100.0845,285.5220,0.000000
FILLER_71_136,VSS,Metal1,80.2600,285.8110,0.000000
FILLER_71_72,VSS,Metal1,60.8845,285.5220,0.000000
FILLER_71_66,VSS,Metal1,41.0600,285.8110,0.000000
FILLER_71_2,VSS,Metal1,21.6845,285.5220,0.000000
FILLER_70_457,VSS,Metal1,276.4845,278.9575,0.000000
FILLER_70_451,VSS,Metal1,256.6600,278.6685,0.000000
FILLER_70_387,VSS,Metal1,237.2845,278.9575,0.000000
FILLER_70_381,VSS,Metal1,217.4600,278.6685,0.000000
FILLER_70_317,VSS,Metal1,198.0845,278.9575,0.000000
FILLER_70_311,VSS,Metal1,178.2600,278.6685,0.000000
FILLER_70_247,VSS,Metal1,158.8845,278.9575,0.000000
FILLER_70_241,VSS,Metal1,139.0600,278.6685,0.000000
FILLER_70_177,VSS,Metal1,119.6845,278.9575,0.000000
FILLER_70_171,VSS,Metal1,99.8600,278.6685,0.000000
FILLER_70_107,VSS,Metal1,80.4845,278.9575,0.000000
FILLER_70_101,VSS,Metal1,60.6600,278.6685,0.000000
FILLER_70_37,VSS,Metal1,41.2845,278.9575,0.000000
FILLER_70_34,VSS,Metal1,22.6800,278.3200,0.000000
FILLER_70_2,VSS,Metal1,12.7640,278.9175,0.000000
FILLER_69_520,VSS,Metal1,294.8400,278.3200,0.000000
FILLER_69_516,VSS,Metal1,293.0600,277.9710,0.000000
FILLER_69_508,VSS,Metal1,289.5730,277.8580,0.000000
FILLER_69_492,VSS,Metal1,282.7520,277.7720,0.000000
FILLER_69_486,VSS,Metal1,276.2600,277.9710,0.000000
FILLER_69_422,VSS,Metal1,256.8845,277.6820,0.000000
FILLER_69_416,VSS,Metal1,237.0600,277.9710,0.000000
FILLER_69_352,VSS,Metal1,217.6845,277.6820,0.000000
FILLER_69_346,VSS,Metal1,197.8600,277.9710,0.000000
FILLER_69_282,VSS,Metal1,178.4845,277.6820,0.000000
FILLER_69_276,VSS,Metal1,158.6600,277.9710,0.000000
FILLER_69_212,VSS,Metal1,139.2845,277.6820,0.000000
FILLER_69_206,VSS,Metal1,119.4600,277.9710,0.000000
FILLER_69_142,VSS,Metal1,100.0845,277.6820,0.000000
FILLER_69_136,VSS,Metal1,80.2600,277.9710,0.000000
FILLER_69_72,VSS,Metal1,60.8845,277.6820,0.000000
FILLER_69_66,VSS,Metal1,41.0600,277.9710,0.000000
FILLER_69_2,VSS,Metal1,21.6845,277.6820,0.000000
FILLER_68_457,VSS,Metal1,276.4845,271.1175,0.000000
FILLER_68_451,VSS,Metal1,256.6600,270.8285,0.000000
FILLER_68_387,VSS,Metal1,237.2845,271.1175,0.000000
FILLER_68_381,VSS,Metal1,217.4600,270.8285,0.000000
FILLER_68_317,VSS,Metal1,198.0845,271.1175,0.000000
FILLER_68_311,VSS,Metal1,178.2600,270.8285,0.000000
FILLER_68_247,VSS,Metal1,158.8845,271.1175,0.000000
FILLER_68_241,VSS,Metal1,139.0600,270.8285,0.000000
FILLER_68_177,VSS,Metal1,119.6845,271.1175,0.000000
FILLER_68_171,VSS,Metal1,99.8600,270.8285,0.000000
FILLER_68_107,VSS,Metal1,80.4845,271.1175,0.000000
FILLER_68_101,VSS,Metal1,60.6600,270.8285,0.000000
FILLER_68_37,VSS,Metal1,41.2845,271.1175,0.000000
FILLER_68_34,VSS,Metal1,22.6800,270.4800,0.000000
FILLER_68_2,VSS,Metal1,12.7640,271.0775,0.000000
FILLER_67_520,VSS,Metal1,294.8400,270.4800,0.000000
FILLER_67_516,VSS,Metal1,293.0600,270.1310,0.000000
FILLER_67_508,VSS,Metal1,289.5730,270.0180,0.000000
FILLER_67_492,VSS,Metal1,282.7520,269.9320,0.000000
FILLER_67_486,VSS,Metal1,276.2600,270.1310,0.000000
FILLER_67_422,VSS,Metal1,256.8845,269.8420,0.000000
FILLER_67_416,VSS,Metal1,237.0600,270.1310,0.000000
FILLER_67_352,VSS,Metal1,217.6845,269.8420,0.000000
FILLER_67_346,VSS,Metal1,197.8600,270.1310,0.000000
FILLER_67_282,VSS,Metal1,178.4845,269.8420,0.000000
FILLER_67_276,VSS,Metal1,158.6600,270.1310,0.000000
FILLER_67_212,VSS,Metal1,139.2845,269.8420,0.000000
FILLER_67_206,VSS,Metal1,119.4600,270.1310,0.000000
FILLER_67_142,VSS,Metal1,100.0845,269.8420,0.000000
FILLER_67_136,VSS,Metal1,80.2600,270.1310,0.000000
FILLER_67_72,VSS,Metal1,60.8845,269.8420,0.000000
FILLER_67_66,VSS,Metal1,41.0600,270.1310,0.000000
FILLER_67_2,VSS,Metal1,21.6845,269.8420,0.000000
FILLER_66_457,VSS,Metal1,276.4845,263.2775,0.000000
FILLER_66_451,VSS,Metal1,256.6600,262.9885,0.000000
FILLER_66_387,VSS,Metal1,237.2845,263.2775,0.000000
FILLER_66_381,VSS,Metal1,217.4600,262.9885,0.000000
FILLER_66_317,VSS,Metal1,198.0845,263.2775,0.000000
FILLER_66_311,VSS,Metal1,178.2600,262.9885,0.000000
FILLER_66_247,VSS,Metal1,158.8845,263.2775,0.000000
FILLER_66_241,VSS,Metal1,139.0600,262.9885,0.000000
FILLER_66_177,VSS,Metal1,119.6845,263.2775,0.000000
FILLER_66_171,VSS,Metal1,99.8600,262.9885,0.000000
FILLER_66_107,VSS,Metal1,80.4845,263.2775,0.000000
FILLER_66_101,VSS,Metal1,60.6600,262.9885,0.000000
FILLER_66_37,VSS,Metal1,41.2845,263.2775,0.000000
FILLER_66_34,VSS,Metal1,22.6800,262.6400,0.000000
FILLER_66_2,VSS,Metal1,12.7640,263.2375,0.000000
FILLER_65_520,VSS,Metal1,294.8400,262.6400,0.000000
FILLER_65_516,VSS,Metal1,293.0600,262.2910,0.000000
FILLER_65_508,VSS,Metal1,289.5730,262.1780,0.000000
FILLER_65_492,VSS,Metal1,282.7520,262.0920,0.000000
FILLER_65_486,VSS,Metal1,276.2600,262.2910,0.000000
FILLER_65_422,VSS,Metal1,256.8845,262.0020,0.000000
FILLER_65_416,VSS,Metal1,237.0600,262.2910,0.000000
FILLER_65_352,VSS,Metal1,217.6845,262.0020,0.000000
FILLER_65_346,VSS,Metal1,197.8600,262.2910,0.000000
FILLER_65_282,VSS,Metal1,178.4845,262.0020,0.000000
FILLER_65_276,VSS,Metal1,158.6600,262.2910,0.000000
FILLER_65_212,VSS,Metal1,139.2845,262.0020,0.000000
FILLER_65_206,VSS,Metal1,119.4600,262.2910,0.000000
FILLER_65_142,VSS,Metal1,100.0845,262.0020,0.000000
FILLER_65_136,VSS,Metal1,80.2600,262.2910,0.000000
FILLER_65_72,VSS,Metal1,60.8845,262.0020,0.000000
FILLER_65_66,VSS,Metal1,41.0600,262.2910,0.000000
FILLER_65_2,VSS,Metal1,21.6845,262.0020,0.000000
FILLER_64_457,VSS,Metal1,276.4845,255.4375,0.000000
FILLER_64_451,VSS,Metal1,256.6600,255.1485,0.000000
FILLER_64_387,VSS,Metal1,237.2845,255.4375,0.000000
FILLER_64_381,VSS,Metal1,217.4600,255.1485,0.000000
FILLER_64_317,VSS,Metal1,198.0845,255.4375,0.000000
FILLER_64_311,VSS,Metal1,178.2600,255.1485,0.000000
FILLER_64_247,VSS,Metal1,158.8845,255.4375,0.000000
FILLER_64_241,VSS,Metal1,139.0600,255.1485,0.000000
FILLER_64_177,VSS,Metal1,119.6845,255.4375,0.000000
FILLER_64_171,VSS,Metal1,99.8600,255.1485,0.000000
FILLER_64_107,VSS,Metal1,80.4845,255.4375,0.000000
FILLER_64_101,VSS,Metal1,60.6600,255.1485,0.000000
FILLER_64_37,VSS,Metal1,41.2845,255.4375,0.000000
FILLER_64_34,VSS,Metal1,22.6800,254.8000,0.000000
FILLER_64_2,VSS,Metal1,12.7640,255.3975,0.000000
FILLER_63_520,VSS,Metal1,294.8400,254.8000,0.000000
FILLER_63_516,VSS,Metal1,293.0600,254.4510,0.000000
FILLER_63_508,VSS,Metal1,289.5730,254.3380,0.000000
