net,length_um
net1,1.13425mm
clk,198.76µm
net5,102.95µm
net2,102.39µm
net3,101.22µm
net4,96.51µm
cnt\[0\],77.84µm
net27,58.66µm
net28,54.46µm
net26,54.18µm
_05_,44.9µm
cnt\[1\],43.78µm
_01_,42µm
_04_,42µm
clknet_1_0__leaf_clk,39.67µm
_03_,34.21µm
_00_,32.53µm
_02_,30.85µm
cnt\[2\],29.73µm
clknet_1_1__leaf_clk_regs,29.73µm
net32,27.44µm
_06_,26.93µm
_07_,23.01µm
net24,21.14µm
net9,19.74µm
cnt\[3\],19.09µm
net14,18.34µm
net25,18.34µm
net17,17.78µm
net13,17.5µm
clknet_0_clk_regs,17.41µm
net7,17.22µm
net10,17.22µm
net11,17.22µm
net15,17.22µm
net16,17.22µm
net19,17.22µm
net20,17.22µm
net21,17.22µm
net22,17.22µm
net,17.22µm
net6,16.94µm
net8,16.94µm
net18,16.94µm
net12,16.66µm
net23,15.54µm
net30,15.17µm
rst,12.84µm
net31,10.69µm
clknet_1_0__leaf_clk_regs,10.64µm
q[2],9.94µm
clk_regs,9.52µm
q[3],8.82µm
q[0],7.7µm
clknet_0_clk,7.28µm
q[1],7.14µm
net29,6.72µm
